,FOXD2 (2306)
ACH-000411,-0.2160342425893977
ACH-000414,-0.18619619654828826
ACH-000415,-0.13012698294973807
ACH-000416,-0.1184199920737136
ACH-000420,-0.04439077543282916
ACH-000421,-0.029644314178422167
ACH-000424,-0.16141341381708685
ACH-000425,-0.13431044788083885
ACH-000426,-0.00786652776608166
ACH-000427,-0.14983126365597355
ACH-000433,0.08306275301099375
ACH-000435,-0.17097086237650966
ACH-000436,-0.0956464537865023
ACH-000444,-0.1091999259058001
ACH-000445,-0.09108574224878722
ACH-000448,-0.15742490318422575
ACH-000450,-0.08261440221420717
ACH-000452,-0.07894042120681581
ACH-000454,-0.31675731080207425
ACH-000458,-0.16764032387864147
ACH-000459,-0.01369214852510295
ACH-000460,-0.12897325661112766
ACH-000461,-0.21865393369063585
ACH-000463,-0.059714571255734136
ACH-000464,-0.15298961273573744
ACH-000466,-0.16290546537469208
ACH-000467,-0.12367238775675392
ACH-000468,-0.15379371265114125
ACH-000469,-0.11649463259824665
ACH-000470,-0.12239530310102788
ACH-000471,-0.19053600098536672
ACH-000472,-0.15773348919263644
ACH-000473,-0.1311639646332318
ACH-000475,-0.26312907381594697
ACH-000476,-0.1325769206827503
ACH-000477,-0.05513488129566526
ACH-000479,-0.19564139460323568
ACH-000480,-0.18464412088184576
ACH-000481,-0.15346077953713014
ACH-000483,0.013568108345353559
ACH-000484,-0.0956629082368122
ACH-000485,-0.2979194086072176
ACH-000486,-0.10715044862319148
ACH-000487,-0.11137147389382006
ACH-000488,-0.02238284636605769
ACH-000490,-0.15453137954667842
ACH-000491,-0.3093057023981109
ACH-000495,-0.12784219847265765
ACH-000496,-0.2826539643509517
ACH-000499,-0.22564343084093685
ACH-000500,-0.46998150116058
ACH-000502,-0.1434518321124947
ACH-000503,-0.09268297758921913
ACH-000505,-0.13648337865767884
ACH-000507,0.018698427234591555
ACH-000510,-0.1140011402885581
ACH-000511,-0.19565448220580486
ACH-000512,-0.26210973348973904
ACH-000516,0.1195418551677779
ACH-000517,-0.08407656934356672
ACH-000518,-0.20286838077856395
ACH-000520,-0.09847569432136508
ACH-000521,-0.25221255181679736
ACH-000522,-0.25014492416531786
ACH-000524,0.10770620666857443
ACH-000527,-0.09018313814016887
ACH-000528,-0.07718321108639836
ACH-000537,-0.19564135526661414
