,NR2C2AP (126382)
ACH-000004,-0.20485453679256732
ACH-000005,-0.15361474095828478
ACH-000007,-0.26911669443486924
ACH-000009,-0.5727996033689243
ACH-000011,-0.9269006799873896
ACH-000012,-0.5513514218464075
ACH-000013,-0.7737141157261611
ACH-000014,-0.9390128770588552
ACH-000015,-0.7417061485072293
ACH-000017,-0.830203350816855
ACH-000018,-0.5476930436579729
ACH-000019,-0.4647046558744182
ACH-000021,-0.4247567106576436
ACH-000022,-0.6255476914619209
ACH-000025,-0.9927314391382694
ACH-000028,-0.6317153106698747
ACH-000030,-0.4654907559953085
ACH-000035,-0.4782836493460635
ACH-000036,-0.8814177540447029
ACH-000037,-0.2188593719650114
ACH-000039,-0.5784560250393813
ACH-000040,-0.6866377942268308
ACH-000041,-0.8137538758777627
ACH-000042,-0.3106662934376925
ACH-000045,-0.0290313654454238
ACH-000047,-0.5051193008423546
ACH-000052,-0.5490690742640267
ACH-000053,-0.3510665944710101
ACH-000054,-0.5219910298616443
ACH-000055,-0.8591808404328088
ACH-000060,-0.3952070314796426
ACH-000067,-0.5942379002680072
ACH-000070,-0.46555982774944604
ACH-000075,-0.2535669853526303
ACH-000078,-0.36687872018358303
ACH-000082,-0.22470006113739388
ACH-000085,-0.6162186042047864
ACH-000086,-0.6330472715932308
ACH-000087,-0.7141395876304298
ACH-000092,-0.4909730020158653
ACH-000095,-0.4682523267601678
ACH-000097,-0.1385714805929942
ACH-000098,-0.8627180618508551
ACH-000099,-0.5779550636552087
ACH-000108,-0.5283150550138735
ACH-000113,-0.25139975309446605
ACH-000116,-0.6048554709358934
ACH-000118,-0.4524200279018271
ACH-000120,-0.7274098120978222
ACH-000123,-0.6988798816265933
ACH-000127,-0.6322686823181373
ACH-000128,-0.3500732860543983
ACH-000132,-0.6238806543911698
ACH-000133,-0.487731551740721
ACH-000137,-0.7482742889626179
ACH-000138,-0.7178830157550545
ACH-000142,-0.8843977092928621
ACH-000143,-0.3887914623999494
ACH-000146,-0.1723859614822673
ACH-000148,-0.4441964586199408
ACH-000150,-0.5579854192455462
ACH-000152,-0.4833120815804556
ACH-000153,-0.5357377282120716
ACH-000159,-0.3983929157233457
ACH-000160,-0.20867518880390476
ACH-000163,-0.5108339552320705
ACH-000167,-0.9272470984640652
ACH-000168,-0.30630425482358864
ACH-000169,-0.456550588377842
ACH-000178,-0.7268242495318878
ACH-000183,-0.7110494147278072
ACH-000188,-0.5963841255637805
ACH-000189,-0.4934082346028775
ACH-000190,-0.7757500072122603
ACH-000198,-0.2288395006415861
ACH-000203,-0.5925278253042717
ACH-000204,-0.4153767397642816
ACH-000206,-0.2844820542256997
ACH-000207,-0.3512826080857557
ACH-000208,-0.6029528951257309
ACH-000210,-0.5864742507770251
ACH-000211,-0.8890287951710624
ACH-000215,-0.6995554554020499
ACH-000221,-0.5817005979937943
ACH-000222,-0.33338325098388
ACH-000223,-0.2650686858211683
ACH-000226,-0.2710430990019231
ACH-000227,-0.4090752574960207
ACH-000228,-0.5930412784818858
ACH-000231,-0.3533936303176305
ACH-000232,-0.5246069837154983
ACH-000233,-0.3964288524376922
ACH-000234,-0.518918454942405
ACH-000235,-0.43294784313878604
ACH-000237,-0.5567192185721548
ACH-000238,-0.653317062331636
ACH-000242,-0.15555833068754352
ACH-000243,-0.6490353201850882
ACH-000244,-0.6461666597861571
ACH-000246,-0.2948794341204901
ACH-000248,-0.8424227833735006
ACH-000250,-0.3052240579838102
ACH-000251,-0.7040158872782656
ACH-000252,-0.7732107249879077
ACH-000253,-0.4458253795770716
ACH-000255,-0.4635428355237903
ACH-000256,-0.523670575582798
ACH-000257,-0.2159814069353091
ACH-000258,-0.2524096729735372
ACH-000259,-0.4799713055726557
ACH-000260,-0.8665214256069858
ACH-000261,-0.5841225868575072
ACH-000262,-0.4512714257969434
ACH-000263,-0.007378913224009705
ACH-000264,-0.6867202654914139
ACH-000265,-0.7299434396170753
ACH-000266,-0.3016387080709237
ACH-000272,-0.2709294974437043
ACH-000274,-0.5287179681977646
ACH-000277,-0.4245218889420692
ACH-000278,-0.5922544086459519
ACH-000279,-0.8439292649171033
ACH-000280,-0.7494466236812379
ACH-000281,-0.4393578298307432
ACH-000288,-0.8248343120882419
ACH-000291,-0.4616305963036359
ACH-000293,-0.6943428148015228
ACH-000294,-0.4508287295954264
ACH-000295,-0.479703713030424
ACH-000296,-0.9143418265959731
ACH-000302,-0.2608577418710397
ACH-000304,-0.4946559303533886
ACH-000307,-0.6843095986804136
ACH-000308,-0.17476812253021354
ACH-000310,-0.10027469829186547
ACH-000311,-0.1324468302402806
ACH-000312,-0.3669045174098548
ACH-000315,-0.10750867985921547
ACH-000316,-0.2349495552861588
ACH-000317,-0.1644749986116639
ACH-000318,-0.8475328195980474
ACH-000319,-0.6767289829205962
ACH-000320,-0.4817187946946206
ACH-000322,-0.4055899765042131
ACH-000323,-0.6554846693444987
ACH-000324,-0.5596531659427011
ACH-000329,-0.3673344756641508
ACH-000330,-0.3358870205502323
ACH-000331,-0.8651589450239062
ACH-000332,-0.5512099081326463
ACH-000334,-0.15929075387385258
ACH-000335,-0.9260105086045396
ACH-000336,-0.09808051132683444
ACH-000337,-0.41771563602148093
ACH-000338,-0.3713073559336114
ACH-000339,-0.41770702166694895
ACH-000341,-0.521040916698979
ACH-000348,-0.13964442037236474
ACH-000350,-0.23214363198593016
ACH-000352,-0.3241380801611519
ACH-000356,-0.4387328009371505
ACH-000361,-1.0484191303319912
ACH-000362,-0.18343730421628146
ACH-000363,-0.2671545189532157
ACH-000364,-0.6065235969321902
ACH-000365,-0.04178426200585962
ACH-000366,-0.8220731247927936
ACH-000368,-0.4084923913364688
ACH-000374,-0.4018209481973594
ACH-000375,-0.6644388480522253
ACH-000376,-0.6321896293884771
ACH-000381,-0.7144296174705944
ACH-000383,-0.37541892192037457
ACH-000387,-0.05302434307262655
ACH-000389,-0.7908522762748689
ACH-000390,-0.5937706801680043
ACH-000393,-0.8601348803347875
ACH-000395,-0.5571449751704501
ACH-000396,-0.6549186045535755
ACH-000397,-0.5362004958512566
ACH-000401,-0.8425854918847328
ACH-000402,-0.14987729040003991
ACH-000403,-0.3089697592971982
ACH-000404,-0.8731756312733214
ACH-000406,-0.1089960947497742
ACH-000407,-0.4475174953446767
ACH-000408,-0.8198146092288547
ACH-000410,-0.8490564679362023
ACH-000411,-0.2520577906117018
ACH-000414,-0.325193491882449
ACH-000415,-0.901372506406986
ACH-000416,-0.4136731450692264
ACH-000420,-0.6470370314955902
ACH-000421,-0.14910276239064654
ACH-000424,-0.6917875706418045
ACH-000425,-0.2583544472523834
ACH-000426,-0.2357933364924905
ACH-000427,-0.3870953698701603
ACH-000433,-0.6128528532595868
ACH-000435,-0.39293116190389454
ACH-000436,-0.19842525345825446
