,SH3RF2 (153769)
ACH-000004,0.1088453190677668
ACH-000005,-0.4658997208895678
ACH-000007,-0.15800400211423896
ACH-000009,-0.2306441757656031
ACH-000011,-0.2742915606499081
ACH-000012,-0.2813592878934246
ACH-000013,-0.13992007149404373
ACH-000014,-0.2233292801788006
ACH-000015,-0.41399475151468107
ACH-000017,-0.4943946340884284
ACH-000018,-0.34522853453984925
ACH-000019,-0.09928389389182064
ACH-000021,-0.4065669543663346
ACH-000022,-0.3169365612935733
ACH-000025,-0.4083026843490583
ACH-000028,-0.2143753425075429
ACH-000030,-0.14578910708702236
ACH-000035,-0.15856280090268846
ACH-000036,-0.1411726534309531
ACH-000037,-0.3628889504140945
ACH-000039,-0.3324818019938248
ACH-000040,-0.2976667687386281
ACH-000041,-0.1493614435193939
ACH-000042,-0.3829692746760017
ACH-000045,-0.14874572251060794
ACH-000047,-0.2415528675859835
ACH-000052,-0.11349244445164547
ACH-000053,-0.2762835437136227
ACH-000054,-0.22332958539708408
ACH-000055,-0.2241458726389125
ACH-000060,-0.07548058013930763
ACH-000067,-0.196404352529488
ACH-000070,-0.3689383416360096
ACH-000075,-0.3917632674453052
ACH-000078,-0.304681441878573
ACH-000082,-0.4751397789460482
ACH-000085,-0.2109811992513419
ACH-000086,-0.22242481279269727
ACH-000087,-0.2925867675697756
ACH-000092,-0.25558775419510066
ACH-000095,-0.2977139124587793
ACH-000097,-0.3726992353271089
ACH-000098,-0.14575176420459118
ACH-000099,-0.3293639290642769
ACH-000108,-0.377602627884859
ACH-000113,-0.12297522216533367
ACH-000116,-0.3554226536079717
ACH-000118,-0.3102080345474781
ACH-000120,-0.3333217046619607
ACH-000123,-0.06000271860514201
ACH-000127,-0.3320663708536729
ACH-000128,-0.2164376374694432
ACH-000132,-0.3297298826683717
ACH-000133,-0.41759181762076747
ACH-000137,-0.24439036326157626
ACH-000138,-0.3304211201452691
ACH-000142,-0.1175525941831454
ACH-000143,-0.18872516123928892
ACH-000146,-0.3313319608204998
ACH-000148,-0.3098429281958241
ACH-000150,-0.15148285893301275
ACH-000152,-0.3005499648274617
ACH-000153,-0.16815290581355333
ACH-000159,-0.2119929293838232
ACH-000160,-0.422110410348945
ACH-000163,-0.1779935995708574
ACH-000167,-0.4157358598310533
ACH-000168,-0.3663853462112557
ACH-000169,-0.3572190631690172
ACH-000178,-0.2846916563970599
ACH-000183,-0.1212037429898484
ACH-000188,-0.20582238481761
ACH-000189,-0.2020317489193412
ACH-000190,-0.4546290052471168
ACH-000198,-0.32278380491716285
ACH-000203,-0.6698483969912796
ACH-000204,-0.4289637777794132
ACH-000206,-0.2996046509008836
ACH-000207,-0.2539196477932677
ACH-000208,-0.6554512330516472
ACH-000210,0.05106061126688092
ACH-000211,-0.2981515177849033
ACH-000215,-0.3167777984394941
ACH-000221,0.007270120460199614
ACH-000222,-0.3409707561650117
ACH-000223,-0.3861133994071421
ACH-000226,-0.26897654466905263
ACH-000227,-0.3068704266020857
ACH-000228,-0.3616554334416127
ACH-000231,-0.17935739059913572
ACH-000232,-0.4134338940877465
ACH-000233,-0.17982829986841484
ACH-000234,-0.33922713071701666
ACH-000235,-0.2847550347327669
ACH-000237,-0.324318597185993
ACH-000238,-0.2542815438903816
ACH-000242,-0.5251209794787765
ACH-000243,-0.2428324992227926
ACH-000244,-0.32570843412898315
ACH-000246,-0.14894325050742666
ACH-000248,-0.21528589890042496
ACH-000250,-0.2890088681903697
ACH-000251,-0.2160617813019908
ACH-000252,-0.2303491105920609
ACH-000253,-0.3230993222488692
ACH-000255,-0.2451576911153057
ACH-000256,-0.15061707052505038
ACH-000257,-0.4390730682105238
ACH-000258,-0.3828195528578621
ACH-000259,-0.37873643158203535
ACH-000260,-0.1982158077022078
ACH-000261,-0.4080306225527222
ACH-000262,-0.09954424208572513
ACH-000263,-0.3844173651107408
ACH-000264,-0.33164938292149976
ACH-000265,-0.2517678809613102
ACH-000266,-0.3029590807146311
ACH-000272,-0.22194980964547634
ACH-000274,-0.3708199866259939
ACH-000277,-0.4420725329611034
ACH-000278,-0.2656020448952235
ACH-000279,-0.18794520624501784
ACH-000280,-0.1853140821321886
ACH-000281,-0.16159680094996795
ACH-000288,-0.3263505500338954
ACH-000291,-0.33658111235366844
ACH-000293,-0.04264329803457883
ACH-000294,-0.2136896785056124
ACH-000295,-0.2692587998519345
ACH-000296,-0.052659249064227226
ACH-000302,-0.1805209127181907
ACH-000304,-0.2469594542931476
ACH-000307,-0.2829704942520476
ACH-000308,-0.3190466968969406
ACH-000310,-0.2997994849567145
ACH-000311,-0.2497148385430832
ACH-000312,-0.292465669332205
ACH-000315,-0.06833058342641744
ACH-000316,-0.07058931950429939
ACH-000317,-0.2323389424148077
ACH-000318,-0.2363377982327205
ACH-000319,-0.2783941621347888
ACH-000320,-0.2946602744342761
ACH-000322,-0.2884042221995001
ACH-000323,-0.4398955626262428
ACH-000324,-0.3018014287578715
ACH-000329,-0.3178285050670984
ACH-000330,0.04050181622490247
ACH-000331,-0.16282471073874305
ACH-000332,-0.3397475080251621
ACH-000334,-0.33651549095355804
ACH-000335,-0.3092869701251386
ACH-000336,-0.4342127483714491
ACH-000337,-0.3481304298391505
ACH-000338,-0.15169263007167366
ACH-000339,-0.27522702449286285
ACH-000341,-0.24287382170879135
ACH-000348,-0.14869853046459489
ACH-000350,-0.27970648860509223
ACH-000352,-0.3055774873517926
ACH-000356,-0.21373392495885704
ACH-000361,-0.4250167023988742
ACH-000362,-0.20041070285186413
ACH-000363,-0.3137767230672662
ACH-000364,-0.32471886215797824
ACH-000365,-0.3266346505086757
