,TAF6L (10629)
ACH-000004,-0.5239685012062203
ACH-000005,-0.4453506612973341
ACH-000007,-0.38682272819814384
ACH-000009,-0.21560880002902716
ACH-000011,-0.2619159844313591
ACH-000012,-0.3368644906976136
ACH-000013,-0.34289902507969483
ACH-000014,-0.3293993408044977
ACH-000015,-0.4383865552093669
ACH-000017,-0.9002349524728495
ACH-000018,-0.7543977359506282
ACH-000019,-0.3596561135373226
ACH-000021,-0.4531380378767724
ACH-000022,-0.4041454236402007
ACH-000025,-0.052778227609156486
ACH-000028,-0.34624506631241664
ACH-000030,-0.4513011088512229
ACH-000035,-0.4003469033384625
ACH-000036,-0.4215960146889276
ACH-000037,-0.3677605463680796
ACH-000039,-0.1391521252868676
ACH-000040,-0.4066242008282561
ACH-000041,-0.3771772380767811
ACH-000042,-0.7235110605919812
ACH-000045,-0.1805771816770618
ACH-000047,-0.4607726895201814
ACH-000052,-0.3130719006593568
ACH-000053,-0.7365685134639977
ACH-000054,0.13249088205448994
ACH-000055,-0.6102249352802215
ACH-000060,-0.14214282067356265
ACH-000067,0.027094381138648743
ACH-000070,-0.6981751182200948
ACH-000075,-0.5552467182359507
ACH-000078,-0.38710470698437693
ACH-000082,-0.6391756992609546
ACH-000085,-0.4168459693772416
ACH-000086,-0.6422121904939874
ACH-000087,-0.5203281283365705
ACH-000092,-0.4857854577567372
ACH-000095,-0.5154359932916135
ACH-000097,-0.5332079215867938
ACH-000098,-0.6190046183701866
ACH-000099,-0.2785553959803165
ACH-000108,-0.3856167584576939
ACH-000113,-0.4293082977688218
ACH-000116,-0.8114806196931261
ACH-000118,-0.6796665306740796
ACH-000120,-0.477536869047521
ACH-000123,-0.5110581044700131
ACH-000127,-0.458813828566614
ACH-000128,-0.4245690638122983
ACH-000132,-0.13449832878380946
ACH-000133,-0.22383024850142275
ACH-000137,-0.3591658990378462
ACH-000138,-0.1924395397858981
ACH-000142,-0.5847070053952473
ACH-000143,-0.5383732977875247
ACH-000146,-0.3915600627108633
ACH-000148,-0.6722035160971667
ACH-000150,-0.0809303859666941
ACH-000152,-0.2791692228922627
ACH-000153,-0.9167004007590976
ACH-000159,-0.21366236626151225
ACH-000160,-0.2337633134141065
ACH-000163,-0.6691927072897068
ACH-000167,0.11524650836815807
ACH-000168,-0.49119868403833394
ACH-000169,-0.4351586176882044
ACH-000178,-0.5683698906523094
ACH-000183,-1.0123833098805484
ACH-000188,-0.33744029417561633
ACH-000189,-0.044824961265218885
ACH-000190,0.004478315418741499
ACH-000198,-0.8163670990995505
ACH-000203,-0.8123603635747212
ACH-000204,-0.5404546754341949
ACH-000206,-0.15583729751387035
ACH-000207,-1.033702483401415
ACH-000208,-0.4444171429010589
ACH-000210,-0.5371900297544303
ACH-000211,-0.2740269431439815
ACH-000215,0.04471240262193371
ACH-000221,-0.4464336578077195
ACH-000222,-0.4724904070019615
ACH-000223,-0.5733337250006666
ACH-000226,-0.43605235914861823
ACH-000227,-0.4830562694108724
ACH-000228,-0.8055457908972511
ACH-000231,-0.2294723919173505
ACH-000232,-0.4459410627118165
ACH-000233,-0.6361256205720351
ACH-000234,0.059787886409294076
ACH-000235,-0.4967827901635883
ACH-000237,-0.494100751251475
ACH-000238,-0.3355856282969588
ACH-000242,-0.4080713802165583
ACH-000243,-0.4663043445813102
ACH-000244,0.7475663492076736
ACH-000246,0.33647449496811016
ACH-000248,-0.5572104475024171
ACH-000250,-0.23941848231300555
ACH-000251,-0.07984499100816922
