,CIT (11113)
ACH-000004,-0.5198020942383167
ACH-000005,-0.3277999275062803
ACH-000007,-0.3751661345830936
ACH-000009,-0.5569883737974232
ACH-000011,-0.23825128402662815
ACH-000012,-0.07570864779159077
ACH-000013,-0.3705366684711455
ACH-000014,-0.486724060160885
ACH-000015,-0.3099119793466709
ACH-000017,-0.6248209388694393
ACH-000018,-0.17983027431432194
ACH-000019,-0.4350938196462879
ACH-000021,-0.4850834148027426
ACH-000022,-0.231243820681488
ACH-000025,-0.19586777256434332
ACH-000028,-0.3217026638030254
ACH-000030,-0.1651690448706144
ACH-000035,-0.4017398526835556
ACH-000036,-0.3832765560399344
ACH-000037,-0.28999812601667463
ACH-000039,-0.5809802073339025
ACH-000040,-0.27608974702364275
ACH-000041,-0.6200432301310577
ACH-000042,-0.5802481383444047
ACH-000045,-0.3816916421080779
ACH-000047,-0.3797654427967356
ACH-000052,-0.6014570653710923
ACH-000053,-0.4573339703815237
ACH-000054,-0.4468527826648717
ACH-000055,-0.6136775872258969
ACH-000060,-0.4674671314129791
ACH-000067,-0.6454858263900518
ACH-000070,-0.5592495678690074
ACH-000075,-0.15132714104820266
ACH-000078,-0.4646111467522345
ACH-000082,-0.24132129551718395
ACH-000085,-0.23961943636697544
ACH-000086,-0.2646766157323901
ACH-000087,-0.5937661410887757
ACH-000092,-0.3210266283350205
ACH-000095,-0.5011650551039883
ACH-000097,-0.3484042885479158
ACH-000098,-0.4581422315290874
ACH-000099,-0.4377716567761644
ACH-000108,-0.347052599212312
ACH-000113,-0.09696378526512753
ACH-000116,-0.4236945722294263
ACH-000118,-0.4599766520854176
ACH-000120,-0.5897904860358675
ACH-000123,-0.5451511546987335
ACH-000127,-0.3741726631516489
ACH-000128,-0.43366705746974094
ACH-000132,-0.15771558342835873
ACH-000133,-0.3702223908386938
ACH-000137,-0.38663499989180733
ACH-000138,-0.4678537366770288
ACH-000142,-0.4836247572005806
ACH-000143,-0.6012084156023729
ACH-000146,-0.5137457595336637
ACH-000148,-0.32929104102132145
ACH-000150,-0.6445806290801153
ACH-000152,-0.3328616893055745
ACH-000153,-0.20199906354058506
ACH-000159,-0.2122896380693
ACH-000160,-0.5399428420327237
ACH-000163,-0.36736600481210535
ACH-000167,-0.17063212235658873
ACH-000168,-0.2003669193057775
ACH-000169,-0.1583682475343728
ACH-000178,-0.4697705906423404
ACH-000183,-0.6372341132779821
ACH-000188,-0.4536567901913538
ACH-000189,-0.1904927677734804
ACH-000190,-0.4293493464662364
ACH-000198,-0.3549276425380815
ACH-000203,-0.5240743590840777
ACH-000204,-0.29215617166957397
ACH-000206,-0.2915398628627587
ACH-000207,-0.2930476888244176
ACH-000208,-0.5621265276106973
ACH-000210,-0.5717268376118978
ACH-000211,-0.4875603617505867
ACH-000215,-0.5175399249189115
ACH-000221,-0.4723713890069304
ACH-000222,-0.4862523252526079
ACH-000223,-0.574495027911108
ACH-000226,-0.4881739476483091
ACH-000227,-0.7630005846869878
ACH-000228,-0.2811742625687413
ACH-000231,-0.3694749290109992
ACH-000232,-0.4666136328653652
ACH-000233,-0.2987112856148217
ACH-000234,-0.33841696290250983
ACH-000235,-0.33758685660600524
ACH-000237,-0.5194508414637209
ACH-000238,-0.3558198786818848
ACH-000242,-0.6570423227514204
ACH-000243,-0.20971995745628602
ACH-000244,-0.4011275252559725
ACH-000246,-0.2700135971205817
ACH-000248,-0.340773203947142
ACH-000250,-0.30585927900587445
ACH-000251,-0.5603746356631489
ACH-000252,-0.5556196652401787
ACH-000253,-0.4336687052892581
ACH-000255,-0.10734095132269032
ACH-000256,-0.3957054425445829
ACH-000257,-0.5629708472490097
ACH-000258,0.017462129240499738
ACH-000259,-0.5393032652668354
ACH-000260,-0.2934251101930692
ACH-000261,-0.3179505088447454
ACH-000262,-0.26763770834351475
ACH-000263,-0.6514050386891529
ACH-000264,-0.2743303409166573
ACH-000265,-0.3248266439266918
ACH-000266,-0.7438829413052443
ACH-000272,-0.17052188958181227
ACH-000274,-0.26474489235307136
ACH-000277,-0.7915534505104344
ACH-000278,-0.3650416227095311
