,CES4A (283848)
ACH-000004,-0.16818541566352166
ACH-000005,-0.22049847871845016
ACH-000007,-0.2756100425120662
ACH-000009,-0.10049045548920266
ACH-000011,-0.10535106446367933
ACH-000012,-0.04440059976066326
ACH-000013,-0.16785561919056433
ACH-000014,-0.02896316085820066
ACH-000015,-0.071411639470633
ACH-000017,-0.11868851120530748
ACH-000018,-0.22216086675329885
ACH-000019,-0.02389516802289556
ACH-000021,-0.17642515735030032
ACH-000022,-0.12961197249291329
ACH-000025,-0.2333546459435987
ACH-000028,0.0705408189757456
ACH-000030,-0.08803885201200304
ACH-000035,-0.156935158180315
ACH-000036,-0.09173162548842463
ACH-000037,-0.4373864280505162
ACH-000039,-0.21858016350393591
ACH-000040,-0.18473885912628535
ACH-000041,-0.03091722251014248
ACH-000042,-0.2999337791683085
ACH-000045,-0.3327277776282189
ACH-000047,-0.1593753827121033
ACH-000052,-0.09056907166443244
ACH-000053,-0.2280459553281973
ACH-000054,-0.15000781826195286
ACH-000055,-0.09467706886284956
ACH-000060,-0.1135580183222199
ACH-000067,-0.2283609741600963
ACH-000070,-0.1246203706995738
ACH-000075,-0.23254326210300094
ACH-000078,-0.2587908919021553
ACH-000082,-0.21982524057244773
ACH-000085,-0.33134676909950445
ACH-000086,-0.2722652135049659
ACH-000087,0.0513972490875129
ACH-000092,-0.2598921165751368
ACH-000095,-0.1336024753653146
ACH-000097,-0.07668017886721988
ACH-000098,-0.20308542523196854
ACH-000099,-0.06276582668395941
ACH-000108,-0.10775981232719777
ACH-000113,-0.12079268275583015
ACH-000116,-0.2305438902229788
ACH-000118,-0.1207434080310261
ACH-000120,-0.3773354343544055
ACH-000123,-0.01658342981544614
ACH-000127,-0.27585270853299354
ACH-000128,-0.2765550709476736
ACH-000132,-0.32336825740558084
ACH-000133,-0.2407641787561629
ACH-000137,-0.07439399969687989
ACH-000138,-0.2450031594895465
ACH-000142,-0.023738342905912237
ACH-000143,-0.2321087274812883
ACH-000146,-0.31362136365684645
ACH-000148,-0.12586133970210953
ACH-000150,-0.07210032063674306
ACH-000152,-0.2515383516512392
ACH-000153,-0.08268556493477665
ACH-000159,-0.10413399115064373
ACH-000160,-0.0927655396636193
ACH-000163,-0.09659723041495344
ACH-000167,-0.4590252764125153
ACH-000168,-0.1679573815399299
ACH-000169,-0.0307786663591842
ACH-000178,-0.1069685495832138
ACH-000183,-0.2365580526043359
ACH-000188,-0.1650461904477349
ACH-000189,-0.31536111653576604
ACH-000190,-0.09216012616540276
ACH-000198,-0.20193854824540172
ACH-000203,0.09198566447007264
ACH-000204,0.03700292789727155
ACH-000206,0.12320417757290565
ACH-000207,-0.15035355793127236
ACH-000208,-0.105010213469168
ACH-000210,-0.2712282209790501
ACH-000211,-0.10804616743920097
ACH-000215,-0.1669193366054151
ACH-000221,-0.14096320439244886
ACH-000222,-0.006324990514600689
ACH-000223,0.01563572631632414
ACH-000226,-0.1145148754134278
ACH-000227,-0.16275531695015094
ACH-000228,-0.17038213858783638
ACH-000231,-0.2870697480681489
ACH-000232,-0.205316669155182
ACH-000233,-0.12449337304841546
ACH-000234,-0.19823351441151074
ACH-000235,-0.16334408828611066
ACH-000237,-0.18289394059110292
ACH-000238,-0.13046831600235892
ACH-000242,-0.056232193434627833
ACH-000243,-0.09997354593972624
ACH-000244,-0.007531048232437144
ACH-000246,-0.07582279760849353
ACH-000248,-0.19460202981448785
ACH-000250,-0.12324900227313425
ACH-000251,0.00046738231179497695
ACH-000252,-0.44023389825693215
ACH-000253,-0.17576024985709413
ACH-000255,-0.1231330964413118
ACH-000256,-0.10311494409856342
ACH-000257,-0.16969508016865964
ACH-000258,-0.2318995469370605
ACH-000259,-0.19596247402581635
ACH-000260,-0.22065228253225144
ACH-000261,-0.1428842698108306
ACH-000262,-0.28223905151172696
ACH-000263,-0.17394572770209502
ACH-000264,-0.106148389568318
ACH-000265,0.0005559118906923011
ACH-000266,-0.17992029644546328
ACH-000272,-0.11490594401920802
ACH-000274,-0.16200490536198764
ACH-000277,-0.2967771548074891
ACH-000278,-0.011011193705290438
ACH-000279,-0.0947856321153819
ACH-000280,-0.18665145381381945
ACH-000281,-0.35446613925871234
ACH-000288,-0.20772747290547106
ACH-000291,-0.15399462491084745
ACH-000293,-0.3770286972772463
ACH-000294,-0.21878467071159424
ACH-000295,-0.13933575962310893
ACH-000296,0.011957395776709364
ACH-000302,-0.11857769669454896
ACH-000304,-0.16790673692612199
ACH-000307,-0.20007061708314264
ACH-000308,-0.20723735497786733
ACH-000310,-0.1364028024029376
ACH-000311,-0.1911232200357851
ACH-000312,-0.16130486352537576
ACH-000315,-0.2205344876013189
ACH-000316,-0.21598423534732225
ACH-000317,-0.20055577819030884
ACH-000318,-0.10443033130278756
ACH-000319,-0.15422181609903002
ACH-000320,-0.25358202353853393
ACH-000322,0.03650705359776007
ACH-000323,-0.17174137197836895
ACH-000324,-0.14828850218478076
ACH-000329,-0.22274989490224506
ACH-000330,-0.16794724261627675
ACH-000331,-0.08199604779781719
ACH-000332,-0.10758799174482107
ACH-000334,0.02270435441233881
ACH-000335,-0.27835818659181444
ACH-000336,-0.09125495719049337
ACH-000337,-0.2865726949616796
ACH-000338,0.28250666749646325
ACH-000339,-0.20791445031371
ACH-000341,-0.1821618754574835
ACH-000348,-0.18743381806259293
ACH-000350,-0.2277731704795642
ACH-000352,-0.2257412921559715
ACH-000356,-0.3816235156994973
ACH-000361,-0.1151503798797356
ACH-000362,-0.18227354569659865
ACH-000363,-0.17305803810309425
ACH-000364,-0.22502117856634252
ACH-000365,-0.07575296998841105
ACH-000366,-0.1268960963267004
ACH-000368,-0.12172253441525445
ACH-000374,-0.09460844096787413
ACH-000375,-0.2800887221900453
ACH-000376,-0.1967748476261367
ACH-000381,-0.12539874494976028
ACH-000383,-0.16317758215912573
ACH-000387,-0.19553507242502413
ACH-000389,-0.14252128210629197
ACH-000390,-0.19907894180294788
ACH-000393,-0.07038902432876837
ACH-000395,-0.2143793529929556
ACH-000396,-0.11521454838831532
ACH-000397,-0.06484167090261175
ACH-000401,-0.004201171681595354
ACH-000402,-0.0029384076816017504
ACH-000403,-0.08568019646316563
ACH-000404,0.13972476888345192
ACH-000406,-0.2653801074437672
ACH-000407,-0.2520806163158332
ACH-000408,-0.3102113183322894
ACH-000410,-0.10623425510551196
ACH-000411,-0.040078497935748296
ACH-000414,-0.1470677897444988
ACH-000415,-0.13572151298304513
ACH-000416,-0.2889154456846535
ACH-000420,0.018682433639310176
ACH-000421,-0.18422799051724845
ACH-000424,0.01404699315374148
ACH-000425,-0.16895461786328486
ACH-000426,-0.3389693563321685
ACH-000427,-0.29536623909212906
ACH-000433,-0.185841634675963
ACH-000435,-0.4557982064739561
ACH-000436,-0.226492887527748
ACH-000444,-0.1492837474830057
ACH-000445,-0.2662494317017481
ACH-000448,-0.08083852742265124
ACH-000450,-0.4104099944785934
ACH-000452,-0.15858868599250822
ACH-000454,-0.3505411139629545
ACH-000458,-0.06641960774837276
ACH-000459,-0.11785966632268202
ACH-000460,-0.05697557222994595
ACH-000461,-0.11734890156156785
ACH-000463,-0.31035976212413063
ACH-000464,-0.2312645907772111
ACH-000466,-0.4311115158590412
ACH-000467,-0.11610359161991655
ACH-000468,-0.17482845321344678
ACH-000469,-0.12712282306074055
ACH-000470,-0.1244017437471313
ACH-000471,-0.15176287439976302
ACH-000472,-0.11219092502022672
ACH-000473,-0.2757343497451186
ACH-000475,-0.20770633053202914
ACH-000476,-0.12306258891705435
