,DAPL1 (92196)
ACH-000004,0.010611087479985208
ACH-000005,-0.10892094842973864
ACH-000007,-0.14355918148939634
ACH-000009,-0.12832112102562931
ACH-000011,-0.129687676566084
ACH-000012,-0.09754712630288624
ACH-000013,-0.08210946786791272
ACH-000014,-0.16008590160784644
ACH-000015,-0.12697778060492113
ACH-000017,-0.0960338746288062
ACH-000018,0.011836912529730502
ACH-000019,-0.1627201120975084
ACH-000021,0.05305119798998079
ACH-000022,-0.0765022885597612
ACH-000025,0.0027100903375238228
ACH-000028,-0.2038562689478504
ACH-000030,0.02265314503623292
ACH-000035,-0.030452747620653583
ACH-000036,-0.14141509424031554
ACH-000037,-0.056007845262607166
ACH-000039,-0.0859242016953546
ACH-000040,-0.029953126398615144
ACH-000041,-0.07818940212352875
ACH-000042,-0.050689629463431335
ACH-000045,-0.11746547937123998
ACH-000047,-0.11934200806500254
ACH-000052,-0.2793204035596493
ACH-000053,-0.07844836607803479
ACH-000054,-0.036270871787468593
ACH-000055,-0.09419465951692678
ACH-000060,-0.0011931444177882876
ACH-000067,-0.15977901465536534
ACH-000070,-0.1544241128955568
ACH-000075,-0.13522667981133935
ACH-000078,0.029591792438552526
ACH-000082,-0.026559526347221026
ACH-000085,-0.03256119509398323
ACH-000086,-0.13536740863041796
ACH-000087,-0.029304940692728137
ACH-000092,-0.3015114592586303
ACH-000095,-0.18528987582003734
ACH-000097,0.028411592495722855
ACH-000098,-0.21694707009604905
ACH-000099,-0.03484359816183168
ACH-000108,-0.10786580992034532
ACH-000113,-0.06595095908929631
ACH-000116,-0.0348000324076263
ACH-000118,-0.08265948105010876
ACH-000120,-0.14850408407030574
ACH-000123,-0.04630117968660159
ACH-000127,-0.07872252961375781
ACH-000128,-0.1815721008503092
ACH-000132,-0.2058439002240545
ACH-000133,-0.2911718205967104
ACH-000137,-0.011567778190125564
ACH-000138,-0.027410432994282717
ACH-000142,-0.06574584706335307
ACH-000143,-0.19337026125855689
ACH-000146,-0.018025060947617848
ACH-000148,-0.12351055872213998
ACH-000150,-0.025717712527014217
ACH-000152,-0.09161862777942092
ACH-000153,-0.12216662285981147
ACH-000159,-0.05708762412331093
ACH-000160,-0.06213407843005583
ACH-000163,-0.03375037733086166
ACH-000167,-0.3772228508254094
ACH-000168,-0.046032831969839136
ACH-000169,-0.022789417647968626
ACH-000178,-0.004214283375070981
ACH-000183,-0.148559650495268
ACH-000188,-0.11215422484268946
ACH-000189,0.16953113729024666
ACH-000190,-0.06852657209824965
ACH-000198,-0.037803069075893835
ACH-000203,-0.07170779198032934
ACH-000204,-0.03934215033479862
ACH-000206,-0.06245018095920502
ACH-000207,0.0778815323864037
