,CHRNG (1146)
ACH-000004,-0.2813867395164325
ACH-000005,-0.4251475623497448
ACH-000007,-0.3346575848705411
ACH-000009,-0.22208897424348206
ACH-000011,-0.3928160291001843
ACH-000012,-0.3785704085855716
ACH-000013,-0.3001762618729993
ACH-000014,-0.17136496621562067
ACH-000015,-0.24588309876887976
ACH-000017,-0.2778990631482146
ACH-000018,-0.11401558079574868
ACH-000019,-0.2154948736480269
ACH-000021,-0.2229788532217299
ACH-000022,-0.1751088586861264
ACH-000025,-0.27263724878981976
ACH-000028,-0.14231187834532902
ACH-000030,-0.3565990175182933
ACH-000035,-0.06491408569858571
ACH-000036,-0.2905383050725517
ACH-000037,-0.5910047207499687
ACH-000039,-0.2467472093153482
ACH-000040,-0.2883560110201109
ACH-000041,-0.2406372271440641
ACH-000042,-0.4118944734491792
ACH-000045,-0.16576298344423368
ACH-000047,-0.1639134354610382
ACH-000052,-0.08214821718554698
ACH-000053,-0.1906899634870842
ACH-000054,-0.2252860922874836
ACH-000055,-0.4815349262899972
ACH-000060,-0.14342417422479667
ACH-000067,-0.38349618002061264
ACH-000070,-0.3260450026635898
ACH-000075,-0.4228540255491901
ACH-000078,-0.37104349852351626
ACH-000082,-0.2700813376521245
ACH-000085,-0.12790993815325838
ACH-000086,-0.13965125292716304
ACH-000087,-0.23499487871787075
ACH-000092,-0.2443283549145353
ACH-000095,-0.26653506954588024
ACH-000097,-0.2319060360947369
ACH-000098,-0.3171703504649259
ACH-000099,-0.4570449068872159
ACH-000108,-0.4782212918361049
ACH-000113,-0.2940676602251502
ACH-000116,-0.26549372722555536
ACH-000118,-0.20143684488178648
ACH-000120,-0.2604839121768201
ACH-000123,-0.2153838025514856
ACH-000127,-0.2341445711286439
ACH-000128,-0.17275379275532746
ACH-000132,-0.2228462804833982
ACH-000133,-0.4268181643140505
ACH-000137,-0.19814056320536366
ACH-000138,-0.2377846899030374
ACH-000142,-0.209947032517385
ACH-000143,-0.23068295760010715
ACH-000146,-0.23481276831238904
ACH-000148,-0.3548934122762449
ACH-000150,-0.6556845270188425
ACH-000152,-0.4140039215304281
ACH-000153,0.03220555180235101
ACH-000159,-0.1502976491600627
ACH-000160,-0.3391068056129921
ACH-000163,-0.3028727227192147
ACH-000167,-0.14117821930472071
ACH-000168,-0.397158704424865
ACH-000169,-0.22901463535113503
ACH-000178,-0.2481711345370657
ACH-000183,-0.2766173539604994
ACH-000188,-0.1944517639998232
ACH-000189,-0.1930760544836405
ACH-000190,-0.15296553307429042
ACH-000198,-0.19421285650641812
ACH-000203,-0.5313501436987921
ACH-000204,-0.2996125838254384
ACH-000206,-0.2241204773723664
ACH-000207,-0.19159187303123676
ACH-000208,-0.6713961276335816
ACH-000210,-0.14203523265039786
