,RAN (5901)
ACH-000004,-1.879790617141569
ACH-000005,-2.334820611604472
ACH-000007,-1.5913493291836236
ACH-000009,-1.8590910624612893
ACH-000011,-2.124792767088659
ACH-000012,-1.6715819038037532
ACH-000013,-1.9850367390186765
ACH-000014,-1.8714808827717668
ACH-000015,-1.6943965958305205
ACH-000017,-1.906481790530547
ACH-000018,-1.3896492995962828
ACH-000019,-1.9888278157160248
ACH-000021,-1.852166886106928
ACH-000022,-1.911025522372373
ACH-000025,-1.7247465264047377
ACH-000028,-1.8648625260905665
ACH-000030,-1.998950060672492
ACH-000035,-1.4514832160425806
ACH-000036,-1.6160149127855064
ACH-000037,-1.9847439572584624
ACH-000039,-2.0152132847455624
ACH-000040,-1.6845484470796062
ACH-000041,-1.9590787189199128
ACH-000042,-1.9987628771861257
ACH-000045,-1.9044519754447136
ACH-000047,-1.9199239907128207
ACH-000052,-1.3495083014694966
ACH-000053,-1.7067781703291818
ACH-000054,-1.5688357070760592
ACH-000055,-2.143345401688612
ACH-000060,-1.943323479855568
ACH-000067,-1.4189380086641437
ACH-000070,-1.7251429470742763
ACH-000075,-1.4928216279223239
ACH-000078,-1.8988059689672376
ACH-000082,-1.9235393441996083
ACH-000085,-1.718909080895653
ACH-000086,-1.583543273358244
ACH-000087,-1.927490764955222
ACH-000092,-1.7442006470985818
ACH-000095,-1.9822637729809636
ACH-000097,-1.918656435435232
ACH-000098,-1.6807769856149009
ACH-000099,-1.7412346929914562
ACH-000108,-1.9725263041359844
ACH-000113,-1.8716929433766356
ACH-000116,-1.9419915095434557
ACH-000118,-1.7293656750396171
ACH-000120,-1.8377958138903232
ACH-000123,-1.6482681770393508
ACH-000127,-1.7193953501459625
ACH-000128,-1.6729294785903468
ACH-000132,-1.7514569163182805
ACH-000133,-1.7055616760623706
ACH-000137,-1.6805994772605108
ACH-000138,-1.819684694094435
ACH-000142,-1.8102615923438363
ACH-000143,-1.9225482064975887
ACH-000146,-2.2188948013545304
ACH-000148,-2.005689243236267
ACH-000150,-1.9570066669570985
ACH-000152,-1.292467180296326
ACH-000153,-2.096998861397629
ACH-000159,-1.4462598197809933
ACH-000160,-1.603954737386763
ACH-000163,-1.8351396012886627
ACH-000167,-2.111848357650893
ACH-000168,-1.9481928440172125
ACH-000169,-1.840433003773725
ACH-000178,-1.7253054960409058
ACH-000183,-1.9709572264497643
ACH-000188,-1.63337964232961
ACH-000189,-1.4041794437490462
ACH-000190,-1.4803686969865968
ACH-000198,-2.041273382515351
ACH-000203,-1.8120329763755691
ACH-000204,-1.636971669476271
ACH-000206,-2.136904275172496
ACH-000207,-2.168575357306439
ACH-000208,-1.6665163461639074
ACH-000210,-1.6006582002080116
ACH-000211,-1.5216170027310314
ACH-000215,-1.6757912469502043
ACH-000221,-1.939716602678889
ACH-000222,-1.8505420034798319
ACH-000223,-1.7874405302761938
ACH-000226,-1.9189002185636819
ACH-000227,-1.9136958107956776
ACH-000228,-1.693805841218889
ACH-000231,-1.6411118250057035
ACH-000232,-1.9441283846147344
ACH-000233,-2.030903496896939
ACH-000234,-2.03427625437724
ACH-000235,-1.7471314884067708
ACH-000237,-1.7176409052377195
ACH-000238,-1.7203270428610244
ACH-000242,-1.4151681097331743
ACH-000243,-1.946214647745256
ACH-000244,-1.6878728968452212
ACH-000246,-1.7774501838846193
ACH-000248,-1.6886966216129868
ACH-000250,-1.6007123751750012
ACH-000251,-2.749676598878522
ACH-000252,-1.4517994848311118
ACH-000253,-1.7414064817108328
ACH-000255,-1.5998574125774467
ACH-000256,-1.882745611615468
ACH-000257,-1.875922933808877
ACH-000258,-1.3208860963666615
ACH-000259,-2.1321951929629948
ACH-000260,-1.8182991877953092
ACH-000261,-1.8835738563102595
ACH-000262,-1.6819157546760493
ACH-000263,-1.9761034500688368
ACH-000264,-1.7099633702159829
ACH-000265,-1.8436939684155569
ACH-000266,-1.7571759584237006
ACH-000272,-1.5980031054681745
ACH-000274,-1.716025678185086
ACH-000277,-2.025660421328316
ACH-000278,-1.7073259766476463
ACH-000279,-1.7930839438617336
ACH-000280,-1.7621362313146924
ACH-000281,-1.608781078070531
ACH-000288,-1.6904219741359483
ACH-000291,-1.9498207740030185
ACH-000293,-2.142284715148775
ACH-000294,-1.996170291973085
