,SMURF1 (57154)
ACH-000004,-0.056549578070522064
ACH-000005,-0.4296673875921607
ACH-000007,-0.07259879508952062
ACH-000009,-0.1516834129719321
ACH-000011,-0.3488021539467687
ACH-000012,-0.08720913261319575
ACH-000013,-0.14413800216713868
ACH-000014,-0.22823173218846635
ACH-000015,-0.15283901917893153
ACH-000017,-0.22353987606582654
ACH-000018,0.008101898861919423
ACH-000019,-0.3184066582643244
ACH-000021,-0.3482672736151394
ACH-000022,-0.25648334464863753
ACH-000025,0.01767098998222039
ACH-000028,-0.3996312860796684
ACH-000030,-0.1642934992628876
ACH-000035,-0.4619745851404364
ACH-000036,-0.5121647900242554
ACH-000037,-0.07009980097506614
ACH-000039,-0.18809808174092296
ACH-000040,-0.2111478347954692
ACH-000041,-0.16672753798779835
ACH-000042,-0.17463764187131842
ACH-000045,-0.10501397464734144
ACH-000047,-0.07926324408543901
ACH-000052,-0.18152109644037884
ACH-000053,-0.0566931141345805
ACH-000054,-0.3439230244865001
ACH-000055,-0.19309398903697675
ACH-000060,-0.32338110866817005
ACH-000067,-0.3014452349086968
ACH-000070,-0.14212836393521056
ACH-000075,-0.2985378323305405
ACH-000078,-0.0677063299469592
ACH-000082,-0.12357296325369853
ACH-000085,-0.2563536946843724
ACH-000086,-0.0687950429243059
ACH-000087,-0.22858102582070125
ACH-000092,-0.1223296628356694
ACH-000095,-0.17250354494131348
ACH-000097,-0.3161502235031751
ACH-000098,-0.2195847013733785
ACH-000099,-0.06354013286991429
ACH-000108,-0.02034185766580024
ACH-000113,0.0191634757493927
ACH-000116,-0.03128624407813315
ACH-000118,-0.048142803512879764
ACH-000120,-0.2232077553001264
ACH-000123,-0.14177099968145265
ACH-000127,-0.16390653241242906
ACH-000128,-0.2431507664394116
ACH-000132,-0.10502971007310992
ACH-000133,-0.11173666583736623
ACH-000137,-0.0703653536598476
ACH-000138,-0.060034138197387364
ACH-000142,-0.5530788761670931
ACH-000143,-0.2888071604517355
ACH-000146,-0.1401529956576197
ACH-000148,-0.2368749159017135
ACH-000150,-0.18671401368480134
ACH-000152,-0.19500625960908727
ACH-000153,-0.4172076290830952
ACH-000159,-0.2701695119981765
ACH-000160,-0.3491602143678769
ACH-000163,0.04400451119456411
ACH-000167,-0.005962491306599468
ACH-000168,-0.09060350964275166
ACH-000169,-0.16031246417724745
ACH-000178,-0.11031464721523504
ACH-000183,-0.11870980078503834
ACH-000188,-0.2542115048141897
ACH-000189,-0.1668477078118868
ACH-000190,-0.10386406718162423
ACH-000198,-0.11915000193926173
ACH-000203,-0.12334196394203345
