,CD2BP2 (10421)
ACH-000004,-0.6765882378162419
ACH-000005,-0.6865850196210949
ACH-000007,-0.31112834261031924
ACH-000009,-0.198901600855528
ACH-000011,-0.122208906928378
ACH-000012,-0.4944191642886699
ACH-000013,-0.4247687467406498
ACH-000014,-0.33488985927090353
ACH-000015,-0.338662434249576
ACH-000017,-0.5285867105814692
ACH-000018,-0.6007502429777599
ACH-000019,-0.21727444215193398
ACH-000021,-0.2612542390193321
ACH-000022,-0.17737210444894078
ACH-000025,-0.7203140300526638
ACH-000028,-0.2271573781617423
ACH-000030,-0.16948421337027644
ACH-000035,-0.321241136965344
ACH-000036,-0.6054805824803107
ACH-000037,-1.0539907369756425
ACH-000039,-0.4150384873616907
ACH-000040,-0.3695501802202468
ACH-000041,-0.3408220983683226
ACH-000042,-0.5341415197256703
ACH-000045,-0.4043787947941567
ACH-000047,-0.6765657934935054
ACH-000052,-0.3355297362989512
ACH-000053,-0.6270618217046701
ACH-000054,-0.4223102419323864
ACH-000055,-0.5745229812368526
ACH-000060,-0.28104398597433194
ACH-000067,-0.5013951010398531
ACH-000070,-0.4095771500320639
ACH-000075,-0.4176875684237254
ACH-000078,-0.32439494796016993
ACH-000082,-0.7733818874446021
ACH-000085,-0.2971426971862102
ACH-000086,-0.24196350149486046
ACH-000087,-0.3919866575647048
ACH-000092,-0.2641401372757413
ACH-000095,-0.4756526669387395
ACH-000097,-0.5131788097951151
ACH-000098,-0.2885280921255677
ACH-000099,-0.1939972036138916
ACH-000108,-0.39094863311526334
ACH-000113,-0.3654571785458493
ACH-000116,-0.2956858222899812
ACH-000118,-0.6279206767546511
ACH-000120,-0.4852566969565961
ACH-000123,-0.4876426691082177
ACH-000127,-0.2594140522822923
ACH-000128,-0.24112638161133984
ACH-000132,-0.3309650166419956
ACH-000133,-0.6200334870574671
ACH-000137,-0.2880091461484842
ACH-000138,-0.22220100942594206
ACH-000142,-0.1877771047199489
ACH-000143,-0.6478326195604274
ACH-000146,-0.5204498571137154
ACH-000148,-0.7335184531166048
ACH-000150,-0.16397701616053292
ACH-000152,-0.4448441877182208
ACH-000153,-0.5481190003636682
ACH-000159,-0.466115698511513
ACH-000160,-0.21318795552036207
ACH-000163,-0.5052858440823035
ACH-000167,-0.4755080228236361
ACH-000168,-0.3311942246349145
ACH-000169,-0.4476830994975
ACH-000178,-0.4714026533896996
ACH-000183,-0.6446103454808827
ACH-000188,-0.4208587502196075
ACH-000189,-0.3095782163874144
