,PRAM1 (84106)
ACH-000004,-0.062019895305021916
ACH-000005,-0.3912062543293125
ACH-000007,-0.09908606434707977
ACH-000009,-0.15869278786416954
ACH-000011,-0.1050693463448477
ACH-000012,-0.23240500488849256
ACH-000013,-0.3765379868112441
ACH-000014,-0.15796802823972886
ACH-000015,-0.35143856412388064
ACH-000017,-0.1621803075932438
ACH-000018,-0.042597063732979966
ACH-000019,-0.28984507143584026
ACH-000021,-0.2039838247718247
ACH-000022,-0.1941359995916796
ACH-000025,-0.16854937714000584
ACH-000028,-0.20314417662826068
ACH-000030,-0.2664173656040008
ACH-000035,-0.1125070050261416
ACH-000036,-0.1371213137318244
ACH-000037,-0.032322972193006554
ACH-000039,-0.2715744173528494
ACH-000040,-0.1379206380245687
ACH-000041,-0.1710345513680276
ACH-000042,-0.23257738432388864
ACH-000045,-0.35277379260645325
ACH-000047,-0.13486702458184646
ACH-000052,-0.2860404623230147
ACH-000053,-0.07596610071690284
ACH-000054,-0.17045083421596552
ACH-000055,-0.23399728321342986
ACH-000060,-0.11643900429738685
ACH-000067,-0.15077198850752774
ACH-000070,-0.2418175580579831
ACH-000075,-0.45399386344187104
ACH-000078,-0.14612791939497596
ACH-000082,-0.3696683972397677
ACH-000085,0.2317303361217516
ACH-000086,-0.3056746277016187
ACH-000087,-0.3131344377943452
ACH-000092,-0.1486879011723505
ACH-000095,-0.26670239582574845
ACH-000097,-0.2302211356092517
ACH-000098,-0.38945286705962784
ACH-000099,-0.2037983961687812
ACH-000108,-0.18203851929752266
ACH-000113,-0.22707328907135746
ACH-000116,-0.2430627368808613
ACH-000118,-0.13937663975508316
ACH-000120,-0.13265976854241954
ACH-000123,-0.2897070592366051
ACH-000127,-0.22220975735140786
ACH-000128,-0.14405716212189612
ACH-000132,-0.21448915358136866
ACH-000133,-0.17574904374114395
ACH-000137,-0.12560257410129122
ACH-000138,-0.12981358491776845
ACH-000142,-0.08196044320998212
ACH-000143,-0.29091688808107186
ACH-000146,-0.23814442083899096
ACH-000148,-0.07851701593131555
ACH-000150,-0.049296942539721215
ACH-000152,-0.07923542735297383
ACH-000153,-0.33498505050620364
ACH-000159,-0.21679295680765606
ACH-000160,-0.191002064537412
ACH-000163,-0.2802180817123498
ACH-000167,-0.4461488391171013
ACH-000168,-0.16747025202076574
ACH-000169,-0.2530268661532161
ACH-000178,-0.32475110140441066
ACH-000183,-0.06878257903984725
ACH-000188,-0.3699377406555953
ACH-000189,-0.3969092382539486
ACH-000190,-0.3645790856626909
ACH-000198,-0.1921202350296504
ACH-000203,-0.1470911139579097
ACH-000204,-0.24442653796601305
ACH-000206,-0.19204958840046712
ACH-000207,-0.059061355570837915
ACH-000208,-0.038614079392648167
ACH-000210,0.05231496772421655
ACH-000211,-0.19395728112102925
ACH-000215,-0.2581175430375932
ACH-000221,-0.3045258925682091
ACH-000222,-0.010579541892435705
ACH-000223,-0.2384555791847704
ACH-000226,-0.3137879726132209
ACH-000227,-0.2717762970044709
ACH-000228,-0.2735242139639709
ACH-000231,-0.1959197894229915
ACH-000232,-0.14885589051301093
ACH-000233,-0.2328282096717462
ACH-000234,-0.25266282508185645
ACH-000235,-0.15371803729833886
ACH-000237,-0.21537695282422914
ACH-000238,-0.2231134437204703
ACH-000242,-0.03617054932622445
ACH-000243,-0.17957347601922352
ACH-000244,-0.39100601951165603
ACH-000246,-0.19171405886807025
ACH-000248,-0.2169673859823551
ACH-000250,-0.22025317001032996
ACH-000251,-0.1160313347443092
ACH-000252,-0.18859895106131325
ACH-000253,-0.1993036091658164
ACH-000255,-0.2715416269821127
ACH-000256,-0.2945350063479943
ACH-000257,-0.16558345053690196
ACH-000258,-0.2122524664580957
ACH-000259,-0.15699495451977333
ACH-000260,-0.2834016380054768
ACH-000261,-0.27810888157483343
ACH-000262,-0.2673240367731685
ACH-000263,-0.2679129206620754
ACH-000264,-0.3347108280548688
ACH-000265,-0.15993763523952448
ACH-000266,-0.1877140027682593
ACH-000272,-0.2441442899176288
ACH-000274,-0.22244655768044086
ACH-000277,0.03985480886948956
ACH-000278,-0.13093781726021633
ACH-000279,-0.06894676433057104
ACH-000280,-0.1608523679956514
ACH-000281,-0.3352156543154265
ACH-000288,-0.2052635866498164
ACH-000291,-0.18825561354678128
