,SARS (6301)
ACH-000004,-1.7933144750711631
ACH-000005,-1.9073426342649564
ACH-000007,-1.6240689441209266
ACH-000009,-1.6684346173528322
ACH-000011,-1.5115918382711742
ACH-000012,-1.4746425143247213
ACH-000013,-1.7842948054462358
ACH-000014,-1.6135080497782543
ACH-000015,-1.5845346042490576
ACH-000017,-1.6592718720948538
ACH-000018,-1.3126192070133889
ACH-000019,-1.5319119405334596
ACH-000021,-1.6469932330474597
ACH-000022,-1.5680657445795207
ACH-000025,-1.4726069665599582
ACH-000028,-1.3483313622515818
ACH-000030,-1.6192920117913547
ACH-000035,-1.606910223565956
ACH-000036,-1.4805772782830764
ACH-000037,-1.8413288514967456
ACH-000039,-1.5576995929569986
ACH-000040,-1.2554006701026394
ACH-000041,-1.7449501718329712
ACH-000042,-1.561232325047954
ACH-000045,-1.573210799887886
ACH-000047,-1.5834226795634885
ACH-000052,-1.3999866331258313
ACH-000053,-1.5251212332409565
ACH-000054,-1.5170438777943678
ACH-000055,-1.5265111885454683
ACH-000060,-1.571277686129354
ACH-000067,-1.295149596460578
ACH-000070,-1.833703427687624
ACH-000075,-1.6277214893390102
ACH-000078,-1.4210301706729538
ACH-000082,-1.4961139402803738
ACH-000085,-1.5870114668444613
ACH-000086,-1.3618587437353258
ACH-000087,-1.8875688317811867
ACH-000092,-1.5450479039761624
ACH-000095,-1.6725999055166714
ACH-000097,-1.6350510060198582
ACH-000098,-1.498712417878294
ACH-000099,-1.5653012524207202
ACH-000108,-1.3825234032574716
ACH-000113,-1.5716182083019878
ACH-000116,-1.3871666039115846
ACH-000118,-1.489167833871048
ACH-000120,-1.5252443138039338
ACH-000123,-1.622993378388332
ACH-000127,-1.603043010441324
ACH-000128,-1.6966383887423948
ACH-000132,-1.5519704605686662
ACH-000133,-1.3273917445954528
ACH-000137,-1.4748500966420874
ACH-000138,-1.376371812562791
ACH-000142,-1.589102642786685
ACH-000143,-1.432857503272091
ACH-000146,-1.688216722738061
ACH-000148,-1.5615940732541238
ACH-000150,-1.6372096555601656
ACH-000152,-1.4020138642712678
ACH-000153,-1.4984740905206064
ACH-000159,-1.4647512793594923
ACH-000160,-1.7812070268468123
ACH-000163,-1.407301297417611
ACH-000167,-2.663702983064326
ACH-000168,-1.5444436840562827
ACH-000169,-1.4902892719002534
ACH-000178,-1.3963592500187854
ACH-000183,-1.5757848413174524
ACH-000188,-1.2377603192918123
ACH-000189,-1.3755926261727516
ACH-000190,-1.6684395082886208
ACH-000198,-1.6148190005372849
ACH-000203,-1.6735012333908863
ACH-000204,-1.4581577001786967
ACH-000206,-0.939555027241292
ACH-000207,-2.2081335148165264
ACH-000208,-1.389957548338839
ACH-000210,-1.610434276422396
ACH-000211,-1.5492384286651832
ACH-000215,-1.5377494693331537
ACH-000221,-1.7604240292476636
ACH-000222,-1.446266753021028
ACH-000223,-1.5706833986331483
ACH-000226,-1.4228597964759568
ACH-000227,-1.429906732761285
ACH-000228,-1.5467165544838315
ACH-000231,-1.3727558472837438
ACH-000232,-1.5956688490549895
ACH-000233,-1.4250843059346283
ACH-000234,-1.5809526241426186
ACH-000235,-1.5431675148368251
ACH-000237,-1.3384041238491098
ACH-000238,-1.5709874416317806
ACH-000242,-1.3828354506919984
ACH-000243,-1.5481485685751455
ACH-000244,-1.7803170153938224
ACH-000246,-1.5344619680876892
ACH-000248,-1.3966878845895487
ACH-000250,-1.5789633500340408
ACH-000251,-1.4358304044604409
ACH-000252,-1.5337192920466547
ACH-000253,-1.5227347048204825
ACH-000255,-1.351155900200207
ACH-000256,-1.3790115284591684
ACH-000257,-1.6192966929965091
ACH-000258,-1.55878920173701
ACH-000259,-1.5839544372410326
ACH-000260,-1.635897713463622
ACH-000261,-1.5567731063649173
ACH-000262,-1.485392600804606
ACH-000263,-1.6241640871988892
