,ZNF44 (51710)
ACH-000232,0.2190326668038668
ACH-000233,0.20725288649222628
ACH-000234,0.061461176330981075
ACH-000235,0.15903394246193742
ACH-000237,0.20574694325041865
ACH-000238,0.01657602138325215
ACH-000242,0.14338363090351394
ACH-000243,0.17221397286851292
ACH-000244,-0.024618141868040868
ACH-000246,0.1397398011297622
ACH-000248,0.12908768065201115
ACH-000250,0.13213490136909772
ACH-000251,0.2646953096678165
ACH-000252,0.2464435748853485
ACH-000253,0.08951721133262136
ACH-000255,0.21995301391961464
ACH-000256,0.14967111787310836
ACH-000257,0.2726904968803341
ACH-000258,0.0011561003669610635
ACH-000259,0.10846265925140904
ACH-000260,0.14910609564833455
ACH-000261,0.1713656306453227
ACH-000262,0.2935243233298898
ACH-000263,0.044295031639451685
ACH-000264,0.18416332854302944
ACH-000265,0.2295325985509402
ACH-000266,0.1427772561934839
ACH-000272,0.1859471368913144
ACH-000274,0.1231714451135133
ACH-000277,0.2509656912290809
ACH-000278,0.07525323162870165
ACH-000279,0.09175456728023378
ACH-000280,0.03596078955309679
ACH-000281,0.18631001567961916
ACH-000288,0.1936726720241565
ACH-000291,0.0570102768909772
ACH-000293,0.07261403323483427
ACH-000294,0.23257779933555725
ACH-000295,0.17949980615374247
ACH-000296,0.10494218244147842
ACH-000302,0.16338801232932473
ACH-000304,0.2262053056734456
ACH-000307,0.1487038035810925
ACH-000308,0.2400687993921596
ACH-000310,0.12242100906918432
ACH-000311,0.1498275731002342
ACH-000312,0.0865114662753334
ACH-000315,0.2538212981264038
ACH-000316,0.1351685465046863
ACH-000317,0.2758924594402248
ACH-000318,0.012714700529872823
ACH-000319,0.15142401106302752
ACH-000320,0.21293756677142212
ACH-000322,0.2019085364203152
ACH-000323,0.11310008706342377
ACH-000324,0.19008775669136474
ACH-000329,0.2307794046356233
ACH-000330,0.005292070083725718
ACH-000331,0.13276774364559926
ACH-000332,0.1618061025343506
ACH-000334,0.1428364848209898
ACH-000335,0.15546835378147572
ACH-000336,0.2575878279699185
ACH-000337,0.14011161867498256
ACH-000338,0.3831646306897079
ACH-000339,0.18327931431194147
ACH-000341,-0.10449424383335992
ACH-000348,0.1321672239145864
ACH-000350,0.09876268930398403
ACH-000352,0.16695884690860038
ACH-000356,-0.03489791518362002
ACH-000361,0.22460206640238736
ACH-000362,0.1239018811465524
ACH-000363,0.09745944092742057
ACH-000364,0.12486650237460713
ACH-000365,0.20308376835872524
ACH-000366,0.16128750176005216
ACH-000368,0.17322918834702614
ACH-000374,0.19525894056504825
ACH-000375,0.05818228669160485
ACH-000376,0.26635179398102776
ACH-000381,0.32786060851604304
ACH-000383,0.15236705414354235
ACH-000387,0.3091757479894163
ACH-000389,0.19769281512812206
ACH-000390,0.15131578143950464
ACH-000393,0.14266548835975418
ACH-000395,0.08952404755899526
ACH-000396,0.1405503849398376
ACH-000397,0.22471625134433976
ACH-000401,0.15813591029935098
ACH-000402,-0.048363984018636334
ACH-000403,0.06455833653148073
ACH-000404,0.06867340738852007
ACH-000406,0.13026429267316222
ACH-000407,0.10937937904331972
ACH-000408,0.2836180641657501
ACH-000410,0.14481893621434136
ACH-000411,0.21375587949739888
ACH-000414,0.13299643834402694
ACH-000415,0.11026168178953498
ACH-000416,0.11926626458911704
ACH-000420,-0.037699125931882516
ACH-000421,0.07394512877805848
ACH-000424,-0.046704297786162696
ACH-000425,0.20277196639637549
ACH-000426,0.16157316050983672
ACH-000427,-0.016904975190844326
ACH-000433,0.10931449460060552
ACH-000435,-0.03259029654211961
ACH-000436,0.2347818711033567
ACH-000444,0.14364272223254054
ACH-000445,0.21183170440885285
ACH-000448,0.1257801934719787
ACH-000450,0.3077704290699497
ACH-000452,0.1629512420497281
ACH-000454,0.1978531153985727
ACH-000458,0.01536066710239499
ACH-000459,0.20717729258834905
ACH-000460,0.1588784235126386
ACH-000461,0.05493988399253172
ACH-000463,0.17499375104379594
ACH-000464,0.16345329431162586
ACH-000466,0.06891083638785996
ACH-000467,0.08629009606724422
ACH-000468,0.21171624751895649
ACH-000469,0.18497528910457686
ACH-000470,0.19111556667914714
ACH-000471,0.1804120414727191
ACH-000472,0.12273914555830864
ACH-000473,0.18084398037137855
ACH-000475,0.1976132821665845
ACH-000476,0.19406988393201194
ACH-000477,0.10184358481599888
ACH-000479,0.3696007023635358
ACH-000480,0.14221421187487254
ACH-000481,0.19568977478984095
ACH-000483,0.07964555138242235
ACH-000484,-0.030184932269517007
ACH-000485,0.2034189025606643
ACH-000486,0.1621835565805415
ACH-000487,0.2133871322417955
ACH-000488,0.1753505917367134
ACH-000490,0.1298989443903532
ACH-000491,0.17814893860142747
ACH-000495,0.29072019437339663
ACH-000496,0.1009632662384426
ACH-000499,0.18212983537742253
ACH-000500,0.4913838348720291
ACH-000502,0.11670445342574205
ACH-000503,-0.035847441543170384
ACH-000505,0.1144723677007399
ACH-000507,0.13526893260942238
ACH-000510,0.09421786277455718
ACH-000511,0.02847804296235522
ACH-000512,0.2424396393976589
ACH-000516,0.07725280194783173
ACH-000517,0.12814961878310707
ACH-000518,0.18747576925825812
ACH-000520,0.13811130427880747
ACH-000521,0.15191381065883142
ACH-000522,0.06110554295415594
ACH-000524,0.17537024430322404
ACH-000527,0.23238436708202304
ACH-000528,0.09060179749747063
ACH-000537,0.18960584069651126
ACH-000541,0.3186353982632032
ACH-000542,0.22883303955092354
ACH-000544,0.2940121120371534
ACH-000545,0.1853115580458183
ACH-000547,0.22182641506160344
ACH-000548,0.14278443142659053
ACH-000549,0.07169070940563753
ACH-000550,0.11663146478514087
ACH-000552,0.09837629700137132
ACH-000556,0.051406554189800266
ACH-000557,0.10756655308471362
ACH-000569,0.1668724083210373
ACH-000570,0.13118300089894658
ACH-000571,0.10181514087329066
ACH-000573,0.12090805583287602
ACH-000576,0.17566689510389266
ACH-000579,0.3220383530951553
ACH-000580,0.1344728699157482
ACH-000584,0.1768412083041214
ACH-000585,0.14323294705661732
ACH-000588,0.3245786391314572
ACH-000589,0.1907314817365575
ACH-000591,0.2742234124559665
ACH-000593,0.21916278569378034
ACH-000600,0.17908992174267999
ACH-000601,0.18917585277157495
ACH-000605,0.1691043466564447
ACH-000606,0.09510408500007238
ACH-000608,0.15217441266220674
ACH-000614,0.21287037790515267
ACH-000616,0.1747424466856501
ACH-000618,0.14941416418591005
ACH-000619,0.3135951507476745
ACH-000620,0.18838913240921412
ACH-000621,0.12749727548085885
ACH-000622,0.0385584076128664
ACH-000623,0.2442043320933562
ACH-000624,0.14230682912450324
ACH-000627,0.2355830000286875
ACH-000630,0.14903942300555326
ACH-000631,0.13336339883993514
ACH-000632,0.12823331439794633
ACH-000633,0.2225963215017161
ACH-000637,0.027228164246833667
ACH-000638,0.11031059185828364
ACH-000646,0.12547273996812872
ACH-000647,0.1944058568259412
ACH-000648,0.08939399642584724
ACH-000649,0.20174204772722024
ACH-000651,0.1407113142420682
ACH-000652,0.0776476791303399
ACH-000653,0.1943708353547506
ACH-000657,0.1489283030661714
ACH-000658,0.11881305843208315
ACH-000661,0.27581179736468714
ACH-000662,0.03453544897874258
ACH-000663,0.15546072602612845
ACH-000665,0.1313334636442649
ACH-000671,0.13879755837073796
ACH-000672,-0.11026880873450792
ACH-000673,0.1407901266151655
ACH-000676,0.12564550687154358
ACH-000677,0.13848524816555247
ACH-000681,0.13185031131685684
ACH-000683,0.14347876772850945
ACH-000684,0.22581607251677024
ACH-000688,0.1265154207652292
ACH-000693,0.15417395196084974
ACH-000694,0.1908851998349589
ACH-000695,0.35799700612062
ACH-000696,0.09620802557153886
ACH-000697,0.22292132718504196
ACH-000699,0.1835673108272442
ACH-000701,0.10777673543024198
ACH-000706,0.13928747825628854
ACH-000711,0.1045498373407822
ACH-000713,0.17485809240583988
ACH-000714,0.144500914888962
ACH-000718,0.14459691154984805
ACH-000720,0.19305186108641367
ACH-000721,0.15794858749506818
ACH-000724,0.0390390129436116
ACH-000725,0.2626032017465661
ACH-000732,0.07358444755153662
ACH-000734,0.06151646678607696
ACH-000735,0.0940883080739252
ACH-000736,0.07726921334007897
ACH-000738,0.17182141366361373
ACH-000746,0.09759715949170188
ACH-000747,-0.0021801439987384212
ACH-000748,0.10104842053367087
ACH-000753,0.1915949600830339
ACH-000756,0.22111763151212555
ACH-000757,0.2613256884361723
ACH-000758,0.0631350440670611
ACH-000760,0.11504603932858105
ACH-000762,0.11802872154141605
ACH-000763,0.17933411566783602
ACH-000764,0.1360166557034722
ACH-000765,0.14161343526031098
ACH-000766,0.23132125018893926
ACH-000767,0.20378179998179227
ACH-000768,0.14570611920690213
ACH-000769,0.1199213007259566
ACH-000770,0.16773746450991125
ACH-000771,0.14441882121573096
ACH-000773,0.20993184908994936
ACH-000776,0.05509395647640068
ACH-000777,0.18946004424252805
ACH-000778,0.11156146661409017
ACH-000781,0.1960033325154711
ACH-000782,0.020977813963433376
ACH-000783,0.09770132828776024
ACH-000784,0.11599279276529433
ACH-000785,0.04411126101611545
ACH-000787,0.2049808839619508
ACH-000788,0.060976065893310324
ACH-000791,0.1874005069643826
ACH-000792,0.15690478860366608
ACH-000794,0.1319233240237364
ACH-000796,0.20637969695241146
ACH-000798,0.4319506480925197
ACH-000799,0.2593444805888264
ACH-000800,0.15094937144517973
ACH-000802,0.23893599969875845
ACH-000804,0.3238366445717866
ACH-000805,0.2830072669796808
ACH-000809,0.0883689715620416
ACH-000810,0.3611751884462753
ACH-000811,0.1451818466964457
ACH-000817,0.1877108341902552
ACH-000819,0.12246702134138705
ACH-000820,0.32993342768866063
ACH-000821,0.20845509989468225
ACH-000822,0.10903672684210958
ACH-000823,0.11552913333429495
ACH-000824,0.10208357361013123
ACH-000827,0.20277282503739424
ACH-000829,0.23066438504541875
ACH-000831,0.13594055907725747
ACH-000832,0.0500100807495477
ACH-000833,0.16370715995100055
ACH-000834,0.031326528596089614
ACH-000835,0.14210801057686087
ACH-000836,0.08541663100757158
ACH-000837,0.06019688530424399
ACH-000838,0.15979951413342638
ACH-000839,0.06239504876950268
ACH-000840,-0.007250951127376533
ACH-000841,0.09233109380288523
ACH-000843,0.18880813888835646
ACH-000846,0.14519359744016502
ACH-000847,0.21034497356824264
