,MMD (23531)
ACH-000004,0.09678502700083112
ACH-000005,-0.5120103212161935
ACH-000007,-0.0749892216148656
ACH-000009,0.008776415905083924
ACH-000011,0.022220651184916503
ACH-000012,0.17784451978805868
ACH-000013,0.046352853965727685
ACH-000014,-0.28255126148399
ACH-000015,0.010586001339363887
ACH-000017,-0.025238312466685658
ACH-000018,-0.13217464395382938
ACH-000019,0.10306131545207534
ACH-000021,0.061279748071402934
ACH-000022,-0.03404078291119271
ACH-000025,0.14223170024598325
ACH-000028,0.0668735824055737
ACH-000030,-0.08452746134772833
ACH-000035,-0.026849955022560837
ACH-000036,-0.003951541012243902
ACH-000037,0.10333230439922933
ACH-000039,0.11943225018447562
ACH-000040,-0.11121179233863143
ACH-000041,-0.03001326846936987
ACH-000042,-0.15878304097549972
ACH-000045,0.01780626360799009
ACH-000047,-0.016742186313718568
ACH-000052,-0.07350397576380145
ACH-000053,-0.0798588859264362
ACH-000054,-0.007757392457496155
ACH-000055,0.10538001076784187
ACH-000060,-0.3561023910920065
ACH-000067,-0.06875316832020427
ACH-000070,-0.030281772823289813
ACH-000075,-0.040817260075280935
ACH-000078,-0.06692510836028003
ACH-000082,0.03946405738709105
ACH-000085,0.005297466841204633
ACH-000086,-0.1082507821754014
ACH-000087,0.03611038441205041
ACH-000092,-0.12123972135938553
ACH-000095,-0.1451191194552222
ACH-000097,-0.10358266089283603
ACH-000098,-0.20870340842403007
ACH-000099,-0.06779574871845673
ACH-000108,-0.0984504228396498
ACH-000113,0.02223388361464891
ACH-000116,-0.07942265710041815
ACH-000118,0.12155362632775947
ACH-000120,-0.1397392472891809
ACH-000123,-0.05551379001738972
ACH-000127,0.05228968553321352
ACH-000128,-0.16668017330329035
ACH-000132,0.014937264646790368
ACH-000133,-0.01643862654219561
ACH-000137,-0.05355058692855315
ACH-000138,-0.15432445301274275
ACH-000142,-0.08405641773685182
ACH-000143,-0.13177784642206428
ACH-000146,-0.04104784656879678
ACH-000148,-0.1172188494056642
ACH-000150,0.04628002080582457
ACH-000152,-0.017720781789157796
ACH-000153,-0.05636807992576165
ACH-000159,0.04986983780933354
