,NSMCE4A (54780)
ACH-000004,-0.2579381804537866
ACH-000005,-0.3629697428505405
ACH-000007,-0.5496693286561289
ACH-000009,-0.251531367738805
ACH-000011,-0.1335246003204025
ACH-000012,-0.3424531155150507
ACH-000013,-0.24444944420161366
ACH-000014,-0.3958076491637726
ACH-000015,-0.3820121849183761
ACH-000017,-0.332378762956333
ACH-000018,-0.2961935037845809
ACH-000019,-0.3162432505997653
ACH-000021,-0.6017344228232516
ACH-000022,-0.3007390646979584
ACH-000025,-0.3307068434675381
ACH-000028,-0.3649982322318481
ACH-000030,-0.13841423918793494
ACH-000035,-0.3320604944104321
ACH-000036,-0.4452147680648413
ACH-000037,-0.2705651138582049
ACH-000039,-0.34908749113787285
ACH-000040,-0.2534430422360417
ACH-000041,-0.24043474021031486
ACH-000042,-0.5781356869442571
ACH-000045,-0.4625295539917874
ACH-000047,-0.4646281673244678
ACH-000052,-0.685297013171449
ACH-000053,-0.6258981469887728
ACH-000054,-0.19297320752587185
ACH-000055,-0.5906173406497078
ACH-000060,-0.29530366439860706
ACH-000067,-0.7106378532477244
ACH-000070,-0.2573561022148247
ACH-000075,-0.5001997706855011
ACH-000078,-0.2785075278999993
ACH-000082,-0.17646602559865374
ACH-000085,-0.44788550842432256
ACH-000086,-0.2921840175333277
ACH-000087,-0.3096854502578427
ACH-000092,-0.3874617022352244
ACH-000095,-0.4192320180534065
ACH-000097,-0.4440810850492285
ACH-000098,-0.347855314539902
ACH-000099,-0.3132875542243658
ACH-000108,-0.2917426832758391
ACH-000113,-0.4272818364748041
ACH-000116,-0.4040715340884887
ACH-000118,-0.6850579962090911
ACH-000120,-0.30217701226706106
ACH-000123,-0.3948146143445679
ACH-000127,-0.2556647089517457
ACH-000128,-0.40022641914081
ACH-000132,-0.16529791490094647
ACH-000133,-0.4408634034288449
ACH-000137,-0.6019198769444032
ACH-000138,-0.26466617457735925
ACH-000142,-0.2560216635102225
ACH-000143,-0.6431338451306501
ACH-000146,-0.3489356044903122
ACH-000148,-0.4661876842116211
ACH-000150,-0.30190942835731405
ACH-000152,-0.4042256179308091
ACH-000153,-0.0577020273019399
ACH-000159,-0.1891772278476612
ACH-000160,-0.2781137368653686
ACH-000163,-0.6415947613215196
ACH-000167,-0.5402059461397782
ACH-000168,-0.3148262500057371
ACH-000169,-0.30374329783008736
ACH-000178,-0.4374742773023258
ACH-000183,-0.29571566048077097
ACH-000188,-0.34865290213277245
ACH-000189,-0.5238835491002216
ACH-000190,-0.21009308673131116
ACH-000198,-0.3125740036841833
ACH-000203,-0.11882992762654747
ACH-000204,-0.2220107361211131
ACH-000206,-0.4354810051973804
ACH-000207,-0.41628018447119897
ACH-000208,-0.4401704679751379
ACH-000210,-0.4983351372160625
ACH-000211,-0.3754934284206913
ACH-000215,-0.40573657192010026
ACH-000221,-0.22778448544737945
ACH-000222,-0.13322350327333346
ACH-000223,-0.25202077568431464
ACH-000226,-0.455068345294032
ACH-000227,-0.2645532857183598
ACH-000228,-0.597268668549671
ACH-000231,-0.3673674659728303
ACH-000232,-0.3044720466957044
ACH-000233,-0.4849195267217438
ACH-000234,-0.1997904136830305
ACH-000235,-0.3890249080006565
ACH-000237,-0.4575803142161537
ACH-000238,-0.3884637916740388
ACH-000242,0.048350051899123565
ACH-000243,-0.4589092959522562
ACH-000244,-0.3545674844964836
ACH-000246,-0.4676512635344453
ACH-000248,-0.4662844551539571
ACH-000250,-0.16723979953647652
ACH-000251,-0.3147922986420586
ACH-000252,-0.2781309207318993
ACH-000253,-0.3701686078210809
ACH-000255,-0.4894350373239895
ACH-000256,-0.4826744744071908
ACH-000257,-0.8149767744872131
ACH-000258,-0.5367055011557582
ACH-000259,-0.3217315551706795
ACH-000260,-0.37057064577749066
ACH-000261,-0.2572960353514201
ACH-000262,-0.45953433580159
ACH-000263,-0.09128757616836483
ACH-000264,-0.1680350854484278
ACH-000265,-0.2694486918318342
ACH-000266,-0.6848137462758334
ACH-000272,-0.4192415103577608
ACH-000274,-0.1833916703066525
ACH-000277,-0.4012044567714653
ACH-000278,-0.7282430155399046
ACH-000279,-0.5043734021025607
ACH-000280,-0.4569250201777094
ACH-000281,-0.5217720913539506
ACH-000288,-0.5269260638198827
ACH-000291,-0.39773717395987895
ACH-000293,-0.17029333210544925
ACH-000294,-0.061973348324760376
ACH-000295,-0.405861702278686
ACH-000296,-0.2878101906726203
ACH-000302,-0.3097485278778888
ACH-000304,-0.27584374039734205
ACH-000307,-0.5572963037554283
ACH-000308,-0.4276230314179381
ACH-000310,-0.22146248255367268
ACH-000311,-0.4459497864668412
ACH-000312,-0.17041467874073327
ACH-000315,-0.5344452210902876
ACH-000316,-0.5794579404403095
ACH-000317,-0.3510214814019945
ACH-000318,-0.3272554652207517
ACH-000319,-0.2566661169051125
ACH-000320,-0.2287718339355
ACH-000322,-0.5911615284982932
ACH-000323,-0.4910841436640287
ACH-000324,-0.3006419873687565
ACH-000329,-0.26867079161535035
ACH-000330,-0.4378259041919089
ACH-000331,-0.6710106797651342
ACH-000332,-0.2089999802837367
ACH-000334,-0.2254003623875317
ACH-000335,-0.3543621974565193
ACH-000336,-0.8397186960392583
ACH-000337,-0.6394738782683524
ACH-000338,-0.30405611167567953
ACH-000339,-0.5153453931342217
ACH-000341,-0.25529544123710673
ACH-000348,-0.4653036867809361
ACH-000350,-0.3350917118916269
ACH-000352,-0.22442774445657185
ACH-000356,-0.27393676752888896
ACH-000361,-0.2933733821922583
ACH-000362,-0.5134317846691436
ACH-000363,-0.09733189451679426
