,ATP2A1 (487)
ACH-000004,-0.21221736700875585
ACH-000005,-0.2986671630880962
ACH-000007,0.07207358490319196
ACH-000009,0.03342608555007956
ACH-000011,-0.04446554657311532
ACH-000012,-0.028902225694870283
ACH-000013,-0.2046480988108555
ACH-000014,-0.03388832682224745
ACH-000015,-0.1897573711227076
ACH-000017,-0.0007462134155709072
ACH-000018,0.045247691273256736
ACH-000019,-0.13016752094662493
ACH-000021,-0.12233680592036288
ACH-000022,-0.09416356662447832
ACH-000025,-0.1686229245833635
ACH-000028,-0.054200131623931835
ACH-000030,0.10910663975696493
ACH-000035,-0.1314495482938088
ACH-000036,0.03129960853689312
ACH-000037,-0.1190425134605414
ACH-000039,0.051690329274286066
ACH-000040,-0.04363692160550714
ACH-000041,-0.026542442031030348
ACH-000042,0.09810599503033884
ACH-000045,-0.09976492305794137
ACH-000047,-0.11570217909049953
ACH-000052,-0.0624692450139169
ACH-000053,-0.006136425981250217
ACH-000054,-0.13271697742497535
ACH-000055,-0.014609555201857026
ACH-000060,0.10496694090460656
ACH-000067,-0.03266519076885159
ACH-000070,-0.158390382643359
ACH-000075,-0.02045628677793871
ACH-000078,-0.02264888879559481
ACH-000082,-0.05370599197665408
ACH-000085,0.16111600414789282
ACH-000086,0.019338315369695283
ACH-000087,-0.2189175178604363
ACH-000092,-0.043027950164994264
ACH-000095,-0.07128713641072994
ACH-000097,-0.0787206445680338
ACH-000098,-0.11214527147028816
ACH-000099,0.01622522797632607
ACH-000108,-0.043675207536299686
ACH-000113,-0.14134603617766806
ACH-000116,-0.09882551075059844
ACH-000118,-0.03579169148382556
ACH-000120,-0.18396845480554924
ACH-000123,-0.054427979390272
ACH-000127,-0.2056439401282156
ACH-000128,0.007144931604934879
ACH-000132,-0.10449182029952253
ACH-000133,0.019783862756816963
ACH-000137,-0.1788619617012992
ACH-000138,0.028674410293402727
ACH-000142,-0.15282126125931758
ACH-000143,-0.103682776808805
ACH-000146,-0.08067983035405576
ACH-000148,-0.14321985416456545
ACH-000150,-0.11123450709862852
ACH-000152,-0.10923978654194222
ACH-000153,0.025792265858076438
ACH-000159,-0.08324790130390135
ACH-000160,-0.09739563448741807
ACH-000163,-0.1728897231474197
ACH-000167,0.09754838485781872
ACH-000168,-0.16477092053626066
ACH-000169,-0.112116199986724
ACH-000178,-0.0002465119662977474
ACH-000183,-0.3113039064712412
ACH-000188,0.09645812444708014
ACH-000189,-0.01711653230465113
ACH-000190,0.03081002223599805
ACH-000198,-0.08352448097391567
ACH-000203,0.3025712798811283
ACH-000204,-0.14456448849708742
ACH-000206,-0.05964984593376401
ACH-000207,-0.06775315727951707
ACH-000208,0.07358178245142626
ACH-000210,-0.1672999766612134
ACH-000211,-0.05274408558180828
ACH-000215,-0.05287143517200063
ACH-000221,-0.0494155723222569
ACH-000222,-0.0065487979425824785
ACH-000223,-0.09844478920563454
ACH-000226,-0.005683653958470201
ACH-000227,-0.13198962234612446
ACH-000228,-0.01565454516124276
ACH-000231,-0.0576204574657988
ACH-000232,-0.06958555847555523
ACH-000233,-0.06570051067776672
ACH-000234,-0.047112023760826544
ACH-000235,-0.008599664640423348
ACH-000237,-0.08270336926735808
ACH-000238,0.061794072214372525
ACH-000242,-0.1574126673033477
ACH-000243,-0.1717559781551008
ACH-000244,0.08349572621486037
ACH-000246,0.041841924573115565
ACH-000248,-0.12570598790232765
ACH-000250,-0.03481260561986918
ACH-000251,-0.07948552259336135
ACH-000252,0.09498712970313858
ACH-000253,0.10002623838784744
ACH-000255,-0.2465795342284033
ACH-000256,-0.003694592522399254
ACH-000257,-0.2387779693771006
ACH-000258,-0.16753616393355275
ACH-000259,-0.09981199295135308
ACH-000260,-0.0734834775482718
ACH-000261,-0.0903836594879366
ACH-000262,-0.1959105702038084
ACH-000263,-0.10256950813444017
ACH-000264,-0.08776433011557931
ACH-000265,-0.17574466420803153
ACH-000266,-0.048683401142381115
ACH-000272,-0.09289704364732704
ACH-000274,-0.03446391589165438
ACH-000277,0.0071635793840660955
ACH-000278,0.060537005424941434
ACH-000279,-0.09233473403602123
ACH-000280,-0.1409996789394385
ACH-000281,0.08607211085057084
ACH-000288,-0.19481428783471053
ACH-000291,-0.08524860931788295
ACH-000293,-0.04722151493452235
ACH-000294,-0.10829944191463796
ACH-000295,-0.0440923824259396
ACH-000296,-0.07233280626624015
ACH-000302,-0.17024174811908035
ACH-000304,-0.17973462213477046
ACH-000307,0.01224612596414653
ACH-000308,-0.07932987240069142
ACH-000310,0.0005766462245764832
ACH-000311,-0.09101570683128306
ACH-000312,-0.0797664451098288
ACH-000315,-0.25323040312747896
ACH-000316,-0.06203861127139724
ACH-000317,0.033931525565869945
ACH-000318,-0.13066842514641866
ACH-000319,-0.21844782666553156
ACH-000320,-0.0927493161119719
ACH-000322,-0.2098856268812251
ACH-000323,-0.12669411246146792
ACH-000324,0.01983642284919102
ACH-000329,-0.1046574632844235
ACH-000330,-0.08530978454278271
ACH-000331,-0.032057361806612915
ACH-000332,-0.05693657175649229
ACH-000334,-0.17070446060515476
ACH-000335,0.19015668911649045
ACH-000336,-0.08047381852997762
ACH-000337,-0.07151375470818963
ACH-000338,-0.2829306276562473
ACH-000339,0.04063398716387385
ACH-000341,0.1257457845200222
ACH-000348,-0.10091667481530484
ACH-000350,-0.027137845707436003
ACH-000352,-0.09380533928879912
ACH-000356,-0.2698317507756539
ACH-000361,-0.09941628100309136
ACH-000362,-0.039520811624686715
ACH-000363,-0.05618317365095872
ACH-000364,-0.10183114461600404
ACH-000365,-0.1716618115158028
ACH-000366,-0.04956984907032965
ACH-000368,-0.11981323576819965
ACH-000374,-0.11008586635118567
ACH-000375,0.13422040897401258
ACH-000376,0.020323829945611185
ACH-000381,-0.0810626232355312
ACH-000383,-0.02800688445805684
ACH-000387,-0.11514544678207855
ACH-000389,0.04922407200207937
ACH-000390,-0.13574384472222406
ACH-000393,0.006068943112736047
ACH-000395,0.1385980948555028
ACH-000396,0.04028270935893174
ACH-000397,-0.09604833392017983
ACH-000401,-0.2326116119813265
ACH-000402,-0.04006037150143204
ACH-000403,0.00948155253907048
ACH-000404,-0.1080769556857218
ACH-000406,-0.138643835512741
ACH-000407,-0.1803380299686223
ACH-000408,0.007059649955489988
ACH-000410,-0.13921277613656027
ACH-000411,-0.03867779879320391
ACH-000414,-0.05506187526124957
ACH-000415,-0.11701399531678805
ACH-000416,-0.0736632466998086
ACH-000420,-0.205495359594163
ACH-000421,-0.1251380078898472
ACH-000424,-0.05682698997540912
ACH-000425,-0.12923236439348995
ACH-000426,0.012419207314209677
ACH-000427,0.0907019345208846
ACH-000433,-0.0796198656997804
ACH-000435,-0.2530689003607669
ACH-000436,-0.0963003707919418
ACH-000444,-0.01723400122586865
ACH-000445,-0.06290484321393765
ACH-000448,-0.13606714336056444
ACH-000450,-0.06508951401914062
ACH-000452,-0.14708484102020974
ACH-000454,0.02175352552340528
ACH-000458,-0.08620642486440601
ACH-000459,-0.10745771523127512
ACH-000460,-0.07312330770162596
ACH-000461,-0.1091554859272905
ACH-000463,-0.11468591127868495
ACH-000464,0.0450958809025936
ACH-000466,0.04214163991771376
ACH-000467,0.0219998100419659
ACH-000468,-0.018620233408960237
ACH-000469,-0.04115738792995347
ACH-000470,0.0018172525499903782
ACH-000471,0.006037676931491168
ACH-000472,-0.09243229925592553
ACH-000473,-0.06506311368584332
ACH-000475,-0.07286905229304674
ACH-000476,-0.10582267833497183
ACH-000477,0.07391615165525417
ACH-000479,0.16442288955640155
ACH-000480,-0.1612953292119852
ACH-000481,-0.11928309859886002
ACH-000483,-0.16466051776875498
ACH-000484,-0.03177350187359232
ACH-000485,0.0011981335424158868
