,SAMD4A (23034)
ACH-000004,-0.13170342736550064
ACH-000005,-0.1507163014329299
ACH-000007,-0.28008928802217176
ACH-000009,-0.4067195998240572
ACH-000011,-0.23628608571578905
ACH-000012,-0.24115725817612724
ACH-000013,-0.3479621754845155
ACH-000014,-0.2436497574344079
ACH-000015,-0.2991327515013079
ACH-000017,-0.12150337794057578
ACH-000018,-0.19825190387256614
ACH-000019,-0.21621551823384091
ACH-000021,-0.3368281997968665
ACH-000022,-0.1552393097999293
ACH-000025,-0.27320428303620803
ACH-000028,-0.34913237072583103
ACH-000030,-0.3950922416703625
ACH-000035,-0.2747656334035095
ACH-000036,-0.3392556326832765
ACH-000037,-0.2186783300454206
ACH-000039,-0.2395616143529269
ACH-000040,-0.42936587128703146
ACH-000041,-0.33126100261733643
ACH-000042,-0.2989397453383931
ACH-000045,-0.3333886363508542
ACH-000047,-0.3724943040864932
ACH-000052,-0.3710893658314791
ACH-000053,-0.21588561703420828
ACH-000054,-0.35430695044738825
ACH-000055,-0.3490130487447472
ACH-000060,-0.5462673922466118
ACH-000067,-0.19132817567646432
ACH-000070,-0.3395396319471457
ACH-000075,-0.34388065024357845
ACH-000078,-0.3846928338291344
ACH-000082,-0.3849667528169591
ACH-000085,-0.5414912060289103
ACH-000086,-0.2349364550389864
ACH-000087,-0.3596148069807973
ACH-000092,-0.44582956459715395
ACH-000095,-0.3141227819026081
ACH-000097,-0.2974028832720448
ACH-000098,-0.25868166857857217
ACH-000099,-0.28382006389605263
ACH-000108,-0.2598066408083809
ACH-000113,-0.23445034685665275
ACH-000116,-0.24199763462278798
ACH-000118,-0.28923717829748824
ACH-000120,-0.19599779190401684
ACH-000123,-0.30870058211286383
ACH-000127,-0.4170312884497284
ACH-000128,-0.34816708699405835
ACH-000132,-0.6498931224666996
ACH-000133,-0.4344065477387117
ACH-000137,-0.3836400871465364
ACH-000138,-0.25907224915271704
ACH-000142,-0.44171175331962104
ACH-000143,-0.4254195236415321
ACH-000146,-0.24977120992824706
ACH-000148,-0.17464705815649373
ACH-000150,-0.19373860862261874
ACH-000152,-0.31788322813467
ACH-000153,-0.19257146553222834
ACH-000159,-0.40797770906949415
ACH-000160,-0.4469051734265861
ACH-000163,-0.1717543630403464
ACH-000167,0.2299761687429681
ACH-000168,-0.1457512555502953
ACH-000169,-0.20497662859445334
ACH-000178,-0.2430951123596593
ACH-000183,-0.340326595600852
