,KNCN (148930)
ACH-000004,0.09274938301000923
ACH-000005,-0.25500261478605074
ACH-000007,0.09388877932463698
ACH-000009,-0.10893614682671024
ACH-000011,0.010020685716797564
ACH-000012,-0.21394692542785027
ACH-000013,-0.15707583747318524
ACH-000014,0.032976358951370716
ACH-000015,-0.09964322529797894
ACH-000017,-0.10914647395110423
ACH-000018,-0.15926415076627928
ACH-000019,0.020548437825451002
ACH-000021,0.07883802585810261
ACH-000022,0.07014896535910177
ACH-000025,-0.07152568734474064
ACH-000028,-0.14271646074404687
ACH-000030,-0.14511493460567396
ACH-000035,-0.08484698592901695
ACH-000036,-0.1097424141899817
ACH-000037,0.006272067396731719
ACH-000039,0.0001399357691111501
ACH-000040,-0.060678311116690586
ACH-000041,-0.02273950999250297
ACH-000042,0.07131749208380772
ACH-000045,-0.09763828825446172
ACH-000047,-0.0895862433326767
ACH-000052,-0.04586855692615248
ACH-000053,-0.0975419251878855
ACH-000054,-0.02193420469950129
ACH-000055,-0.04598256613095687
ACH-000060,-0.04647391702721573
ACH-000067,-0.0983491281565374
ACH-000070,0.04326443052123748
ACH-000075,-0.009661548622015105
ACH-000078,-0.049110520479613055
ACH-000082,-0.14995953869005635
ACH-000085,0.06907125600810539
ACH-000086,-0.11221126148755144
ACH-000087,-0.00770673990574637
ACH-000092,-0.2825450527991878
ACH-000095,-0.036349942044119087
ACH-000097,-0.024368347900101974
ACH-000098,0.023983966633949368
ACH-000099,-0.07334654214817593
ACH-000108,-0.13467819866768346
ACH-000113,0.012747787230473585
ACH-000116,-0.08523363027970311
ACH-000118,-0.1527010564434824
ACH-000120,0.06487536033550291
ACH-000123,-0.1079664530369102
ACH-000127,0.024587495172518577
ACH-000128,-0.1751947490360344
ACH-000132,-0.03125362707277275
ACH-000133,-0.20394266407569134
ACH-000137,-0.02523255825746043
ACH-000138,-0.05241097013443175
ACH-000142,-0.09651216485319243
ACH-000143,-0.07132470718238844
ACH-000146,-0.04292858447192624
