,RTFDC1 (51507)
ACH-000004,-0.8462745703098179
ACH-000005,-0.9379949376265556
ACH-000007,-0.2490099738372417
ACH-000009,-0.6768123586645705
ACH-000011,-0.5018001079768368
ACH-000012,-0.6502683995612787
ACH-000013,-0.4443638407024104
ACH-000014,-0.4779729201281152
ACH-000015,-0.6524470856755463
ACH-000017,-0.4095002730786505
ACH-000018,-0.6239217783236632
ACH-000019,-0.5512876462058242
ACH-000021,-0.7845811031010198
ACH-000022,-0.4065444748652292
ACH-000025,-0.8122744027567346
ACH-000028,-0.5164654419424933
ACH-000030,-0.7027135562187435
ACH-000035,-0.3634950184597045
ACH-000036,-0.5904422924912696
ACH-000037,-0.2379407977145577
ACH-000039,-0.5583535274627314
ACH-000040,-0.7253498947259643
ACH-000041,-0.5336069599416801
ACH-000042,-0.6272040363852697
ACH-000045,-0.6549380130596453
ACH-000047,-0.6521824542824409
ACH-000052,-0.6285557041198796
ACH-000053,-0.6947931141700864
ACH-000054,-0.7287782834697257
ACH-000055,-0.8493880558715875
ACH-000060,-0.8562043727415385
ACH-000067,-0.841450134332743
ACH-000070,-0.6161608398535515
ACH-000075,-0.6708462444508383
ACH-000078,-0.5558774406900703
ACH-000082,-0.7170979819877358
ACH-000085,-0.6772709250585982
ACH-000086,-0.9207658098354607
ACH-000087,-0.6812596406420729
ACH-000092,-0.8711400235137959
ACH-000095,-0.6383131193750137
ACH-000097,-0.3779453042130474
ACH-000098,-0.7807352949125737
ACH-000099,-0.7173125941146962
ACH-000108,-0.6107113250098546
ACH-000113,-0.6061804520708115
ACH-000116,-0.9637772217674904
ACH-000118,-0.6148309333866949
ACH-000120,-0.8821417127514821
ACH-000123,-0.6191438834924323
ACH-000127,-0.5503419847972533
ACH-000128,-0.7491669663182307
ACH-000132,-0.6349451402454538
ACH-000133,-0.7504690927346108
ACH-000137,-0.8730960733453244
ACH-000138,-0.6158117322238689
ACH-000142,-0.4383375183860494
ACH-000143,-0.5387486015427478
ACH-000146,-0.5008114579542694
ACH-000148,-0.6274335483052045
ACH-000150,-0.7186092536193626
ACH-000152,-0.8031119215928711
ACH-000153,-0.4037093168995128
ACH-000159,-0.6984075138729673
ACH-000160,-0.8200171029584762
ACH-000163,-0.6598709097289176
ACH-000167,-1.0144556484706366
ACH-000168,-0.7960830632109318
ACH-000169,-0.6339387503443094
ACH-000178,-0.3576349509722219
ACH-000183,-0.8078238385305042
ACH-000188,-0.7200607869435078
ACH-000189,-0.615374828897815
ACH-000190,-1.0161519990519758
ACH-000198,-0.6420030535989931
ACH-000203,-0.6341018860805748
ACH-000204,-0.5551311466285512
ACH-000206,-0.7305903367703149
ACH-000207,-0.6980274961180554
ACH-000208,-0.8212561381413901
ACH-000210,-0.6019604296163691
ACH-000211,-0.5551701992409344
ACH-000215,-0.7877877742846547
ACH-000221,-0.8514662855846844
ACH-000222,-0.5251289274940435
ACH-000223,-0.5925757198150541
ACH-000226,-0.721992514721162
ACH-000227,-0.7288664016927233
ACH-000228,-0.6564302866444386
ACH-000231,-1.033382245518124
ACH-000232,-0.6300753476132174
ACH-000233,-0.7340227151754628
ACH-000234,-0.3863007779253387
ACH-000235,-0.5246901854219573
ACH-000237,-0.6645785787015573
ACH-000238,-0.5456443459477388
ACH-000242,-0.7922251293856489
ACH-000243,-0.7114037335942744
ACH-000244,-0.45021970661328004
ACH-000246,-0.5928656068949184
ACH-000248,-0.4583108566806453
ACH-000250,-0.7015467483692174
ACH-000251,-1.0930483802099868
ACH-000252,-0.6603927049098418
ACH-000253,-0.5167449203181034
ACH-000255,-0.7560094953733969
ACH-000256,-0.5262590163908387
ACH-000257,-0.4931427963756235
ACH-000258,-0.5508446136247259
ACH-000259,-0.5925963021254222
ACH-000260,-0.7047046042050885
ACH-000261,-0.6840677978721377
ACH-000262,-0.5236103727883016
ACH-000263,-0.8627589241395076
ACH-000264,-0.9498968927995668
ACH-000265,-0.7694434156015365
ACH-000266,-0.723340463098957
ACH-000272,-0.8624580799713901
ACH-000274,-0.6915379368356592
ACH-000277,-0.4177117798532212
ACH-000278,-0.4903183156665168
ACH-000279,-0.644848529138466
ACH-000280,-0.6428338676845377
ACH-000281,-0.5804524029021622
ACH-000288,-0.5422788678468954
ACH-000291,-0.8326380923569913
ACH-000293,-0.9074831224775678
ACH-000294,-0.5282044916930057
ACH-000295,-0.7979803529310341
ACH-000296,-0.5370473742374949
ACH-000302,-0.6709865709319456
ACH-000304,-0.4982245052413957
ACH-000307,-0.5563372838978401
ACH-000308,-0.5543541628520385
ACH-000310,-0.6646582152972524
ACH-000311,-0.4658990850790301
ACH-000312,-0.7436737438743543
ACH-000315,-0.2008179599141764
ACH-000316,-0.578966422283712
ACH-000317,-0.7498757382237214
ACH-000318,-0.7204358699073459
ACH-000319,-0.5349743528810014
ACH-000320,-0.5334177310700545
ACH-000322,-0.5682732203150227
ACH-000323,-0.7743072943157725
ACH-000324,-0.6392485969658852
ACH-000329,-0.7648358506287947
ACH-000330,-0.4419422968332453
ACH-000331,-0.9003876957970202
ACH-000332,-0.6856306502614774
ACH-000334,-0.5081885964787558
ACH-000335,-0.9848841699895208
ACH-000336,-0.8720511761550855
