,BDH2 (56898)
ACH-000004,-0.216798133826978
ACH-000005,-0.16714872380356055
ACH-000007,-0.16814080092851685
ACH-000009,-0.2219566418256632
ACH-000011,-0.17386471550648094
ACH-000012,-0.1986875694869835
ACH-000013,-0.11574466897765286
ACH-000014,-0.22931920749488946
ACH-000015,-0.1478403069397163
ACH-000017,-0.22998956028157505
ACH-000018,-0.3650031742583882
ACH-000019,-0.39186942866445096
ACH-000021,-0.33190196229143243
ACH-000022,-0.1877849916940648
ACH-000025,-0.2611839428738707
ACH-000028,-0.16894487974813868
ACH-000030,-0.28387943853571906
ACH-000035,-0.13915826762877698
ACH-000036,-0.14194572397115932
ACH-000037,-0.03568172838335578
ACH-000039,-0.2326898038962465
ACH-000040,-0.207731849123595
ACH-000041,-0.2137473011888288
ACH-000042,-0.15072106609649666
ACH-000045,-0.09970549422336024
ACH-000047,-0.3187497625977119
ACH-000052,-0.4559867497687711
ACH-000053,-0.17722408117370705
ACH-000054,-0.09881040907709453
ACH-000055,-0.4926545460961058
ACH-000060,-0.24395765105386394
ACH-000067,-0.21521007020662555
ACH-000070,-0.2432884914315301
ACH-000075,-0.197821325014842
ACH-000078,-0.16586756018399665
ACH-000082,-0.07451857676468412
ACH-000085,-0.10005688585755572
ACH-000086,-0.12337034640511015
ACH-000087,-0.3277743455399319
ACH-000092,-0.3915687520652385
ACH-000095,-0.18771927824110207
ACH-000097,-0.2233143244561341
ACH-000098,-0.17537321907849987
ACH-000099,-0.05987086857687175
ACH-000108,-0.22191751594457973
ACH-000113,-0.2692472973743517
ACH-000116,-0.19712465279574826
ACH-000118,-0.22268559933451013
ACH-000120,-0.17117241918890705
ACH-000123,-0.24496628966320205
ACH-000127,-0.1427933936788696
ACH-000128,-0.19408710980508628
ACH-000132,-0.30309616275268925
ACH-000133,-0.2277058671300177
ACH-000137,-0.15426634364667918
ACH-000138,-0.08676145590182736
ACH-000142,-0.10181310524717142
ACH-000143,-0.1263261124008989
ACH-000146,-0.16663151503240806
ACH-000148,-0.15130652286288884
ACH-000150,-0.3440071195851668
ACH-000152,-0.2153609689044207
ACH-000153,-0.5270710302542608
ACH-000159,-0.1716908609815024
ACH-000160,-0.0627449463792715
ACH-000163,-0.2697285552605881
ACH-000167,-0.3528747420622613
ACH-000168,-0.2572521837124447
ACH-000169,-0.24206625062086015
ACH-000178,-0.20567677438108484
ACH-000183,-0.4142825554344111
ACH-000188,-0.2694595700734226
ACH-000189,-0.0009182194935997043
ACH-000190,-0.320749318000264
ACH-000198,-0.24799557642135264
ACH-000203,-0.4614299685623886
ACH-000204,0.052125412620000415
ACH-000206,0.08041142460748116
ACH-000207,0.05387089852773283
ACH-000208,-0.36063603318998905
ACH-000210,0.09535685731192313
ACH-000211,-0.24115306535713346
ACH-000215,-0.1953995213338648
ACH-000221,-0.07158430452006384
ACH-000222,0.009550314486547456
ACH-000223,-0.3273496491631839
ACH-000226,-0.2097484457095828
ACH-000227,-0.3020466780318942
ACH-000228,-0.08717337626126326
ACH-000231,-0.1962714364188945
ACH-000232,-0.18198039557813767
ACH-000233,-0.16718910974451928
ACH-000234,-0.0840719455744523
ACH-000235,-0.10536510561832843
ACH-000237,-0.14783665763072676
ACH-000238,-0.14869813505305468
ACH-000242,-0.03155128514683297
ACH-000243,-0.18401784384347986
ACH-000244,-0.2489954259565881
ACH-000246,-0.1466170226492888
ACH-000248,-0.1165410289639397
ACH-000250,-0.1541324142333196
ACH-000251,-0.2822714370272688
ACH-000252,-0.391241910350257
ACH-000253,-0.22216849478937045
ACH-000255,-0.1789528718263316
ACH-000256,-0.07019899578643674
ACH-000257,-0.1301759273590543
ACH-000258,-0.27234941407638397
ACH-000259,-0.11444405797282775
ACH-000260,-0.10103654966312654
ACH-000261,-0.12311795137444292
ACH-000262,-0.1224165418315602
ACH-000263,-0.053487312754680966
ACH-000264,-0.1329137053261859
ACH-000265,-0.21845158847428986
ACH-000266,-0.1141715249471598
ACH-000272,-0.3263504243604079
ACH-000274,-0.2255619823005885
ACH-000277,-0.058520800559235725
ACH-000278,-0.2583450848617519
ACH-000279,-0.2722052187893145
ACH-000280,0.047858543977413834
ACH-000281,-0.11942990395858095
ACH-000288,-0.056788873817592116
ACH-000291,-0.13309998836387948
ACH-000293,-0.13872758047182834
ACH-000294,-0.2067684554270936
ACH-000295,-0.1843654947539257
ACH-000296,-0.0834877458642355
ACH-000302,-0.21246060052950005
ACH-000304,-0.08838326527740169
ACH-000307,-0.050283431858900135
ACH-000308,-0.1304061862500271
ACH-000310,-0.10272104641493694
ACH-000311,-0.1628977825210432
ACH-000312,-0.1437257014197803
ACH-000315,-0.4796897801338811
ACH-000316,0.06097114438226028
ACH-000317,-0.18695019933092372
ACH-000318,-0.3284547294398514
ACH-000319,-0.15308025442293294
ACH-000320,-0.2390189524268549
ACH-000322,-0.3604758224222816
ACH-000323,-0.2472275281905734
ACH-000324,-0.1292216567461157
ACH-000329,-0.11046668335546306
ACH-000330,-0.14582244837550054
ACH-000331,-0.3886561962501249
