,VDAC1 (7416)
ACH-000004,-0.2563638458601709
ACH-000005,-0.20046237704377504
ACH-000007,-0.34857277716442586
ACH-000009,-0.25176589430229435
ACH-000011,-0.3429364164224069
ACH-000012,-0.42886119781490417
ACH-000013,-0.3530553483627545
ACH-000014,-0.3814196524582519
ACH-000015,-0.4994296148477954
ACH-000017,-0.28628614430065097
ACH-000018,-0.21498484422503886
ACH-000019,-0.19719398054635845
ACH-000021,-0.4078092235187475
ACH-000022,-0.4975193970939978
ACH-000025,-0.15449008159311942
ACH-000028,-0.35492744926387443
ACH-000030,-0.27146402262000097
ACH-000035,-0.2999347529585561
ACH-000036,-0.5009102192145599
ACH-000037,-0.3449832011739571
ACH-000039,-0.1746385473861381
ACH-000040,-0.24704374809741697
ACH-000041,-0.3642911998528693
ACH-000042,-0.26538750875071865
ACH-000045,0.15245317470122932
ACH-000047,-0.4316299982430044
ACH-000052,-0.3638945835533036
ACH-000053,-0.3347540638331956
ACH-000054,-0.2999672017596528
ACH-000055,-0.3455609413371992
ACH-000060,-0.2739547829687892
ACH-000067,-0.3844210312073175
ACH-000070,-0.1432414861894325
ACH-000075,-0.4703213739665212
ACH-000078,-0.10962181586219333
ACH-000082,-0.32691848289082565
ACH-000085,-0.3906557770272924
ACH-000086,-0.3847648502301244
ACH-000087,-0.4523713615043157
ACH-000092,-0.3812252003509318
ACH-000095,-0.16841362837013726
ACH-000097,-0.4093799864251495
ACH-000098,-0.3776678396385569
ACH-000099,-0.3503725064173164
ACH-000108,-0.26393506738592304
ACH-000113,-0.32729743223367663
ACH-000116,-0.2589181623940436
ACH-000118,-0.2809835075450538
ACH-000120,-0.4236670736377308
ACH-000123,-0.2947106872416228
ACH-000127,-0.23757271165901356
ACH-000128,-0.3451548891688802
ACH-000132,-0.4664573975701712
ACH-000133,-0.3483154683515308
ACH-000137,-0.2747430489479485
ACH-000138,-0.3196275296419455
ACH-000142,-0.2509580257602687
ACH-000143,-0.4307047513641856
ACH-000146,-0.11679251189825796
ACH-000148,-0.3380039406440952
ACH-000150,-0.5085277753584764
ACH-000152,-0.3651759449168532
ACH-000153,-0.3726465029297984
ACH-000159,-0.31257913812489085
ACH-000160,-0.2110722046857799
ACH-000163,-0.3100096617073246
ACH-000167,-0.35733931180168993
ACH-000168,-0.16319071707420624
ACH-000169,-0.388338929146271
ACH-000178,-0.4023463424961464
ACH-000183,-0.3080016344484767
ACH-000188,-0.24376326938211745
ACH-000189,-0.4251319961490316
ACH-000190,-0.3140396721946065
ACH-000198,-0.19232403183348787
ACH-000203,-0.6417985306734821
ACH-000204,-0.26194126756117503
ACH-000206,-0.3103692514521583
ACH-000207,-0.2655204230813256
ACH-000208,-0.3242088834498138
ACH-000210,-0.3452238079180225
ACH-000211,-0.4369963493278684
ACH-000215,-0.2975284383530189
ACH-000221,-0.2114537017904097
ACH-000222,-0.37472647223649214
ACH-000223,-0.5226754687312833
ACH-000226,-0.3597265080906382
ACH-000227,-0.4947942937173718
ACH-000228,-0.35302252701351866
ACH-000231,-0.2309657967650323
ACH-000232,-0.35454906976639783
ACH-000233,-0.2967895686112472
ACH-000234,-0.2585765801278586
ACH-000235,-0.2653325102998808
ACH-000237,-0.2600106236813411
ACH-000238,-0.3872678709355609
ACH-000242,-0.34546244229076123
ACH-000243,-0.27173482325616644
ACH-000244,-0.5097343098972376
ACH-000246,-0.3435753140092025
ACH-000248,-0.2300653993528625
ACH-000250,-0.2622144419745399
ACH-000251,-0.2639237852853963
ACH-000252,-0.4683789815054045
ACH-000253,-0.25686184757649905
ACH-000255,-0.31037299969182425
ACH-000256,-0.3332020748162766
