,TPX2 (22974)
ACH-000004,-0.9936621717735946
ACH-000005,-1.2509068035598845
ACH-000007,-1.207380142126029
ACH-000009,-0.5866301158395161
ACH-000011,-0.8460194576185324
ACH-000012,-0.9085122870699774
ACH-000013,-0.8526412632395088
ACH-000014,-0.8220494170845912
ACH-000015,-1.1197350361427725
ACH-000017,-0.9101084014884891
ACH-000018,-0.8965745951046046
ACH-000019,-1.1760174895757127
ACH-000021,-1.0513487378321515
ACH-000022,-0.956257147621162
ACH-000025,-1.0529612027847235
ACH-000028,-1.1469648778786885
ACH-000030,-1.308554302216859
ACH-000035,-0.6534195775453688
ACH-000036,-0.8930305183358253
ACH-000037,-1.0285041995413309
ACH-000039,-1.1410459003034588
ACH-000040,-0.941785500132025
ACH-000041,-0.8394440527694149
ACH-000042,-1.1615212729637594
ACH-000045,-0.8936902653098523
ACH-000047,-1.078365061172288
ACH-000052,-1.100036618335613
ACH-000053,-1.2000417883042784
ACH-000054,-1.147304373505921
ACH-000055,-1.1136490744233971
ACH-000060,-1.1001420867377385
ACH-000067,-1.0383787821464847
ACH-000070,-1.0312604324398222
ACH-000075,-0.7666773810438682
ACH-000078,-1.1676173712045868
ACH-000082,-1.3536186191711903
ACH-000085,-1.1411811342877876
ACH-000086,-1.1099072503213856
ACH-000087,-1.150265003886258
ACH-000092,-0.8616045035767715
ACH-000095,-0.8279945529840106
ACH-000097,-1.3484298487420667
ACH-000098,-0.8540259955296681
ACH-000099,-1.057884884533533
ACH-000108,-0.9510873975558164
ACH-000113,-0.9704257038767504
ACH-000116,-0.9383925289699631
ACH-000118,-0.9288787437885301
ACH-000120,-1.0034327876963196
ACH-000123,-1.036898858429171
ACH-000127,-0.5373931237407132
ACH-000128,-1.0324079569733622
ACH-000132,-0.8559651312541605
ACH-000133,-1.0182797791329352
ACH-000137,-0.9817006834647668
ACH-000138,-0.5376286288915177
ACH-000142,-0.4286144115686019
ACH-000143,-0.8963787145091068
ACH-000146,-1.0458121603434798
ACH-000148,-0.8086465405615307
ACH-000150,-0.9896958531098762
ACH-000152,-1.143607150405645
ACH-000153,-1.1643184426999666
ACH-000159,-0.5691662937922936
ACH-000160,-1.1804169016685744
ACH-000163,-1.0262059440438651
ACH-000167,-1.2674254792943933
ACH-000168,-0.7076104482439924
ACH-000169,-0.9564395345998888
ACH-000178,-0.6796923012690302
ACH-000183,-0.9485262094853976
ACH-000188,-0.9630193635747136
ACH-000189,-0.8464521833787996
ACH-000190,-1.0008701059443414
ACH-000198,-1.298367567823843
ACH-000203,-0.6770054986858179
ACH-000204,-0.735593916344115
ACH-000206,-0.8308994650971364
ACH-000207,-1.2766151134736867
ACH-000208,-1.2098134455557472
ACH-000210,-0.7586040668805395
ACH-000211,-1.1079874912209973
ACH-000215,-0.889819507816028
ACH-000221,-1.1223405611607082
ACH-000222,-0.9795274072414124
ACH-000223,-0.7008789203293921
ACH-000226,-0.845941303368032
ACH-000227,-1.0843019219013263
ACH-000228,-1.2287537025007198
ACH-000231,-1.1332321926011224
ACH-000232,-0.6886957030454242
ACH-000233,-0.9078186337900366
ACH-000234,-1.0402598760819268
ACH-000235,-0.8730064916653866
ACH-000237,-1.0436922541906544
ACH-000238,-1.163057113279009
ACH-000242,-1.249434212576071
ACH-000243,-0.9759255088960804
ACH-000244,-1.0025171194163391
ACH-000246,-1.1571322911000812
ACH-000248,-1.2198215928675948
ACH-000250,-0.8459430221436195
ACH-000251,-0.7550413273023824
ACH-000252,-1.0307112238362162
ACH-000253,-1.1155718590605024
ACH-000255,-1.1007499954784603
ACH-000256,-0.725947203113264
ACH-000257,-1.093091427574482
ACH-000258,-1.0806424416695797
ACH-000259,-0.8803447070366732
ACH-000260,-1.224035250987651
ACH-000261,-1.1396316126282808
ACH-000262,-0.9482589756309852
ACH-000263,-1.2124373794241272
ACH-000264,-0.6146722167709084
ACH-000265,-0.9361500334576629
ACH-000266,-0.8497676139443059
ACH-000272,-0.8202075683666336
ACH-000274,-1.0102492839544082
ACH-000277,-0.8498310473946494
ACH-000278,-0.9126887047869808
ACH-000279,-0.9264880953102912
ACH-000280,-0.9716805820690624
ACH-000281,-1.0108711471558118
ACH-000288,-0.7427591045942489
ACH-000291,-1.1867276703140353
ACH-000293,-0.5912567606706008
ACH-000294,-1.4845224018862762
ACH-000295,-1.2311156772534588
ACH-000296,-0.95250298390709
ACH-000302,-0.8132993121981653
ACH-000304,-1.0248057244815234
ACH-000307,-1.1645915791478545
ACH-000308,-0.8906222155710164
ACH-000310,-0.9462441617551024
