,TCEB1 (6921)
ACH-000004,-0.3651647293887752
ACH-000005,0.1044723289194346
ACH-000007,-0.40405080232619217
ACH-000009,-0.2195213487919894
ACH-000011,-0.30373802939355377
ACH-000012,-0.3722760042326511
ACH-000013,-0.36269586366459294
ACH-000014,-0.3929705556982213
ACH-000015,-0.2426065534040567
ACH-000017,-0.25693501707705785
ACH-000018,-0.4676817834482024
ACH-000019,-0.3155383122942333
ACH-000021,-0.2726918250844277
ACH-000022,-0.3539996677153597
ACH-000025,-0.3644314263234527
ACH-000028,-0.3367468642719613
ACH-000030,-0.6371458815961875
ACH-000035,-0.5065497142363136
ACH-000036,-0.4633491331803217
ACH-000037,-0.3461268162639453
ACH-000039,-0.3582791754508796
ACH-000040,-0.5202741428570731
ACH-000041,-0.451904379241005
ACH-000042,-0.3681908462632044
ACH-000045,-0.4180109993975157
ACH-000047,-0.452937539518703
ACH-000052,-0.4464687545038675
ACH-000053,-0.502680794156969
ACH-000054,-0.35666631132963234
ACH-000055,-0.4640563847226824
ACH-000060,-0.5646917075653152
ACH-000067,-0.4197216653086999
ACH-000070,-0.4261151204732546
ACH-000075,-0.4632739456580843
ACH-000078,-0.2757697362277224
ACH-000082,-0.6250533138007337
ACH-000085,-0.6292424934533283
ACH-000086,-0.4001021725674819
ACH-000087,-0.4513402820437397
ACH-000092,-0.4327547085573029
ACH-000095,-0.5221491004615401
ACH-000097,-0.4402490905436085
ACH-000098,-0.2675102769529504
ACH-000099,-0.4299393991426437
ACH-000108,-0.3564290718464185
ACH-000113,-0.3586249586048631
ACH-000116,-0.5165185091094656
ACH-000118,-0.4598264901429949
ACH-000120,-0.47122128221354
ACH-000123,-0.3053329483652677
ACH-000127,-0.3907234837363756
ACH-000128,-0.4063593072610904
ACH-000132,-0.3807801720050468
ACH-000133,-0.5218419966570379
ACH-000137,-0.3692167762579011
ACH-000138,-0.42079033441141706
ACH-000142,-0.7452258339128778
ACH-000143,-0.4076446145815093
ACH-000146,-0.13822219012476156
ACH-000148,-0.09752328585412268
ACH-000150,-0.5284817268277334
ACH-000152,-0.4288128405076472
ACH-000153,-0.31992440501613345
ACH-000159,-0.3717277070920839
ACH-000160,-0.18357896904405707
ACH-000163,-0.4244622254951332
ACH-000167,0.2410143560849165
ACH-000168,-0.3448575161712518
ACH-000169,-0.5930855455612323
ACH-000178,-0.3495283646255512
ACH-000183,-0.3904117861560864
ACH-000188,-0.44170461264363
ACH-000189,-0.6152108471275249
ACH-000190,-0.4390224255001239
ACH-000198,-0.4929662018928296
ACH-000203,-0.1901292671880112
ACH-000204,-0.05499833921057838
ACH-000206,-0.5670399879541766
ACH-000207,-0.5754396565883673
ACH-000208,-0.3899391565790021
ACH-000210,-0.5152358255975389
ACH-000211,-0.4292278806719056
ACH-000215,-0.4343004856055512
ACH-000221,-0.2521977835228374
ACH-000222,-0.4202081075810977
ACH-000223,-0.44696811603209374
ACH-000226,-0.4316143224207203
ACH-000227,-0.31816327584308224
ACH-000228,-0.5478953798641152
ACH-000231,-0.5666155816493753
ACH-000232,-0.5246949924906359
ACH-000233,-0.4525537873963216
ACH-000234,-0.4942354210066099
ACH-000235,-0.4842953481513554
ACH-000237,-0.4362653466681706
ACH-000238,-0.5438262102927446
ACH-000242,-0.6812046879196989
