,OXER1 (165140)
ACH-000004,0.1866359327529638
ACH-000005,0.12209781725008292
ACH-000007,0.18493270476075302
ACH-000009,0.24561446801341086
ACH-000011,0.1712673228518374
ACH-000012,0.20374449523299687
ACH-000013,0.09502040752408357
ACH-000014,0.1952777179243949
ACH-000015,0.20127811815881333
ACH-000017,0.11445995735287888
ACH-000018,0.12920778332000632
ACH-000019,0.2694739579480071
ACH-000021,0.13027834177832345
ACH-000022,0.21930540909105486
ACH-000025,0.043582706905796346
ACH-000028,0.1461589130907708
ACH-000030,0.1037545880421918
ACH-000035,0.08657635396746932
ACH-000036,0.1161823446335564
ACH-000037,0.22373260257674246
ACH-000039,0.1477296088361046
ACH-000040,0.3576545657298684
ACH-000041,0.14442788129165465
ACH-000042,0.028943270967144857
ACH-000045,0.09724837774728266
ACH-000047,0.1279133811062631
ACH-000052,0.017406767719508425
ACH-000053,0.1680939952292565
ACH-000054,0.2475951405209313
ACH-000055,0.037439140859979264
ACH-000060,0.20405536887694267
ACH-000067,0.12244932664898578
ACH-000070,-0.013040506685836312
ACH-000075,0.16467766663884528
ACH-000078,0.17988357832065013
ACH-000082,0.26869809761565866
ACH-000085,0.19648404051822385
ACH-000086,0.13056427262337106
ACH-000087,0.09520158603110128
ACH-000092,0.04965099272064415
ACH-000095,0.1877410101743393
ACH-000097,0.2767595904752915
ACH-000098,0.20050189382522327
ACH-000099,0.08124250103069358
ACH-000108,0.15483964876605694
ACH-000113,0.2184770539007479
ACH-000116,0.023394746943209827
ACH-000118,0.1467923992733393
ACH-000120,0.09910041915123816
ACH-000123,0.1668761792939862
ACH-000127,0.19780964274222468
ACH-000128,0.1901037699675112
ACH-000132,-0.11194084385321396
ACH-000133,0.21229394068183494
ACH-000137,0.16610202488221676
ACH-000138,0.2578409125153536
ACH-000142,0.07731160600454252
ACH-000143,0.05419233031610859
ACH-000146,0.1495349673440179
ACH-000148,0.14504639991050222
ACH-000150,0.3347433353084954
ACH-000152,0.1809240522943811
ACH-000153,0.4353851132403813
