,GUCD1 (83606)
ACH-000004,-0.23808740972921205
ACH-000005,-0.6583260611980837
ACH-000007,-0.14319942297809773
ACH-000009,-0.04816591462373436
ACH-000011,-0.1099621635028972
ACH-000012,-0.13194638862060426
ACH-000013,-0.10709142422200943
ACH-000014,-0.03046562884182592
ACH-000015,-0.13420020375050778
ACH-000017,-0.1302219344114178
ACH-000018,-0.06907494264499514
ACH-000019,-0.07876878066255723
ACH-000021,-0.20221746442051824
ACH-000022,-0.203864450284718
ACH-000025,-0.4489640416116664
ACH-000028,-0.16574609153236025
ACH-000030,-0.0908126496965438
ACH-000035,-0.21103430979652635
ACH-000036,0.021988791094258442
ACH-000037,-0.21738959124923274
ACH-000039,-0.08052525279101358
ACH-000040,-0.13988954811084303
ACH-000041,-0.14837905494220607
ACH-000042,-0.33053655242128466
ACH-000045,-0.08896868477486325
ACH-000047,-0.17909405137880166
ACH-000052,-0.2259221949744079
ACH-000053,-0.2185600455299079
ACH-000054,-0.05242681292492928
ACH-000055,-0.2325710904501399
ACH-000060,-0.12944982727674625
ACH-000067,0.009715823262215165
ACH-000070,-0.04049674978412937
ACH-000075,-0.1865349502363363
ACH-000078,-0.10454085113945576
ACH-000082,-0.14318580000832642
ACH-000085,-0.22008684970324024
ACH-000086,0.09101480181397066
ACH-000087,-0.16333463471354856
ACH-000092,-0.15898220356749654
ACH-000095,-0.1389523395943523
ACH-000097,-0.10672164514015113
ACH-000098,-0.20759247810314066
ACH-000099,-0.12420463294843527
ACH-000108,-0.15164860593372442
ACH-000113,-0.05331113484371744
ACH-000116,-0.07974126397075261
ACH-000118,-0.21979792862391986
ACH-000120,-0.13675284812903346
ACH-000123,-0.043479599590539486
ACH-000127,-0.003030948481453437
ACH-000128,-0.010271738063853876
ACH-000132,-0.15943331622073129
ACH-000133,-0.09796821573711348
ACH-000137,-0.18584988554507886
ACH-000138,-0.11532301968373555
ACH-000142,-0.0263338350919061
ACH-000143,-0.13194648528798905
ACH-000146,-0.03091621760595249
ACH-000148,-0.08230296769576842
ACH-000150,-0.07239363637583357
ACH-000152,-0.18890041640219227
ACH-000153,-0.012702518494554484
ACH-000159,-0.003964852596997385
ACH-000160,-0.018007844087388338
ACH-000163,-0.24363862174895665
ACH-000167,-0.22663080708291025
ACH-000168,-0.01041639477192392
ACH-000169,-0.21975628545813505
ACH-000178,-0.09432230173170744
ACH-000183,-0.2982543649874962
ACH-000188,-0.06581802874374959
ACH-000189,0.12517634654252302
ACH-000190,-0.1755638759480477
ACH-000198,-0.09215354111340368
ACH-000203,-0.4449902804489357
ACH-000204,-0.12545399380489275
ACH-000206,-0.09644780097617728
ACH-000207,-0.07380043900451824
ACH-000208,-0.09190168613770286
ACH-000210,-0.16502168069217696
ACH-000211,-0.1011589011856928
ACH-000215,-0.049660867041206494
ACH-000221,-0.17042652883986428
ACH-000222,-0.12869409941943666
ACH-000223,-0.2196257474754101
ACH-000226,-0.05489768313463896
ACH-000227,-0.20348597753447736
ACH-000228,-0.2313459934880583
ACH-000231,-0.09576769543949837
ACH-000232,-0.1748452181002732
ACH-000233,-0.09421877119974363
ACH-000234,0.08614721962884586
ACH-000235,-0.11512723730606746
ACH-000237,-0.18446272282039844
ACH-000238,-0.2023565148790884
ACH-000242,0.18897996465351974
ACH-000243,-0.20869066274576853
ACH-000244,-0.17737903166109714
ACH-000246,-0.020148048161515008
ACH-000248,0.00041201176130372253
ACH-000250,-0.06289273547596118
ACH-000251,0.005229165212383246
ACH-000252,-0.23362834278267136
ACH-000253,-0.04554507441811774
ACH-000255,-0.3446348530717753
ACH-000256,-0.2266030148529068
ACH-000257,-0.0649208700963455
ACH-000258,-0.2841139433290817
ACH-000259,-0.22111424428262075
ACH-000260,-0.15760007232659148
ACH-000261,-0.12042595607267607
ACH-000262,-0.3567485549725083
ACH-000263,-0.10646849347484592
ACH-000264,-0.20761635442383067
ACH-000265,-0.2825064859168133
ACH-000266,-0.12142585997155105
ACH-000272,-0.12324509644555
ACH-000274,-0.09989390698179557
ACH-000277,-0.002811984545712405
