,PTPLB (201562)
ACH-000004,0.1058131311397614
ACH-000005,0.14521248740640114
ACH-000007,-0.08968068434454049
ACH-000009,-0.008410112303142606
ACH-000011,-0.11217393386294634
ACH-000012,-0.1618325271453906
ACH-000013,-0.056387271446248124
ACH-000014,-0.2463022857082859
ACH-000015,-0.09332213726019546
ACH-000017,-0.09329276970517916
ACH-000018,-0.17216629747197298
ACH-000019,-0.25865270831973325
ACH-000021,-0.05565362120112564
ACH-000022,-0.044188895707921096
ACH-000025,-0.468447834510369
ACH-000028,-0.036739152809969096
ACH-000030,-0.13944225142606176
ACH-000035,-0.16234574128335438
ACH-000036,-0.13609290069571486
ACH-000037,-0.033552567203690764
ACH-000039,-0.22343936332256933
ACH-000040,-0.10883103257187847
ACH-000041,-0.07232690742846802
ACH-000042,-0.07348021628143182
ACH-000045,-0.3296018173623318
ACH-000047,0.09938665059115012
ACH-000052,0.10983725508902142
ACH-000053,-0.07994034117581914
ACH-000054,-0.08802905029377553
ACH-000055,-0.11386036727015135
ACH-000060,-0.2706045808405725
ACH-000067,-0.19512009323076568
ACH-000070,-0.21387027957176344
ACH-000075,-0.37866834706725855
ACH-000078,-0.06822661422177903
ACH-000082,-0.13483561992944326
ACH-000085,-0.0612340591085759
ACH-000086,-0.05522171113174509
ACH-000087,-0.0667089312961136
ACH-000092,-0.07237741273304503
ACH-000095,-0.06747072694768537
ACH-000097,-0.13508762677614386
ACH-000098,-0.1678200225610815
ACH-000099,-0.0264283583056298
ACH-000108,-0.10623115317963812
ACH-000113,-0.15161657175994928
ACH-000116,-0.01581007434942339
ACH-000118,-0.03030136226409236
ACH-000120,-0.11120266581983992
ACH-000123,-0.007227832554510858
ACH-000127,-0.057064571607860375
ACH-000128,-0.16536059103060444
ACH-000132,-0.13828226696127166
ACH-000133,-0.16769727451561153
ACH-000137,-0.07679364958349814
ACH-000138,-0.26773249230066043
ACH-000142,-0.08951115365795792
ACH-000143,-0.09289207912919516
ACH-000146,-0.16929555401344146
ACH-000148,-0.07369156118677797
ACH-000150,-0.019670756049182773
ACH-000152,0.0025656147561682256
ACH-000153,-0.2016507146968584
ACH-000159,-0.16664170722254182
ACH-000160,-0.22395376229224556
ACH-000163,-0.33044624599274103
ACH-000167,-0.4435152857359783
ACH-000168,-0.10965439978928604
ACH-000169,-0.2048456476061276
ACH-000178,-0.060679016942158326
ACH-000183,-0.08337155232956288
ACH-000188,-0.017724478146921338
ACH-000189,-0.11569958774501155
ACH-000190,-0.030326001882234683
ACH-000198,-0.1850648537318625
ACH-000203,0.3415914996483692
ACH-000204,-0.2242284648949041
ACH-000206,-0.4225934594502728
ACH-000207,-0.26563665055436364
ACH-000208,0.027553086187064032
ACH-000210,-0.2234217184722228
ACH-000211,-0.1408116700704488
ACH-000215,-0.12367052321497955
ACH-000221,-0.2563204571219159
ACH-000222,-0.03929235217622773
ACH-000223,-0.14208854823124376
ACH-000226,-0.18945507543822385
ACH-000227,-0.17900526398616934
ACH-000228,-0.008263686540426706
ACH-000231,-0.12759309265298982
ACH-000232,-0.18841224030460926
ACH-000233,-0.13375494427459458
ACH-000234,-0.059748664937610114
ACH-000235,-0.2012662597725723
ACH-000237,-0.05017005822330022
ACH-000238,-0.026843201835534083
ACH-000242,-0.28781242226366666
ACH-000243,-0.11136655693046564
ACH-000244,-0.3249999636869657
ACH-000246,-0.07048095685783852
ACH-000248,-0.09115743469843543
