,MTFR1L (56181)
ACH-000004,-0.1879200597365266
ACH-000005,-0.3511790746424729
ACH-000007,-0.09248903345128222
ACH-000009,-0.17498033539216834
ACH-000011,-0.06909045625641358
ACH-000012,-0.16049065479835242
ACH-000013,-0.13204758617369025
ACH-000014,0.0023108605016996862
ACH-000015,-0.018876145064539943
ACH-000017,-0.17376789904792167
ACH-000018,-0.035213465427898334
ACH-000019,-0.11016869777442218
ACH-000021,-0.09203038888392193
ACH-000022,-0.0549048630009112
ACH-000025,-0.1783925190372833
ACH-000028,-0.18851843313489688
ACH-000030,-0.15634621792099396
ACH-000035,-0.27157674790664554
ACH-000036,-0.04561011247340114
ACH-000037,-0.18474932396607585
ACH-000039,-0.14538674697731535
ACH-000040,-0.15891967696530646
ACH-000041,-0.23074157102533455
ACH-000042,-0.04778436266046601
ACH-000045,-0.10223219223716597
ACH-000047,-0.03288181255389238
ACH-000052,-0.055452728740444567
ACH-000053,-0.15304198536053526
ACH-000054,-0.13374074265916505
ACH-000055,-0.15038662736442035
ACH-000060,-0.08432505783708079
ACH-000067,-0.12182760674208384
ACH-000070,-0.029585491636492014
ACH-000075,-0.017802394740207797
ACH-000078,-0.14490801317760388
ACH-000082,-0.0576224050289057
ACH-000085,-0.10499772438226128
ACH-000086,-0.16925853020146006
ACH-000087,0.06776425549969135
ACH-000092,-0.2657985290792479
ACH-000095,-0.12246061166692099
ACH-000097,-0.15723564807030718
ACH-000098,-0.1669606238731038
ACH-000099,-0.1101854331093776
ACH-000108,-0.18580856477781235
ACH-000113,-0.03501995154857459
ACH-000116,-0.19184415552344364
ACH-000118,-0.0396867452930217
ACH-000120,-0.07154844465266319
ACH-000123,-0.0729351732324696
ACH-000127,-0.08915288106705671
ACH-000128,-0.2994772560389693
ACH-000132,-0.14249801880857274
ACH-000133,-0.12984943690874434
ACH-000137,-0.3521962993987286
ACH-000138,-0.05025944024486941
ACH-000142,-0.07119923905317325
ACH-000143,-0.2675051985901145
ACH-000146,-0.030574349360811045
ACH-000148,-0.09476686964983318
ACH-000150,-0.29886186273588183
ACH-000152,-0.14762876434378333
ACH-000153,-0.2079361933422404
ACH-000159,-0.12749308043251056
ACH-000160,-0.15514983586114825
ACH-000163,-0.005633793733134529
ACH-000167,-0.15262332042634033
ACH-000168,-0.24870307385953375
ACH-000169,-0.03855342488652202
ACH-000178,-0.1823952396563948
ACH-000183,-0.14397620268355876
ACH-000188,-0.13633983121869436
ACH-000189,-0.18260102185997865
ACH-000190,-0.18314875482314705
ACH-000198,-0.13840339710366684
ACH-000203,-0.2509557412842476
ACH-000204,-0.3667280377339524
ACH-000206,-0.08044483038929591
ACH-000207,-0.03363006605861639
ACH-000208,-0.12146354673737235
ACH-000210,0.02829047961791196
ACH-000211,-0.04143747524206052
ACH-000215,-0.10781603384001318
ACH-000221,-0.1443770536348737
ACH-000222,-0.04728563716418574
ACH-000223,-0.10295312292594548
ACH-000226,-0.012665279721010036
ACH-000227,0.02590125693425135
ACH-000228,0.0671186372306617
ACH-000231,-0.12371946002691385
ACH-000232,-0.07939664272493764
ACH-000233,-0.12176901974501005
ACH-000234,-0.12109451681431956
ACH-000235,-0.06557892564580768
ACH-000237,-0.158170558588034
ACH-000238,-0.19265393023309876
ACH-000242,0.03525754712743316
ACH-000243,-0.05003158164450672
ACH-000244,-0.13980728449677796
ACH-000246,-0.15275013621307965
ACH-000248,-0.03692987471221968
ACH-000250,-0.0802349230723202
ACH-000251,-0.045487948516690184
ACH-000252,-0.12584556663023838
ACH-000253,-0.2007768520608472
ACH-000255,-0.1207512481767872
ACH-000256,-0.2409301319221358
ACH-000257,-0.17831776759330814
ACH-000258,-0.20707907379157228
ACH-000259,-0.09001323487726504
ACH-000260,-0.1781956012271916
ACH-000261,-0.10837609941722542
ACH-000262,-0.08197550686375198
ACH-000263,0.004153473296259399
ACH-000264,-0.0729783930470446
ACH-000265,-0.07453359496605237
ACH-000266,-0.06184522228422727
ACH-000272,-0.0857922894288768
ACH-000274,-0.2317314572251809
ACH-000277,-0.22967011006842955
ACH-000278,-0.17475201705826324
ACH-000279,-0.07783681088978478
ACH-000280,-0.0416246271757072
ACH-000281,-0.16547466043494868
ACH-000288,-0.2407207782224394
ACH-000291,-0.21157164801410924
ACH-000293,-0.07103065350288845
ACH-000294,-0.17560892826781424
ACH-000295,-0.17909860843888234
ACH-000296,-0.12876861597405218
ACH-000302,-0.10576122880360923
ACH-000304,-0.11443167460815135
ACH-000307,-0.1391782032746751
ACH-000308,-0.0765951725117816
ACH-000310,-0.1152925463697764
ACH-000311,-0.06679609334735359
ACH-000312,-0.13137016124528286
ACH-000315,-0.06475626634261575
ACH-000316,-0.16622124081000786
ACH-000317,-0.043624983889153424
ACH-000318,-0.08533891348199638
ACH-000319,-0.04471186130273603
ACH-000320,-0.09855806277953456
ACH-000322,-0.11776763020031038
ACH-000323,-0.3681471511954374
ACH-000324,-0.1726520567016308
ACH-000329,-0.3094136023618623
ACH-000330,-0.08896962674193426
ACH-000331,-0.11951279090479493
ACH-000332,-0.0865434292836427
ACH-000334,-0.270584630891057
ACH-000335,-0.17127800257901327
ACH-000336,0.014533419025260012
ACH-000337,0.044137838815251684
ACH-000338,-0.1964246947522896
ACH-000339,-0.1790243335451788
ACH-000341,-0.1359081220957534
ACH-000348,-0.09343654167155688
ACH-000350,-0.004080136434138931
ACH-000352,-0.191996734261758
ACH-000356,-0.02232022140025995
ACH-000361,-0.1608062260066987
ACH-000362,-0.1105231480660793
ACH-000363,-0.16801403229068254
ACH-000364,-0.05994109915982038
ACH-000365,-0.0674615756422277
ACH-000366,-0.06829567056626386
ACH-000368,-0.19986896201742133
