,mutation counts,nonsilent mutations
ACH-000004,283,201
ACH-000005,340,250
ACH-000007,606,463
ACH-000009,439,326
ACH-000011,410,315
ACH-000012,280,214
ACH-000013,272,192
ACH-000014,712,503
ACH-000015,370,297
ACH-000017,527,371
ACH-000018,265,207
ACH-000019,699,525
ACH-000021,464,353
ACH-000022,296,216
ACH-000025,82,73
ACH-000028,241,174
ACH-000030,510,376
ACH-000035,182,131
ACH-000036,388,293
ACH-000037,3306,570
ACH-000039,166,123
ACH-000040,218,169
ACH-000041,186,141
ACH-000042,211,162
ACH-000045,226,171
ACH-000047,454,316
ACH-000052,205,152
ACH-000053,255,188
ACH-000054,178,131
ACH-000055,316,252
ACH-000060,230,173
ACH-000067,201,148
ACH-000070,220,158
ACH-000075,197,146
ACH-000078,238,175
ACH-000082,173,123
ACH-000085,302,221
ACH-000086,244,182
ACH-000087,292,222
ACH-000092,198,144
ACH-000095,406,298
ACH-000097,364,262
ACH-000098,255,183
ACH-000099,247,195
ACH-000108,339,238
ACH-000113,224,171
ACH-000116,221,177
ACH-000118,278,192
ACH-000120,208,148
ACH-000123,292,217
ACH-000127,494,375
ACH-000128,148,111
ACH-000132,439,322
ACH-000133,272,198
ACH-000137,278,209
ACH-000138,205,125
ACH-000142,260,186
ACH-000143,286,223
ACH-000146,357,249
ACH-000148,261,212
ACH-000150,200,138
ACH-000152,295,221
ACH-000153,359,285
ACH-000159,365,276
ACH-000160,317,229
ACH-000163,236,177
ACH-000167,226,157
ACH-000168,328,226
ACH-000169,359,268
ACH-000178,290,228
ACH-000183,395,301
ACH-000188,245,179
ACH-000189,334,241
ACH-000190,301,236
ACH-000198,567,407
ACH-000203,317,235
ACH-000204,350,243
ACH-000206,355,273
ACH-000207,294,210
ACH-000208,298,211
ACH-000210,388,272
ACH-000211,312,220
ACH-000215,162,114
ACH-000221,444,319
ACH-000222,301,226
ACH-000223,365,282
ACH-000226,290,212
ACH-000227,349,251
ACH-000228,241,179
ACH-000231,399,267
ACH-000232,361,269
ACH-000233,327,243
ACH-000234,292,221
ACH-000235,314,229
ACH-000237,214,136
ACH-000238,426,284
ACH-000242,250,170
ACH-000243,329,240
ACH-000244,240,165
ACH-000246,181,128
ACH-000248,783,569
ACH-000250,314,215
ACH-000251,301,226
ACH-000252,471,369
ACH-000253,365,278
ACH-000255,365,265
ACH-000256,283,217
ACH-000257,369,261
ACH-000258,377,264
ACH-000259,296,233
ACH-000260,272,189
ACH-000261,452,323
ACH-000262,303,220
ACH-000263,368,253
ACH-000264,341,245
ACH-000265,357,267
ACH-000266,285,200
ACH-000272,131,104
ACH-000274,296,209
ACH-000277,341,234
ACH-000278,319,245
ACH-000279,279,213
ACH-000280,385,247
ACH-000281,423,299
ACH-000288,261,195
ACH-000291,287,202
ACH-000293,258,194
ACH-000294,337,255
ACH-000295,309,242
ACH-000296,610,427
ACH-000302,343,262
ACH-000304,546,386
ACH-000307,345,246
ACH-000308,442,342
ACH-000310,140,105
ACH-000311,356,262
ACH-000312,392,277
ACH-000315,431,325
ACH-000316,343,247
ACH-000317,362,253
ACH-000318,400,285
ACH-000319,435,310
ACH-000320,313,217
ACH-000322,358,261
