,LRP10 (26020)
ACH-000163,-0.08192594476300982
ACH-000167,-0.08274073209928222
ACH-000168,-0.012226733775630844
ACH-000169,0.05016976981020033
ACH-000178,-0.002756444486486961
ACH-000183,-0.4784947969441328
ACH-000188,0.19513871428157967
ACH-000189,0.011553769422795322
ACH-000190,0.0891804116816498
ACH-000198,0.08681151382191925
ACH-000203,-0.0450480810874708
ACH-000204,-0.01621289117938555
ACH-000206,0.13510293341977314
ACH-000207,-0.10182469069158208
ACH-000208,-0.1738647200554512
ACH-000210,-0.011119155611168895
ACH-000211,-0.03716834254489485
ACH-000215,0.0951242812542602
ACH-000221,0.09679457491498547
ACH-000222,-0.06637719080770092
ACH-000223,0.006928207880828646
ACH-000226,-0.014291325178791418
ACH-000227,-0.004405554325896819
ACH-000228,-0.032642809285216456
ACH-000231,0.007236463973171164
ACH-000232,0.05766062321469505
ACH-000233,0.028030430682450827
ACH-000234,0.11482535255782468
ACH-000235,0.062252972273549124
ACH-000237,0.008817002039898549
ACH-000238,0.11304150242861853
ACH-000242,-0.5092348310620639
ACH-000243,-0.09250418544887072
ACH-000244,0.0019787702702153604
ACH-000246,0.07661120446645256
ACH-000248,0.2063136390096744
ACH-000250,-0.0268585991920805
ACH-000251,-0.05880341869753425
ACH-000252,0.10487454425006797
ACH-000253,0.23070829242574706
ACH-000255,0.14092728655261133
ACH-000256,0.0612796941023881
ACH-000257,-0.05415709542325297
ACH-000258,-0.3128670586036829
ACH-000259,-0.042496420560084715
ACH-000260,0.04136051206166831
ACH-000261,0.00966692621339698
ACH-000262,-0.10760971460931386
ACH-000263,0.3139165588713784
ACH-000264,0.018719453131247326
ACH-000265,0.038961387347189236
ACH-000266,-0.026031245793638937
ACH-000272,0.06095193902943635
ACH-000274,0.13784892998081502
ACH-000277,0.12521042688205322
ACH-000278,0.04990160161458672
ACH-000279,-0.08310576774319905
ACH-000280,0.17019514602705474
ACH-000281,0.0739777524615
ACH-000288,0.019967119955496014
ACH-000291,-0.03109336939385892
ACH-000293,-0.07750384836849855
ACH-000294,-0.04802450872727202
ACH-000295,0.01495866471840433
ACH-000296,0.29325516151076475
ACH-000302,0.0705388621366514
ACH-000304,0.07039595545482151
ACH-000307,0.09823032593185993
ACH-000308,-0.1122870149310866
ACH-000310,-0.012148080695032287
ACH-000311,0.09725313652343258
ACH-000312,-0.009900425005575704
ACH-000315,-0.05233875949912016
ACH-000316,0.0915351852222011
ACH-000317,0.1218309284122802
ACH-000318,-0.05395085863147075
ACH-000319,0.027835531827330017
ACH-000320,0.08089884651018052
ACH-000322,0.011460569157516105
ACH-000323,0.16605861957134568
ACH-000324,0.0034863169609686967
ACH-000329,0.09407386601472033
ACH-000330,0.13970217029034648
ACH-000331,0.2663400442883471
ACH-000332,0.16542229780808973
ACH-000334,-0.15916995481247795
ACH-000335,0.1943128829114356
ACH-000336,0.16444840246526485
ACH-000337,-0.10842398932320277
ACH-000338,-0.253119562648616
ACH-000339,0.024990236535488413
ACH-000341,-0.1718180140879079
ACH-000348,0.05190711390664516
ACH-000350,-0.12856739581257476
ACH-000352,0.0584440371624685
ACH-000356,0.009597201617873185
ACH-000361,-0.037864793299637566
ACH-000362,-0.03651014061441949
ACH-000363,0.059558898817901926
ACH-000364,0.1597051076791042
ACH-000365,-0.7315225044784569
ACH-000366,0.002994962679178452
ACH-000368,-0.060481581161801475
ACH-000374,0.0911665393210549
ACH-000375,-0.09549425705125428
