,RWDD2A (112611)
ACH-000004,0.09591985407869152
ACH-000005,0.4435010139860851
ACH-000007,-0.048218896295585095
ACH-000009,0.0435629258992364
ACH-000011,0.07662641999236475
ACH-000012,0.0637134230410032
ACH-000013,0.07083697856145911
ACH-000014,0.04087442814200734
ACH-000015,0.10268935404029957
ACH-000017,0.09729126716552787
ACH-000018,-0.053784059830380135
ACH-000019,0.16226802830103282
ACH-000021,-0.04577298971133977
ACH-000022,0.08248806889579376
ACH-000025,0.11608204025529653
ACH-000028,0.10631751947620263
ACH-000030,0.06562467566050119
ACH-000035,0.042956094693426455
ACH-000036,0.04035717718872592
ACH-000037,0.09450756196498154
ACH-000039,-0.11734668448120375
ACH-000040,-0.04537521209854499
ACH-000041,-0.014269339556939485
ACH-000042,0.08464186765087224
ACH-000045,0.12498094321696633
ACH-000047,-0.1794978161508364
ACH-000052,-0.0364935757244805
ACH-000053,-0.0208511433530152
ACH-000054,0.041394737079355065
ACH-000055,0.09626909233591867
ACH-000060,-0.028695576365551336
ACH-000067,-0.06650657723012561
ACH-000070,-0.004085059426005619
ACH-000075,-0.11859368802965853
ACH-000078,-0.034946133217933516
ACH-000082,-0.049998960850958965
ACH-000085,0.044882034330674975
ACH-000086,0.0292939145632444
ACH-000087,0.1650362288545226
ACH-000092,0.032240737927120004
ACH-000095,-0.008520338316687063
ACH-000097,-0.025445933502478733
ACH-000098,0.01760072022885621
ACH-000099,0.03722944024374124
ACH-000108,0.004590494030895238
ACH-000113,-0.029926242515439825
ACH-000116,0.10114622836962477
ACH-000118,0.05212358810086197
ACH-000120,0.08006061971568915
ACH-000123,0.06357641423135778
ACH-000127,0.01919658084698592
ACH-000128,0.17065644947007844
ACH-000132,-0.005472780645012146
ACH-000133,0.03234898258090885
ACH-000137,0.032568661662738266
ACH-000138,0.15532721052490306
ACH-000142,0.05428319391151575
ACH-000143,0.014740721746597962
ACH-000146,-0.029439445587876967
ACH-000148,0.004686936754997512
ACH-000150,0.13516953458743242
ACH-000152,0.08790292028074215
ACH-000153,0.04559601713298711
ACH-000159,0.02655778780783101
ACH-000160,0.02448194284881704
ACH-000163,0.05368803237185745
ACH-000167,0.18987273581289027
ACH-000168,0.061601263684032785
ACH-000169,0.04582099870954845
ACH-000178,-0.00827370568639263
ACH-000183,-0.01732290302384488
ACH-000188,0.12527725510816476
ACH-000189,0.02708561457309907
ACH-000190,0.1437295756748289
ACH-000198,0.028319936891948314
ACH-000203,-0.1812053562504929
ACH-000204,0.061147997715089664
ACH-000206,-0.10601651058690438
ACH-000207,0.04997322856426923
ACH-000208,-0.14418310157035
ACH-000210,-0.1657744820560562
ACH-000211,0.06006782135983803
ACH-000215,0.008898805079005744
ACH-000221,-0.06886118983697828
ACH-000222,0.094228107538504
ACH-000223,0.0049744544153141074
ACH-000226,-0.019685273493193132
ACH-000227,0.03000190665879807
ACH-000228,0.027199887881980443
ACH-000231,-0.10805648130912976
ACH-000232,-0.006437729658604071
ACH-000233,-0.028115950990757182
ACH-000234,-0.09163018321607198
ACH-000235,-0.03201513045736848
ACH-000237,0.02442015473669673
ACH-000238,0.192627746185886
ACH-000242,-0.18347744774657188
ACH-000243,0.07111920467145114
ACH-000244,0.04855999718007385
ACH-000246,-0.00948339287721123
ACH-000248,0.0894753254776771
ACH-000250,0.09711888010109536
ACH-000251,-0.0933090535568546
ACH-000252,0.08984630163782725
ACH-000253,0.007786687824437164
ACH-000255,0.036995085199953634
ACH-000256,0.08244784801914452
ACH-000257,-0.20715164779072676
ACH-000258,-0.06635237384361486
ACH-000259,0.09068231749407388
ACH-000260,0.038168740639814985
ACH-000261,0.052676031298808115
ACH-000262,0.07219674121899566
ACH-000263,0.17854479024272155
ACH-000264,-0.04243092064173698
ACH-000265,0.005372542492128328
