,ATCAY (85300)
ACH-000004,-0.12713017582312805
ACH-000005,-0.35976300393208377
ACH-000007,-0.05839461489281578
ACH-000009,-0.16142419367205493
ACH-000011,-0.3838855355923775
ACH-000012,-0.0811042656598639
ACH-000013,-0.20237565672017332
ACH-000014,-0.3131813651888681
ACH-000015,-0.2502121921754306
ACH-000017,-0.14833976117518982
ACH-000018,-0.2336227707119377
ACH-000019,-0.06878683405251387
ACH-000021,-0.3038077929477939
ACH-000022,-0.16881000670959498
ACH-000025,-0.20840221383936725
ACH-000028,-0.040986566055522734
ACH-000030,-0.22074124466735412
ACH-000035,-0.24843671907358536
ACH-000036,-0.2479686380260596
ACH-000037,-0.12923780738408994
ACH-000039,-0.2815486239081028
ACH-000040,-0.1644441794990306
ACH-000041,-0.16935237577008258
ACH-000042,-0.11481485900810487
ACH-000045,-0.2647421641693893
ACH-000047,-0.14796250624079568
ACH-000052,0.06708306832486229
ACH-000053,-0.17206964003111988
ACH-000054,-0.24685253033115398
ACH-000055,-0.06786191458199696
ACH-000060,-0.15037224585550207
ACH-000067,-0.16933645859346927
ACH-000070,-0.0594076352828475
ACH-000075,-0.27957642863667204
ACH-000078,-0.08925787705579437
ACH-000082,-0.15131878446600874
ACH-000085,-0.19842198556758292
ACH-000086,-0.2831935036057361
ACH-000087,-0.005520269387768486
ACH-000092,-0.2379553787716249
ACH-000095,-0.3917653560264425
ACH-000097,-0.21756872516429385
ACH-000098,-0.3255897618723696
ACH-000099,-0.23317371002422266
ACH-000108,-0.25593565246012345
ACH-000113,-0.08527361136404547
ACH-000116,-0.20262695290503926
ACH-000118,-0.11260745033302905
ACH-000120,-0.10536145673172664
ACH-000123,-0.1458128427914938
ACH-000127,-0.2018366733614376
ACH-000128,-0.1174863308224637
ACH-000132,-0.20515253070609574
ACH-000133,-0.12862657257277005
ACH-000137,-0.2267335005687916
ACH-000138,-0.2454442403698661
ACH-000142,-0.22028007522628404
ACH-000143,-0.15104002353553198
ACH-000146,-0.19975086711958315
ACH-000148,-0.21141566189734545
ACH-000150,-0.4305351797687265
ACH-000152,-0.13481016903851786
ACH-000153,-0.056404938005166924
ACH-000159,-0.20057584080449092
ACH-000160,-0.12239668219892168
ACH-000163,-0.012069716425141024
ACH-000167,-0.2668342930416323
ACH-000168,-0.27250501030523205
ACH-000169,-0.09016706180782123
ACH-000178,-0.13738124801787285
ACH-000183,-0.3098326748868514
ACH-000188,-0.07454762214739642
ACH-000189,-0.11724158862943693
ACH-000190,-0.16240220191587046
ACH-000198,0.005295686689935565
ACH-000203,0.25048161486317216
ACH-000204,-0.03421698045590731
ACH-000206,0.060625884876214
ACH-000207,-0.1884628325097896
ACH-000208,-0.2902071756737014
ACH-000210,-0.22222672959948445
ACH-000211,-0.12062351813777138
ACH-000215,-0.13145633103355742
ACH-000221,-0.2660777691811172
ACH-000222,-0.030805267716635738
ACH-000223,-0.1502237555197156
ACH-000226,-0.09828056755322236
ACH-000227,-0.09595734274335063
ACH-000228,-0.1726809257424478
ACH-000231,-0.1578167276865246
ACH-000232,-0.06395845751329783
ACH-000233,-0.2016341805479845
ACH-000234,-0.26422423791055805
ACH-000235,-0.21955821582862076
ACH-000237,-0.12066731035504512
ACH-000238,-0.20838764656219275
ACH-000242,-0.36851756723026585
ACH-000243,-0.17197813479640348
ACH-000244,-0.13962912470499084
ACH-000246,-0.2144888755977258
ACH-000248,-0.11781015540329105
ACH-000250,-0.2474295725937036
ACH-000251,-0.17830918991077258
ACH-000252,-0.18753073664684167
ACH-000253,-0.17011227313532
ACH-000255,-0.25295838196483744
ACH-000256,-0.0466073581388372
ACH-000257,-0.35278975976125176
ACH-000258,-0.3566285639623128
ACH-000259,-0.1969633889962703
ACH-000260,-0.1665216778125691
ACH-000261,-0.17642785893997787
ACH-000262,-0.2462700947727911
ACH-000263,-0.20570943649752424
ACH-000264,-0.157794239499811
ACH-000265,-0.1488728971532499
ACH-000266,-0.24007374621964994
ACH-000272,-0.17516825501420938
ACH-000274,-0.2054472188463179
ACH-000277,-0.24170115516463406
ACH-000278,-0.0688051815060453
ACH-000279,-0.15804125288747042
ACH-000280,-0.20706145218691344
ACH-000281,-0.2616688385891399
ACH-000288,-0.06126365992215577
ACH-000291,-0.2409761439239611
ACH-000293,-0.12062748024066836
ACH-000294,-0.2759719826027585
ACH-000295,-0.1216169622475438
ACH-000296,-0.194937398685312
ACH-000302,-0.2567859488260961
ACH-000304,-0.12782662551816748
ACH-000307,-0.2912400677073369
ACH-000308,-0.16564550374161735
ACH-000310,-0.20803835218203828
ACH-000311,-0.12324290775932968
ACH-000312,-0.2260683495269005
ACH-000315,-0.2719656060794545
ACH-000316,-0.097284805757496
ACH-000317,-0.171919411112829
ACH-000318,-0.03636429937107192
ACH-000319,-0.2032204955088142
ACH-000320,-0.1447888457341165
ACH-000322,-0.02704895029728388
ACH-000323,-0.09651561109604688
