,DBN1 (1627)
ACH-000223,-0.006050659723354383
ACH-000226,0.009377788904153464
ACH-000227,0.1019171471657364
ACH-000228,0.02264714257147481
ACH-000231,0.06503532684853695
ACH-000232,0.04946303892287025
ACH-000233,-0.056923342763152016
ACH-000234,0.028166410400180905
ACH-000235,0.0164461084824485
ACH-000237,0.10100887695609888
ACH-000238,0.08951719016745611
ACH-000242,0.197800848491388
ACH-000243,-0.005929604036018197
ACH-000244,0.11978082595223365
ACH-000246,-0.0018617965771865297
ACH-000248,0.01220035286651372
ACH-000250,-0.03981452546707314
ACH-000251,-0.038133765587840186
ACH-000252,-0.11933826841360255
ACH-000253,0.05330914176769528
ACH-000255,0.0016838533135085602
ACH-000256,0.04851402847926351
ACH-000257,0.012966475247616054
ACH-000258,0.06108312488083634
ACH-000259,-0.005111174988841303
ACH-000260,0.08589878387417038
ACH-000261,-0.03082942393101605
ACH-000262,-0.03861288843660431
ACH-000263,-0.3418833487440545
ACH-000264,0.08528399058676195
ACH-000265,-0.04332953281746745
ACH-000266,0.017117986240165698
ACH-000272,0.09012851458600717
ACH-000274,-0.010958378347927572
ACH-000277,-0.09995592335777052
ACH-000278,0.1767368904196408
ACH-000279,0.07299358091662572
ACH-000280,-0.060752488394459285
ACH-000281,-0.06349793646007806
ACH-000288,-0.0946015177705729
ACH-000291,-0.14242536543111706
ACH-000293,0.03655505716403338
ACH-000294,0.02639515582679134
ACH-000295,-0.21660902430409773
ACH-000296,-0.16426861635584172
ACH-000302,-0.0011620418336989824
ACH-000304,0.10617090314950033
ACH-000307,-0.08883634295430712
ACH-000308,-0.017538910988255763
ACH-000310,0.09158959132508633
ACH-000311,0.0105141574678253
ACH-000312,-0.02273729531347197
ACH-000315,-0.10714642528803553
ACH-000316,0.1001816510402512
ACH-000317,0.11013741492722116
ACH-000318,-0.01625880817752266
ACH-000319,0.1552949358750366
ACH-000320,-0.15231927735094808
ACH-000322,-0.034063021305489334
ACH-000323,0.05280441146235671
ACH-000324,-0.017797843957539597
ACH-000329,0.04309008092353401
ACH-000330,0.05606340813541847
ACH-000331,0.14783675010299738
ACH-000332,0.033090446171363176
ACH-000334,-0.04563431253948234
ACH-000335,-0.06403904797223398
ACH-000336,0.18341346048695173
ACH-000337,-0.2891762916360546
ACH-000338,0.18727920225501293
ACH-000339,0.14448464483300338
ACH-000341,0.1930474590020161
ACH-000348,0.0207582068442405
ACH-000350,-0.1193288502744447
ACH-000352,-0.12197548450926975
ACH-000356,0.035914152539628666
ACH-000361,0.18321366165116065
ACH-000362,-0.11118148147366508
ACH-000363,-0.05639780229693235
ACH-000364,-0.11867438849311948
ACH-000365,-0.008455103162305836
ACH-000366,0.0070853206558789
ACH-000368,-0.03919065505141008
ACH-000374,-0.031107967746981182
ACH-000375,-0.13335324386423347
ACH-000376,0.10589748185012482
ACH-000381,0.011045932734719098
ACH-000383,-0.10352947489225986
ACH-000387,0.04670946726953719
ACH-000389,-0.01001452695689203
ACH-000390,0.023803338139444262
ACH-000393,0.02513096550479319
ACH-000395,-0.10851793794788613
ACH-000396,0.10467034981940504
ACH-000397,0.022218790945428796
ACH-000401,0.05628919668509815
