,HAX1 (10456)
ACH-000004,-0.20029869572166095
ACH-000005,-0.27989897013231785
ACH-000007,-0.3412637408156532
ACH-000009,-0.3641163282608257
ACH-000011,-0.3800717534617539
ACH-000012,-0.2792495786444512
ACH-000013,-0.31413388742838844
ACH-000014,-0.4248698846286383
ACH-000015,-0.37821946124422706
ACH-000017,-0.17124806666374606
ACH-000018,-0.4091189274096165
ACH-000019,-0.4350601044150868
ACH-000021,-0.4010737557766975
ACH-000022,-0.4436966722761676
ACH-000025,-0.440982423839961
ACH-000028,-0.3922555367383166
ACH-000030,-0.2840719855655883
ACH-000035,-0.2037061551215324
ACH-000036,-0.248488850251174
ACH-000037,-0.3427889165952358
ACH-000039,-0.3918033881384461
ACH-000040,-0.3983835092807486
ACH-000041,-0.3229621846133735
ACH-000042,-0.297849774974516
ACH-000045,-0.5067533358108457
ACH-000047,-0.2572790917068767
ACH-000052,-0.3933944513666887
ACH-000053,-0.7387372308844266
ACH-000054,-0.2609867387523336
ACH-000055,-0.2381325525849961
ACH-000060,-0.20986000534451826
ACH-000067,-0.2524162638078387
ACH-000070,-0.29859980645781353
ACH-000075,-0.1817969951759421
ACH-000078,-0.2756039888905743
ACH-000082,-0.29345548181009384
ACH-000085,-0.05043703850990328
ACH-000086,-0.613387690892896
ACH-000087,-0.20704768692312667
ACH-000092,-0.3387963082456545
ACH-000095,-0.24580526082646476
ACH-000097,-0.3177317651904827
ACH-000098,-0.3242156531202665
ACH-000099,-0.1892341522110686
ACH-000108,-0.29231065378301185
ACH-000113,-0.5774468883697789
ACH-000116,-0.3440094800069373
ACH-000118,-0.3947786491657321
ACH-000120,-0.38846601731682745
ACH-000123,-0.6866503360978236
ACH-000127,-0.2780795761024029
ACH-000128,-0.4192319772976811
ACH-000132,-0.39645622903608224
ACH-000133,-0.38151796908779856
ACH-000137,-0.2418012434076704
ACH-000138,-0.28348245646259834
ACH-000142,-0.4836840049025241
ACH-000143,-0.22779312232724316
ACH-000146,-0.3542300911960421
ACH-000148,-0.41811494802663535
ACH-000150,-0.3581145952062957
ACH-000152,-0.21498686609765547
ACH-000153,-0.5601093405926385
ACH-000159,-0.2585753300144051
ACH-000160,-0.2404158975454838
ACH-000163,-0.4873728549188854
