,AP2M1 (1173)
ACH-000004,-1.0549151694260783
ACH-000005,-0.7328448958620485
ACH-000007,-0.6294121950778218
ACH-000009,-0.3999849972993649
ACH-000011,-0.4567311199501711
ACH-000012,-0.9535936171996509
ACH-000013,-0.24824973154306065
ACH-000014,-0.5507818088819407
ACH-000015,-0.06290701235740051
ACH-000017,-0.8677315195616491
ACH-000018,-0.8191868386602132
ACH-000019,-0.5584158140611685
ACH-000021,-0.9886356355081152
ACH-000022,-0.6078904487548965
ACH-000025,-0.7028521756695479
ACH-000028,-0.6967977699376037
ACH-000030,-0.8463074762778235
ACH-000035,-0.9214681719014736
ACH-000036,-0.7575652178438188
ACH-000037,-0.5105971730234897
ACH-000039,-0.4856276815115701
ACH-000040,-0.09175416541121206
ACH-000041,-0.6293607168564406
ACH-000042,-0.4728703425818884
ACH-000045,-0.7209458574759999
ACH-000047,-0.4719859617754076
ACH-000052,-0.7905116935648675
ACH-000053,-0.9194369024925662
ACH-000054,-0.4168839763720361
ACH-000055,-0.7812821890739704
ACH-000060,-0.3580585112677465
ACH-000067,-0.4625051884198775
ACH-000070,-0.4520841176208802
ACH-000075,-0.5073901388578184
ACH-000078,-0.02513421165733556
ACH-000082,-0.3463176961282971
ACH-000085,-0.5840437713711384
ACH-000086,-0.2710514947572593
ACH-000087,-0.7320429718969056
ACH-000092,-0.4771800326045856
ACH-000095,0.1357817178586063
ACH-000097,-0.6675742813061403
ACH-000098,-0.22178102758442247
ACH-000099,-0.8336968428901498
ACH-000108,-0.8290957743972808
ACH-000113,-0.3769743252501188
ACH-000116,-0.595065843951428
ACH-000118,-0.5933300900206211
ACH-000120,-0.449915406348658
ACH-000123,-0.6040246539645813
ACH-000127,-0.9083279758921208
ACH-000128,-0.4625447281807677
ACH-000132,-0.37444758109668536
ACH-000133,-0.5717540229196726
ACH-000137,-0.1684287663273826
ACH-000138,-0.7863078947970691
ACH-000142,-0.7405679021422716
ACH-000143,-0.5955994738056566
ACH-000146,-1.1316553172236623
ACH-000148,-0.6341071897622382
ACH-000150,-0.6533220349895608
ACH-000152,-0.6069692569892361
ACH-000153,-0.6017914000562384
ACH-000159,-0.6206560950464823
ACH-000160,-0.4850129158917279
ACH-000163,-0.7505952717391167
ACH-000167,-0.8814084123731847
ACH-000168,-0.7478679036836187
ACH-000169,-0.4855381315195038
ACH-000178,-0.7442357232843939
ACH-000183,-0.8729676084615601
ACH-000188,-0.6750169458877874
ACH-000189,-0.9821724878546078
ACH-000190,-0.8697414118405017
ACH-000198,-0.6385419925784577
ACH-000203,-0.4227154416707481
ACH-000204,-0.5085069453249889
ACH-000206,-0.8427776983938345
ACH-000207,-0.8279456792136939
ACH-000208,-0.42857308493374535
ACH-000210,-0.7392257173854547
ACH-000211,-0.543359568711085
ACH-000215,-0.8302595611988023
ACH-000221,-0.9204992298102804
ACH-000222,-0.7426958365821887
ACH-000223,-0.3206758307054
ACH-000226,-0.7599354184728027
ACH-000227,-0.636729001000632
ACH-000228,-0.5894107896102809
ACH-000231,-0.7033364303777981
ACH-000232,0.04784434744192797
ACH-000233,-0.7244027541115738
ACH-000234,-0.8590861795554178
ACH-000235,-0.8983146972309788
ACH-000237,-0.4984649004869654
ACH-000238,-0.4849394997630863
ACH-000242,-0.6332331905097905
ACH-000243,-0.873295587478264
ACH-000244,-0.3278432762410991
ACH-000246,-0.6423256219884625
ACH-000248,-0.8408081822665705
ACH-000250,-0.7302659666994759
ACH-000251,-0.5712678221330082
ACH-000252,-0.7200069144065474
ACH-000253,-0.8096863309593728
ACH-000255,-0.7961399388289369
ACH-000256,-0.8017725007715514
ACH-000257,-0.816710626370278
ACH-000258,-0.6875475117301894
ACH-000259,-0.6596569606244013
ACH-000260,-0.6225150594608433
ACH-000261,-0.2212928639462765
ACH-000262,-0.6822372152782413
ACH-000263,-1.1771497340532289
ACH-000264,-0.30810686175445795
ACH-000265,-0.2251818421188257
ACH-000266,-0.6214436538018101
ACH-000272,-0.5762481588713225
ACH-000274,-0.2796681048384315
ACH-000277,-0.9348188566265844
ACH-000278,-0.8524188436637636
ACH-000279,-0.8223755260085274
ACH-000280,-0.5767855713590431
ACH-000281,-0.9895944033687024
ACH-000288,-1.012168302346538
ACH-000291,-0.5299141440689111
ACH-000293,-0.5678806345388718
ACH-000294,-1.1767490039650004
ACH-000295,-0.8352330139514131
ACH-000296,-0.9855706622909756
ACH-000302,-0.5858787313845312
ACH-000304,-0.5736144841243047
ACH-000307,-1.0745094818079992
ACH-000308,-0.5446785983106301
ACH-000310,-0.21449236230511995
ACH-000311,-0.7214498388768791
ACH-000312,-0.4214234948244708
ACH-000315,-0.6598249210583199
ACH-000316,-0.8272762970339613
ACH-000317,-0.962342889092758
ACH-000318,-0.7220172758272178
ACH-000319,-0.8102444073321184
ACH-000320,-0.7383708277155412
ACH-000322,-0.5922508708121829
ACH-000323,-0.5484639586430081
ACH-000324,-0.6000035760805034
ACH-000329,-0.6349050865921277
ACH-000330,-0.7279147864439385
ACH-000331,-0.4556872311307386
ACH-000332,-0.8712697434206735
ACH-000334,-0.5578474241760015
ACH-000335,-0.6577198833321458
ACH-000336,-0.8681622609068841
ACH-000337,-1.0036997192355324
ACH-000338,-1.0540407340897338
ACH-000339,-1.168405941763209
ACH-000341,-0.5932870769869031
ACH-000348,-0.43145268125513697
ACH-000350,-0.3879639577316101
ACH-000352,-0.9562498964155824
ACH-000356,-0.6978751609169853
ACH-000361,-0.9335435352721771
ACH-000362,-0.7325291660424021
ACH-000363,-0.843139712572138
ACH-000364,-0.2364141797034823
ACH-000365,-0.5371958527476286
ACH-000366,-0.9516198814448734
ACH-000368,-0.4917407318866792
ACH-000374,-0.7283859675337943
ACH-000375,-0.7393273080551053
ACH-000376,-0.4751576780424032
ACH-000381,-0.20652770892991165
ACH-000383,-1.1294097796618865
ACH-000387,-0.591125205733213
ACH-000389,-0.5193912601949379
ACH-000390,-0.19356212932583414
ACH-000393,-0.4279696544466123
ACH-000395,-0.6585931791284244
ACH-000396,-0.43471083142385175
ACH-000397,-0.8672273072453504
ACH-000401,-0.8308379476274754
ACH-000402,-0.8592658510496539
ACH-000403,-0.5684367673962953
ACH-000404,-0.8688609713265623
ACH-000406,-0.9396521619585534
ACH-000407,-0.5068985704695905
ACH-000408,-0.5920245074522069
ACH-000410,-0.8303222811063337
ACH-000411,-0.8277415575867854
ACH-000414,-0.2890904422428355
ACH-000415,-0.7555816663929105
ACH-000416,-0.8310839506979026
ACH-000420,-0.3301720614641673
ACH-000421,-0.934052094602197
ACH-000424,-0.7896441717671256
ACH-000425,-0.5459694442547536
ACH-000426,-0.7548766655348648
ACH-000427,-0.484479079438932
ACH-000433,-0.3331278797980701
ACH-000435,-0.9282739387463752
ACH-000436,-0.6059683557666223
ACH-000444,-0.6105763257954347
ACH-000445,-0.6331662526409393
ACH-000448,-0.4434745254273687
ACH-000450,-0.6522275047946372
ACH-000452,-0.7442132296992977
ACH-000454,-0.7529570098019228
ACH-000458,-0.6186002240853805
ACH-000459,-0.6459023684726832
ACH-000460,-0.7386414311119046
ACH-000461,-0.7205137952391096
ACH-000463,-0.28078689599992906
ACH-000464,-0.6395578530383811
ACH-000466,-0.8202215975671197
ACH-000467,-0.5218598969535967
