,LSM14A (26065)
ACH-000004,-0.0791576671380208
ACH-000005,-0.6312966701671219
ACH-000007,-0.2789863571384177
ACH-000009,-0.26960879534898524
ACH-000011,-0.1478624900069256
ACH-000012,-0.3454090293042329
ACH-000013,-0.3607143095715904
ACH-000014,-0.08841021202129035
ACH-000015,-0.35283417588489024
ACH-000017,0.0019333451977611585
ACH-000018,-0.14088610937636933
ACH-000019,-0.383942359607376
ACH-000021,-0.18537219956420986
ACH-000022,-0.2285110247757101
ACH-000025,-0.2488429604497519
ACH-000028,-0.30779900460320897
ACH-000030,-0.19124591799595175
ACH-000035,-0.3345814136004419
ACH-000036,-0.3792511709708498
ACH-000037,-0.2644964626264183
ACH-000039,-0.24008541048861026
ACH-000040,-0.19356402317449956
ACH-000041,-0.1777484357179573
ACH-000042,-0.2755334767920963
ACH-000045,-0.11331300459394635
ACH-000047,-0.2659710985270201
ACH-000052,-0.49590302772157296
ACH-000053,-0.2037327690062991
ACH-000054,-0.3079360027021752
ACH-000055,-0.12653196578417272
ACH-000060,-0.16314085907478051
ACH-000067,-0.22932716031115405
ACH-000070,-0.17927444688665956
ACH-000075,-0.4168252165840645
ACH-000078,-0.31862286413535473
ACH-000082,-0.19208262058124456
ACH-000085,-0.5785310771547646
ACH-000086,-0.2730454220976703
ACH-000087,-0.21594113687294852
ACH-000092,-0.4037292113900877
ACH-000095,-0.4152633211640176
ACH-000097,-0.4616486421860251
ACH-000098,-0.19209121566462029
ACH-000099,-0.37127254795955394
ACH-000108,-0.4071399631652731
ACH-000113,-0.2074527718778845
ACH-000116,-0.2116228437403268
ACH-000118,-0.3179460812895946
ACH-000120,-0.3254551778643523
ACH-000123,-0.33151226356808955
ACH-000127,-0.325550777452582
ACH-000128,-0.2210237679026039
ACH-000132,-0.17032844246650128
ACH-000133,-0.36416887953380905
ACH-000137,-0.35217751080078785
ACH-000138,-0.3315303180094771
ACH-000142,-0.3253810166320029
ACH-000143,-0.2491505467268279
ACH-000146,-0.14533773683256707
ACH-000148,-0.29097770727018285
ACH-000150,-0.3425484863652045
ACH-000152,-0.4488502016550088
ACH-000153,-0.34981034369185315
ACH-000159,-0.15271050342507989
ACH-000160,-0.3570131101184104
