,NFATC2IP (84901)
ACH-000004,-0.3822183232135402
ACH-000005,-0.28586284898462194
ACH-000007,-0.1734739417917434
ACH-000009,-0.22130751786993225
ACH-000011,-0.26996988416081674
ACH-000012,-0.3063295794261647
ACH-000013,-0.43429320176428254
ACH-000014,-0.3019368638324206
ACH-000015,-0.6479041157926622
ACH-000017,-0.3710043079721224
ACH-000018,-0.5294544889897804
ACH-000019,-0.3825007130857768
ACH-000021,-0.32883334213528576
ACH-000022,-0.23620459998825816
ACH-000025,-0.4502429454118033
ACH-000028,-0.4151879292614287
ACH-000030,-0.119747592251218
ACH-000035,-0.4094714082355919
ACH-000036,-0.3483669284009697
ACH-000037,-0.4475799922405127
ACH-000039,-0.4952360250488276
ACH-000040,-0.4191368725683679
ACH-000041,-0.3414648454621257
ACH-000042,-0.2969346446729177
ACH-000045,-0.4152986734868471
ACH-000047,-0.4495295773617469
ACH-000052,-0.7630337218114154
ACH-000053,-0.24385671465126765
ACH-000054,-0.2676221827730375
ACH-000055,-0.4662576130689102
ACH-000060,-0.23328921950804826
ACH-000067,-0.3627065204785852
ACH-000070,-0.28407598353573804
ACH-000075,-0.5419546763737731
ACH-000078,-0.3102385347351813
ACH-000082,-0.3784891608076513
ACH-000085,-0.34642095723113003
ACH-000086,-0.14183439050661684
ACH-000087,-0.7402441651046221
ACH-000092,-0.3590787365056847
ACH-000095,-0.3040146054262123
ACH-000097,-0.3855044615924124
ACH-000098,-0.4296961013322228
ACH-000099,-0.3657112071321993
ACH-000108,-0.16564189497911125
ACH-000113,-0.510467691336544
ACH-000116,-0.523672598869826
ACH-000118,-0.2329130019932152
ACH-000120,-0.4072913180517343
ACH-000123,-0.4100623373865176
ACH-000127,-0.5354328008079656
ACH-000128,-0.3055278626602514
ACH-000132,-0.4039770958007256
ACH-000133,-0.2746570430818757
ACH-000137,-0.5104741119778261
ACH-000138,-0.2803917901557763
ACH-000142,-0.3770873387027419
ACH-000143,-0.5228264273747688
ACH-000146,-0.4666103432152875
ACH-000148,-0.4682057053635337
ACH-000150,-0.5406153480155934
ACH-000152,-0.4686432775985223
ACH-000153,-0.33088214720637665
ACH-000159,-0.2628391324422051
ACH-000160,-0.2189627737806279
ACH-000163,-0.584410476561234
ACH-000167,-0.4068431445737399
ACH-000168,-0.4623593344502308
ACH-000169,-0.3903305626640035
ACH-000178,-0.5023523196896131
ACH-000183,-0.2142784741046592
ACH-000188,-0.2499504183265307
ACH-000189,-0.13290004188208274
ACH-000190,-0.1512935622463703
ACH-000198,-0.6020188864062644
ACH-000203,-0.2465026648467816
ACH-000204,-0.3228290994713373
ACH-000206,-0.2067797394680105
ACH-000207,-0.34349987347194744
ACH-000208,-0.4786927073959009
ACH-000210,-0.3866585657495886
ACH-000211,-0.2752039065082762
ACH-000215,-0.3680371515388453
ACH-000221,-0.31688769126531435
ACH-000222,-0.22064697175045386
ACH-000223,-0.36969192125890576
ACH-000226,-0.2314300369417944
ACH-000227,-0.3982016542768041
ACH-000228,-0.4664779708936103
ACH-000231,-0.5846972721513088
ACH-000232,-0.32737583200528875
ACH-000233,-0.2630856346693789
ACH-000234,-0.4125225992076737
ACH-000235,-0.2896790326232997
ACH-000237,-0.4813265722232921
ACH-000238,-0.10666649370467587
ACH-000242,-0.08564677002508587
ACH-000243,-0.5128483637562247
ACH-000244,-0.18541366377756055
ACH-000246,-0.4094851951257704
ACH-000248,-0.37225053056830665
ACH-000250,-0.2883092875345642
ACH-000251,-0.09805468515757812
ACH-000252,-0.14055608985539972
ACH-000253,-0.2826652078724408
ACH-000255,-0.4622994254595389
ACH-000256,-0.18182623194456604
ACH-000257,-0.24243409200046684
ACH-000258,-0.523744256934092
ACH-000259,-0.3761597909607153
ACH-000260,-0.4525801409936498
ACH-000261,-0.33766775511151403
ACH-000262,-0.22941085942914285
ACH-000263,-0.2313076842232264
ACH-000264,-0.3372831112415368
ACH-000265,-0.6157642111419074
ACH-000266,-0.4455503828033003
ACH-000272,-0.42473466277055977
ACH-000274,-0.361035173682039
ACH-000277,-0.4695546402506746
ACH-000278,-0.5990292985402794
ACH-000279,-0.5399838021108778
ACH-000280,-0.3440195231807385
ACH-000281,-0.07393647083317176
ACH-000288,-0.4812110827852986
ACH-000291,-0.360972325081641
ACH-000293,-0.32300505120160605
ACH-000294,-0.16161504338556132
ACH-000295,-0.5307095783393811
ACH-000296,-0.4573875554484657
ACH-000302,-0.4432322713623541
ACH-000304,-0.28700783873443875
ACH-000307,-0.6668038467071022
ACH-000308,-0.3715598259319542
ACH-000310,-0.4637015831785633
ACH-000311,-0.29695269751777753
ACH-000312,-0.3358240978807054
ACH-000315,-0.3139486292593191
ACH-000316,-0.5825448361924268
ACH-000317,-0.2277331382853133
ACH-000318,-0.372167925044423
ACH-000319,-0.3921206965912424
