,LTB4R2 (56413)
ACH-000004,-0.3950722536881893
ACH-000005,-0.2430769975593787
ACH-000007,-0.36864140274923
ACH-000009,-0.2959799710573929
ACH-000011,-0.4087981007367155
ACH-000012,-0.4175134375838246
ACH-000013,-0.3822893490589744
ACH-000014,-0.40885250961268604
ACH-000015,-0.31429112637963663
ACH-000017,-0.4329926730087561
ACH-000018,-0.2969368787160537
ACH-000019,-0.3864345220009687
ACH-000021,-0.27720784443341845
ACH-000022,-0.2363151386372717
ACH-000025,-0.2951264470314248
ACH-000028,-0.5392638093836639
ACH-000030,-0.4510024418138625
ACH-000035,-0.4030605390489425
ACH-000036,-0.2530477864644218
ACH-000037,-0.2720400549062511
ACH-000039,-0.6477896719733963
ACH-000040,-0.5174420802354422
ACH-000041,-0.3603995092474577
ACH-000042,-0.4018170531843198
ACH-000045,-0.1074337758368156
ACH-000047,-0.4808441233248089
ACH-000052,-0.17601253337341394
ACH-000053,-0.4147003093869217
ACH-000054,-0.4590682727476157
ACH-000055,-0.3575696913676101
ACH-000060,-0.4816929874423394
ACH-000067,-0.4629134283944194
ACH-000070,-0.4766286232222436
ACH-000075,-0.3373810401596113
ACH-000078,-0.29878093787060417
ACH-000082,-0.3933107839982548
ACH-000085,-0.3382514993732586
ACH-000086,-0.3072486370081309
ACH-000087,-0.24718335741387865
ACH-000092,-0.3460492614445799
ACH-000095,-0.4909436508244717
ACH-000097,-0.408453518595868
ACH-000098,-0.4289036120206507
ACH-000099,-0.3681730394241655
ACH-000108,-0.2179745626574448
ACH-000113,-0.4123145077973262
ACH-000116,-0.3892064660395797
ACH-000118,-0.3891775895884623
ACH-000120,-0.3056277134736451
ACH-000123,-0.4955427512432032
ACH-000127,-0.27131589853293936
ACH-000128,-0.41993286617688025
ACH-000132,-0.3209759843925897
ACH-000133,-0.4870768567155382
ACH-000137,-0.30109621197524433
ACH-000138,-0.4319894523755618
ACH-000142,-0.3918696582782598
ACH-000143,-0.13840939660907467
ACH-000146,-0.4922121550793517
ACH-000148,-0.36918016953940586
ACH-000150,-0.13125665543246998
ACH-000152,-0.2903389405004892
ACH-000153,-0.3001766351197464
ACH-000159,-0.4883973022465016
ACH-000160,-0.6408676669106824
ACH-000163,-0.5433580913018526
ACH-000167,0.012763505028327257
ACH-000168,-0.35731984774490416
ACH-000169,-0.33198636628785605
ACH-000178,-0.3064318339503927
ACH-000183,-0.3818381256923655
ACH-000188,-0.2104631527316623
ACH-000189,-0.5226595966590151
ACH-000190,-0.3949319400015504
ACH-000198,-0.3324352284266163
ACH-000203,-0.3978212566857717
ACH-000204,-0.21901480082803249
ACH-000206,-0.22174116089808385
ACH-000207,-0.5587342626885234
ACH-000208,-0.6288160747429351
ACH-000210,0.01599426108903909
ACH-000211,-0.4313578581434409
ACH-000215,-0.3952846091421616
ACH-000221,-0.4125069480397496
