,TSC22D2 (9819)
ACH-000004,-0.6468047072730015
ACH-000005,-0.8318326269601467
ACH-000007,-0.6561885329489959
ACH-000009,-0.4178941923637845
ACH-000011,-0.5593302486982569
ACH-000012,-0.02368594481361259
ACH-000013,-0.15142678354021455
ACH-000014,-0.4470324226128562
ACH-000015,-0.538303710109241
ACH-000017,-0.22712873324007066
ACH-000018,-0.4811747521967549
ACH-000019,-0.3743245729064271
ACH-000021,-0.2854183120783461
ACH-000022,-0.34364909379696595
ACH-000025,-0.3015634759388733
ACH-000028,-0.34197626765391875
ACH-000030,-0.5574050824274899
ACH-000035,-0.3069962132758356
ACH-000036,-0.3999147978596011
ACH-000037,-0.3975195448967901
ACH-000039,-0.2736170623435939
ACH-000040,-0.34433634213871384
ACH-000041,-0.1283762866256213
ACH-000042,-0.5585884984827807
ACH-000045,-0.4398903205164488
ACH-000047,-0.27229812690375943
ACH-000052,-0.4554385781051058
ACH-000053,-0.3778825199394485
ACH-000054,-0.3898759477088083
ACH-000055,-0.4233077254496691
ACH-000060,-0.7142278819267217
ACH-000067,-0.5408569178383201
ACH-000070,-0.18328556619277453
ACH-000075,-0.08422506292319147
ACH-000078,-0.2634020034572052
ACH-000082,-0.4657569186939686
ACH-000085,-0.9086520478892324
ACH-000086,-0.21673212491884056
ACH-000087,-0.09997395854214318
ACH-000092,-0.29260893080874434
ACH-000095,-0.5242679398800587
ACH-000097,-0.5815039158718411
ACH-000098,-0.426985488127238
ACH-000099,-0.3839780775578034
ACH-000108,-0.6876570264057996
ACH-000113,-0.16570031942946026
ACH-000116,-0.2772043499180599
ACH-000118,-0.4325067673179096
ACH-000120,-0.4254940973393928
ACH-000123,-0.4046131378024291
ACH-000127,-0.4348223210186207
ACH-000128,-0.4568786933345209
ACH-000132,-0.4935747651410473
ACH-000133,-0.3424542619578993
ACH-000137,-0.21980998738279864
ACH-000138,-0.6093830239248824
ACH-000142,-0.2333760184754846
ACH-000143,-0.6844342032877865
ACH-000146,-0.3311191483413032
ACH-000148,-0.4370943197536696
ACH-000150,-0.2971129090715967
