,SPAG6 (9576)
ACH-000004,-0.03647209933677301
ACH-000005,-0.037265251172507514
ACH-000007,-0.11114470299500256
ACH-000009,-0.12407454402061635
ACH-000011,-0.15223703279281856
ACH-000012,0.008562458751723023
ACH-000013,-0.10578704458587433
ACH-000014,-0.04281869751100715
ACH-000015,-0.07738208928624142
ACH-000017,0.07193913020678698
ACH-000018,0.013974469438585848
ACH-000019,-0.03923275252919321
ACH-000021,-0.1990493535872723
ACH-000022,-0.11963586545873975
ACH-000025,-0.03006280585540725
ACH-000028,-0.04232911342294601
ACH-000030,-0.08586287235853181
ACH-000035,-0.014355839398899825
ACH-000036,-0.1029312109712998
ACH-000037,-0.17590490705758385
ACH-000039,-0.15754687295956005
ACH-000040,-0.2428760637254297
ACH-000041,-0.2362230007756001
ACH-000042,-0.08970946943391397
ACH-000045,-0.025284792997510217
ACH-000047,-0.08281388867342476
ACH-000052,-0.24750457255897845
ACH-000053,-0.2430944594329447
ACH-000054,-0.1549436315972438
ACH-000055,-0.0038933173671589203
ACH-000060,-0.124809902469291
ACH-000067,-0.23569198506775105
ACH-000070,-0.06961894641527412
ACH-000075,0.022832415936289128
ACH-000078,-0.15869457236034634
ACH-000082,-0.1161473809512886
ACH-000085,-0.11312168981731588
ACH-000086,-0.09966835271928566
ACH-000087,-0.2168876605645512
ACH-000092,-0.027214294181707437
ACH-000095,-0.11323896316586655
ACH-000097,-0.12049588729751355
ACH-000098,-0.21162675422749347
ACH-000099,-0.2295767426225339
ACH-000108,-0.025916801853136183
ACH-000113,-0.21848630656034326
ACH-000116,-0.06993296324515481
ACH-000118,-0.0567179014067348
ACH-000120,-0.1279597946228756
ACH-000123,-0.15660325450455312
ACH-000127,-0.19693055819579686
ACH-000128,-0.10063881390639053
ACH-000132,-0.1400222906770446
ACH-000133,-0.0743516470972828
ACH-000137,0.000656429507565118
ACH-000138,-0.05329213377319415
ACH-000142,0.06856270493001024
ACH-000143,-0.3844441724321092
ACH-000146,-0.14047100700774875
ACH-000148,-0.2072989036331556
ACH-000150,-0.218484929773901
ACH-000152,0.02029346880486695
ACH-000153,0.07385353390870576
ACH-000159,-0.0950603239036178
ACH-000160,-0.08672735519460971
ACH-000163,-0.2122434035439447
ACH-000167,-0.32252826205369284
ACH-000168,-0.16111067074281055
ACH-000169,0.009199268188500326
ACH-000178,-0.18640445378908072
ACH-000183,0.06670798421433298
ACH-000188,-0.01597292265090675
ACH-000189,0.10404882550725447
ACH-000190,-0.09160254349383096
ACH-000198,-0.13942368281271852
ACH-000203,-0.16636140705017285
ACH-000204,-0.048001000986183366
ACH-000206,-0.07851145044560476
ACH-000207,-0.08648873069700197
ACH-000208,-0.3097015071379169
ACH-000210,-0.2912840485531555
ACH-000211,-0.06714619503324949
ACH-000215,-0.18734823532765
ACH-000221,-0.07648663707955748
ACH-000222,-0.07607865082284346
ACH-000223,-0.11619131844886625
ACH-000226,-0.0021322285123824506
ACH-000227,-0.14315690808125384
ACH-000228,0.031068622203526037
ACH-000231,-0.07820996842271463
ACH-000232,-0.05471864309923033
ACH-000233,-0.1714229568083119
ACH-000234,-0.07367290977831316
ACH-000235,-0.11432126572053684
ACH-000237,-0.24968554579771626
ACH-000238,-0.18401392894233334
ACH-000242,0.011055117233129148
ACH-000243,-0.06177298643501734
ACH-000244,0.03843858896600658
ACH-000246,-0.20457323146715425
ACH-000248,-0.024354011880469453
ACH-000250,-0.12241312441914327
ACH-000251,-0.06568750586942386
ACH-000252,-0.017993066196597345
ACH-000253,-0.15301471519966756
ACH-000255,-0.00950840559782145
ACH-000256,0.0007069171977365701
ACH-000257,-0.07860410403305508
ACH-000258,-0.4982182575561248
ACH-000259,-0.15693771596264192
