,UFD1L (7353)
ACH-000004,-1.0858499515971392
ACH-000005,-1.0098808633211211
ACH-000007,-1.0476405143083056
ACH-000009,-0.9426348035613864
ACH-000011,-0.9179113814678548
ACH-000012,-1.1178178760385888
ACH-000013,-1.0358243888262708
ACH-000014,-0.5799862214609243
ACH-000015,-1.0448186863643876
ACH-000017,-1.1213645181135772
ACH-000018,-0.9333958995502676
ACH-000019,-1.0481235020841364
ACH-000021,-0.4820683236463894
ACH-000022,-1.1282973827364882
ACH-000025,-0.8158503603171859
ACH-000028,-0.8886831694996918
ACH-000030,-0.8141388625610512
ACH-000035,-0.9546503042837028
ACH-000036,-1.0477863109155832
ACH-000037,-0.52689376351285
ACH-000039,-0.9292353207564632
ACH-000040,-0.9952598804797528
ACH-000041,-1.1430167498494441
ACH-000042,-0.9937208522438782
ACH-000045,-0.8697499917382818
ACH-000047,-0.8806063671693503
ACH-000052,-1.154433424256603
ACH-000053,-1.222985931095712
ACH-000054,-0.8452190146562231
ACH-000055,-0.7880832184368066
ACH-000060,-0.8502584195548478
ACH-000067,-0.8622877875838486
ACH-000070,-1.0487110894029066
ACH-000075,-1.1359185272682712
ACH-000078,-0.7385933440271304
ACH-000082,-0.968525792702418
ACH-000085,-0.9039890997532404
ACH-000086,-0.8025083602681103
ACH-000087,-0.9143175683815742
ACH-000092,-0.6984072559404427
ACH-000095,-0.987653173419626
ACH-000097,-0.976319346378146
ACH-000098,-0.8488582058505983
ACH-000099,-0.8516000222741194
ACH-000108,-0.9348657773718231
ACH-000113,-0.8482482732627024
ACH-000116,-0.9160693852258218
ACH-000118,-1.0063517700219853
ACH-000120,-0.9624624800801972
ACH-000123,-1.099869503084433
ACH-000127,-0.8118648157206972
ACH-000128,-0.9456076029944758
ACH-000132,-1.0672344356407133
ACH-000133,-0.9881464243387024
ACH-000137,-0.817037044385813
ACH-000138,-0.8655600780761524
ACH-000142,-0.8662993406343278
ACH-000143,-1.0758892737127972
ACH-000146,-1.1475297444938193
ACH-000148,-0.8580318638436238
ACH-000150,-0.7860371660712535
ACH-000152,-0.9895549725639304
ACH-000153,-0.9285011420035084
ACH-000159,-0.7648697148162593
ACH-000160,-1.053465675148304
ACH-000163,-0.9134045329771237
ACH-000167,-0.9729405849913478
ACH-000168,-1.0099896083002973
ACH-000169,-1.1782035368868262
ACH-000178,-0.8698051008806731
ACH-000183,-0.7878183682051468
ACH-000188,-0.8006388442576682
ACH-000189,-0.7986071602308523
ACH-000190,-0.9208094635753415
ACH-000198,-1.1378234611445586
ACH-000203,-0.9481917623336614
ACH-000204,-0.7037431011817032
ACH-000206,-0.9072032209107797
ACH-000207,-0.6023488551537768
ACH-000208,-0.6990913969877462
ACH-000210,-0.6885429785944261
ACH-000211,-0.8339900613599269
ACH-000215,-0.7461539353576491
ACH-000221,-1.00412391773432
ACH-000222,-0.6742268394442726
ACH-000223,-0.9558319066249036
ACH-000226,-0.9299069815194758
ACH-000227,-0.9878438527141464
ACH-000228,-0.8750294565053051
ACH-000231,-0.6123823245750109
ACH-000232,-0.8302837977622174
ACH-000233,-0.8610124691355449
ACH-000234,-0.7682422023822301
ACH-000235,-0.8624257280634581
ACH-000237,-0.815385670963612
ACH-000238,-1.1074924447671275
ACH-000242,-0.8422230095985577
ACH-000243,-0.8976666957594431
ACH-000244,-0.7550871609905325
ACH-000246,-0.8385145962028729
ACH-000248,-0.7959325425250886
ACH-000250,-0.6261492974590336
ACH-000251,-0.8373603633461035
ACH-000252,-0.9942266473186824
ACH-000253,-0.98852825496931
ACH-000255,-0.8544999890695741
ACH-000256,-1.2646452137922424
ACH-000257,-0.7273081107626693
ACH-000258,-1.0047614016914492
ACH-000259,-0.943168103612259
ACH-000260,-0.9886430478241748
ACH-000261,-0.9337382273009656
ACH-000262,-0.7099551661467823
ACH-000263,-0.9214227384520928
ACH-000264,-1.108041149559926
ACH-000265,-0.8186440113655877
ACH-000266,-0.9333879474105198
ACH-000272,-0.885628303263255
ACH-000274,-0.7978405870462668
ACH-000277,-0.912521492652942
ACH-000278,-1.103054127417695
ACH-000279,-0.8645171323625443
ACH-000280,-0.7804679461922184
ACH-000281,-0.742678182211121
ACH-000288,-0.8203592179093475
ACH-000291,-1.1273911647882422
ACH-000293,-1.1142160598239437
ACH-000294,-0.9828000273257004
ACH-000295,-0.8487135398539318
ACH-000296,-1.0034412075240609
ACH-000302,-1.0455709326152405
ACH-000304,-0.8904865688785533
ACH-000307,-0.8380734280437927
ACH-000308,-1.0185877279092237
ACH-000310,-0.8665712980914925
ACH-000311,-0.6897548546898803
ACH-000312,-0.8027764106454265
ACH-000315,-1.0189681076500992
ACH-000316,-0.7051133982672174
ACH-000317,-0.6477098468227199
ACH-000318,-0.8700621287928515
ACH-000319,-0.9515808838572676
ACH-000320,-0.7768944111049861
ACH-000322,-1.0245087236069348
ACH-000323,-0.8652887062334561
ACH-000324,-0.9705848258722842
ACH-000329,-0.7626637513013421
ACH-000330,-1.1800312633210164
ACH-000331,-0.9492804314655426
ACH-000332,-0.767597642057261
ACH-000334,-1.19710530033801
ACH-000335,-0.953457907732812
ACH-000336,-1.0385594441687929
ACH-000337,-1.1182815138958817
ACH-000338,-1.0731427036717864
ACH-000339,-0.8719358894108556
ACH-000341,-1.0956012626910392
ACH-000348,-0.9565694104325624
ACH-000350,-0.8815841440520152
ACH-000352,-1.172865349038792
ACH-000356,-0.8488899676409841
ACH-000361,-1.0306867907279165
ACH-000362,-1.0743736014574714
ACH-000363,-1.1679317498171575
ACH-000364,-0.8923393641464417
ACH-000365,-0.9997998441706241
ACH-000366,-0.6580675914677915
ACH-000368,-0.8126117426841638
ACH-000374,-0.7595740654281208
ACH-000375,-1.029789207123695
ACH-000376,-0.9598936915692728
