,SIRPG (55423)
ACH-000004,0.0036336700459842046
ACH-000005,0.05213407454365675
ACH-000007,0.14285219772579658
ACH-000009,0.04741125333021553
ACH-000011,-0.08978804154427644
ACH-000012,0.03946415561471174
ACH-000013,0.01007823045330904
ACH-000014,-0.02685400194570241
ACH-000015,0.17477700349363173
ACH-000017,-0.115574291948721
ACH-000018,-0.006580370870896935
ACH-000019,-0.01018493904904416
ACH-000021,0.1264548920894218
ACH-000022,-0.01885901990931078
ACH-000025,0.1808731747613523
ACH-000028,0.2197050295344594
ACH-000030,0.04828746151607784
ACH-000035,0.14097082492765792
ACH-000036,-0.01345073777647466
ACH-000037,-0.023420973624590696
ACH-000039,0.07448555122086913
ACH-000040,0.004985358080450078
ACH-000041,0.060034264783520926
ACH-000042,-0.12922898701117533
ACH-000045,-0.09201031144011787
ACH-000047,0.0948808991389481
ACH-000052,-0.04165376209834877
ACH-000053,0.0045272576779896104
ACH-000054,-0.007597586773082607
ACH-000055,0.044559891805327635
ACH-000060,-0.11918135408841855
ACH-000067,-0.0019982376971055924
ACH-000070,-0.08883537546690473
ACH-000075,0.020604090079130454
ACH-000078,-0.13201573035700745
ACH-000082,0.062170306593132635
ACH-000085,-0.06806946867101749
ACH-000086,0.11099656042025544
ACH-000087,0.33760004627536155
ACH-000092,0.10353580390854032
ACH-000095,-0.04371927375950592
ACH-000097,-0.012419642268333671
ACH-000098,0.13312265619828564
ACH-000099,-0.06459665468125894
ACH-000108,0.055297447101264746
ACH-000113,0.008159942393093145
ACH-000116,-0.026109072539409688
ACH-000118,0.01821878560898261
ACH-000120,0.05381769369680065
ACH-000123,0.07109532719415394
ACH-000127,-0.007248434135884016
ACH-000128,0.07555825145522138
ACH-000132,0.0863051885424014
ACH-000133,0.05776704328998886
ACH-000137,0.11452800424536802
ACH-000138,0.009408244741505416
ACH-000142,0.1009125431436855
ACH-000143,-0.07646362904652736
ACH-000146,-0.025650460407454882
ACH-000148,0.033757119871769915
ACH-000150,-0.11291250996646547
ACH-000152,0.0427125088190799
ACH-000153,0.15914872529693794
ACH-000159,-0.0021802382116438445
ACH-000160,0.10100693673581662
ACH-000163,0.049967862104503116
ACH-000167,-0.22855980604056586
ACH-000168,-0.061502042593427016
ACH-000169,-0.18941069230477395
ACH-000178,-0.12606679034608295
ACH-000183,0.019669572338537403
ACH-000188,0.14969343114560665
ACH-000189,0.10477326291701082
ACH-000190,-0.0275319536914479
ACH-000198,0.04272082649416335
ACH-000203,-0.31851342505564223
ACH-000204,0.03555573181157085
ACH-000206,-0.14142212956611053
ACH-000207,-0.038437321579085706
ACH-000208,0.15269235414181162
ACH-000210,-0.2279612371211628
ACH-000211,0.03539373817788005
ACH-000215,0.0035459774731959907
ACH-000221,0.016305077083268376
ACH-000222,-0.11355014725612987
ACH-000223,0.029693319645796964
ACH-000226,0.08701814968159248
ACH-000227,0.03093162480557845
ACH-000228,-0.02435339494259966
ACH-000231,0.058755878077113875
ACH-000232,-0.020025092663758213
ACH-000233,-0.18478418881067024
ACH-000234,0.02015888428025417
ACH-000235,0.030018399523076382
ACH-000237,-0.0678306822928214
ACH-000238,0.08587795639842782
ACH-000242,-0.12982300594215726
ACH-000243,-0.10580322238233404
ACH-000244,-0.11565679695885382
ACH-000246,-0.018541092097268667
ACH-000248,0.019194095836043697
ACH-000250,0.052715642960450816
ACH-000251,0.2761182562551157
ACH-000252,-0.002944378780790479
ACH-000253,-0.045860702039314465
ACH-000255,0.1433334610785762
ACH-000256,-0.04665336990722917
ACH-000257,-0.04566764540541116
ACH-000258,-0.08366063830444354
ACH-000259,-0.058078930363968176
ACH-000260,0.006666749463544193
ACH-000261,0.041316472695129634
ACH-000262,-0.13952766608954165
ACH-000263,-0.1628840160900025
ACH-000264,-0.010990900508628823
ACH-000265,0.10780966405704803
ACH-000266,0.058833285606736736
ACH-000272,0.05431307151633655
ACH-000274,0.035071749367925696
ACH-000277,-0.12589470559623786
ACH-000278,-0.0030183420665863803
ACH-000279,-0.031544361401428696
ACH-000280,0.03965205201427687
ACH-000281,0.030870057333158975
ACH-000288,0.02697034339806625
ACH-000291,-0.006142763429080285
ACH-000293,0.02054956095611203
ACH-000294,-0.062403286660997835
ACH-000295,-0.0008459072467964688
ACH-000296,-0.12533737765088745
ACH-000302,0.11722001909424712
ACH-000304,-0.04538131272450992
ACH-000307,-0.08491213729463755
ACH-000308,0.028710465063307364
ACH-000310,-0.017543066732627864
ACH-000311,-0.1496682039956159
ACH-000312,0.07348291463588139
ACH-000315,-0.05191345027843451
ACH-000316,0.11604316919669808
ACH-000317,-0.05605077651094549
ACH-000318,-0.013251287593109031
ACH-000319,0.08317326803513587
ACH-000320,-0.1737711586714512
ACH-000322,0.08971319804062983
ACH-000323,0.033121175305127135
ACH-000324,-0.07788891947804867
ACH-000329,-0.027382740204805786
ACH-000330,0.010518729756091812
ACH-000331,-0.02990837719951505
ACH-000332,-0.017700666156383178
ACH-000334,0.03472412648795608
ACH-000335,0.06957081082386618
ACH-000336,0.2792581905736345
ACH-000337,-0.01081278890241815
ACH-000338,0.8319887434647609
ACH-000339,0.039530182317520215
ACH-000341,0.19534009596627894
ACH-000348,-0.009743600011426656
ACH-000350,0.004743286538260497
ACH-000352,0.007767001595027548
ACH-000356,0.08030677575575038
ACH-000361,0.13501706764792945
ACH-000362,-0.2902238369370835
ACH-000363,-0.03268773657164488
ACH-000364,0.15309106758387075
ACH-000365,-0.04809266845841479
ACH-000366,0.02807113347625741
ACH-000368,0.05037766470672852
ACH-000374,0.1019157796148143
ACH-000375,-0.05859025848901352
ACH-000376,-0.00036706235010203686
ACH-000381,0.08692646185989951
ACH-000383,-0.018698099920739848
ACH-000387,0.048633817973245785
ACH-000389,-0.014668729802457859
ACH-000390,-0.07806611607225493
ACH-000393,-0.0014380043719219716
ACH-000395,-0.14309396076852052
ACH-000396,0.17446251095875706
ACH-000397,-0.031995845098781964
ACH-000401,0.16011503643247416
ACH-000402,0.016261537935489744
ACH-000403,0.02539891321351519
ACH-000404,0.043235729235628434
ACH-000406,0.05766185244621212
ACH-000407,-0.03858791379640791
ACH-000408,-0.08033120722375392
ACH-000410,0.00985827365418206
ACH-000411,0.08135599633638092
