,GSPT1 (2935)
ACH-000004,-1.1766350027700556
ACH-000005,-1.2694019816885571
ACH-000007,-1.215512917410272
ACH-000009,-1.031869038339374
ACH-000011,-1.1057576793795514
ACH-000012,-1.0644180588003374
ACH-000013,-1.397521300853198
ACH-000014,-1.1289865299386432
ACH-000015,-1.2370307348633822
ACH-000017,-1.0609780816644263
ACH-000018,-1.2050458398041108
ACH-000019,-1.2963587576819757
ACH-000021,-0.8791458607694808
ACH-000022,-1.1773404077401903
ACH-000025,-0.9355470464463564
ACH-000028,-0.9137578097361652
ACH-000030,-1.0597976264366389
ACH-000035,-1.0389587605825759
ACH-000036,-1.039883282144748
ACH-000037,-0.6088036557162941
ACH-000039,-0.4232444126302819
ACH-000040,-0.8181894244151345
ACH-000041,-0.8908635168960929
ACH-000042,-1.1102983271486309
ACH-000045,-0.9833758776785988
ACH-000047,-0.9443245803528124
ACH-000052,-1.1841135381105732
ACH-000053,-0.9069471837591491
ACH-000054,-1.0639273851732325
ACH-000055,-0.8916650583230854
ACH-000060,-1.160853911768703
ACH-000067,-1.0015903426182708
ACH-000070,-0.8574142519796153
ACH-000075,-1.1150143584194228
ACH-000078,-0.9865822937289284
ACH-000082,-1.0832925948039784
ACH-000085,-1.2983296267578075
ACH-000086,-0.974777891123932
ACH-000087,-1.1619731255938872
ACH-000092,-1.2010037185917253
ACH-000095,-1.1088326084069942
ACH-000097,-0.9990303689060356
ACH-000098,-1.0640592055860745
ACH-000099,-0.9269135106871671
ACH-000108,-1.151700306487271
ACH-000113,-1.1777572830038638
ACH-000116,-1.3380691104291036
ACH-000118,-1.2164342479421293
ACH-000120,-1.1659366649271476
ACH-000123,-1.2492289393276592
ACH-000127,-1.1361946020024662
ACH-000128,-0.9026253127396746
ACH-000132,-1.1439571321064064
ACH-000133,-1.0763172919371895
ACH-000137,-0.9595885584352752
ACH-000138,-0.8459732472755631
ACH-000142,-0.925727064518954
ACH-000143,-1.2583664399219625
ACH-000146,-1.236961519341509
ACH-000148,-1.1573750626632897
ACH-000150,-0.784534735471884
ACH-000152,-1.1065111527077662
ACH-000153,-1.2825493648860626
ACH-000159,-1.1637495772512747
ACH-000160,-0.4829711924549158
ACH-000163,-0.9648408316750584
ACH-000167,-1.7015625563714758
ACH-000168,-0.882990350619886
ACH-000169,-1.00064053870074
ACH-000178,-0.9967602164790268
ACH-000183,-1.157041999127512
ACH-000188,-1.130736972989993
ACH-000189,-0.9318166320355896
ACH-000190,-1.0510581100572132
ACH-000198,-0.9860369257786848
ACH-000203,-0.8509705695298426
ACH-000204,-0.9286020524055608
ACH-000206,-1.229133193888387
ACH-000207,-1.5697715576612488
ACH-000208,-1.1913414173352357
ACH-000210,-0.8939646997033035
ACH-000211,-1.0795780994016717
ACH-000215,-1.0990295846846994
ACH-000221,-1.3607175514796783
ACH-000222,-1.0559434583526548
ACH-000223,-1.4137599101556804
ACH-000226,-0.9274795947793876
ACH-000227,-0.7660430540275572
ACH-000228,-1.2649897339018434
ACH-000231,-0.6890279939223554
ACH-000232,-1.0325188586071017
ACH-000233,-1.0484925658141695
ACH-000234,-1.2458150979867906
ACH-000235,-0.8405533235585542
ACH-000237,-0.8802104568772887
ACH-000238,-0.7505109653517144
ACH-000242,-1.0699166363409645
ACH-000243,-1.2103754985004893
ACH-000244,-1.1737417666250356
ACH-000246,-1.126560069033345
ACH-000248,-1.2665303271962742
ACH-000250,-1.1072771533443788
ACH-000251,-0.870372650791506
ACH-000252,-1.0586639448985995
ACH-000253,-1.0334905811700572
ACH-000255,-1.004041537052881
ACH-000256,-1.1497025464759758
ACH-000257,-1.1566842563152848
ACH-000258,-0.7212168429445999
ACH-000259,-1.2558414548620778
ACH-000260,-1.0505730703691714
ACH-000261,-0.7874006004303411
ACH-000262,-1.085376145746213
ACH-000263,-0.7411585824130126
ACH-000264,-0.4806185733844686
ACH-000265,-1.1948264881673447
ACH-000266,-1.0947470680627007
ACH-000272,-0.9091417088576698
ACH-000274,-0.7331009299222505
ACH-000277,-1.1926391444693565
ACH-000278,-0.8836005583885399
ACH-000279,-0.9543834342437956
ACH-000280,-1.1778709516717878
ACH-000281,-1.1300191644847597
ACH-000288,-1.2029446285463254
ACH-000291,-0.9425790369661275
ACH-000293,-1.5071059258138255
ACH-000294,-1.1921662407934346
ACH-000295,-1.0341325551437373
ACH-000296,-1.2854814564035069
ACH-000302,-1.009189487865546
ACH-000304,-1.140927172104594
ACH-000307,-1.0224137449408048
ACH-000308,-1.1128012520513209
ACH-000310,-1.0302852532264302
ACH-000311,-1.0629108348479277
ACH-000312,-1.111445650916618
ACH-000315,-0.9299345192659876
ACH-000316,-1.4193199680847066
ACH-000317,-1.0991878554167775
ACH-000318,-0.9174129021384508
ACH-000319,-1.1083134713589788
ACH-000320,-1.0260882340588728
ACH-000322,-1.110345821488832
ACH-000323,-0.9036786865134634
ACH-000324,-1.2476757225994215
ACH-000329,-0.8853215931360147
ACH-000330,-0.974010117566974
ACH-000331,-1.1727214006523996
ACH-000332,-1.0472842817174288
ACH-000334,-0.95872747781983
ACH-000335,-0.8599693164557185
ACH-000336,-1.1009019655959456
ACH-000337,-1.0400479426727205
ACH-000338,-1.1925975537136493
ACH-000339,-1.1042062278761569
ACH-000341,-0.8254886939520104
ACH-000348,-0.9020256847179592
ACH-000350,-1.2136539265696875
ACH-000352,-1.1144526782105502
ACH-000356,-1.0561736629131169
ACH-000361,-1.183966965194005
ACH-000362,-1.0627251027730285
ACH-000363,-0.9898944180075491
ACH-000364,-0.8368992305464102
ACH-000365,-0.9095583825771056
ACH-000366,-0.9005723142393228
ACH-000368,-1.1468293751474656
ACH-000374,-1.116050278086526
ACH-000375,-1.1895418281249128
ACH-000376,-0.9654450445782271
ACH-000381,-1.07554008062197
ACH-000383,-1.1045940705078712
ACH-000387,-1.1460023352446096
ACH-000389,-1.0761658566549988
ACH-000390,-1.2608796955565125
ACH-000393,-0.7775353740281309
ACH-000395,-1.2126687997801202
ACH-000396,-0.9844620869015818
ACH-000397,-1.3272140347044887
ACH-000401,-1.3460695004084622
ACH-000402,-1.1898738258151702
ACH-000403,-1.0637489166466865
ACH-000404,-0.8048565859627351
ACH-000406,-1.2603109383626545
ACH-000407,-1.1580719373772637
ACH-000408,-1.1214357274647686
ACH-000410,-1.2022901630909442
ACH-000411,-1.0042704860105498
ACH-000414,-1.3149611507427337
ACH-000415,-1.144524151520698
ACH-000416,-1.1248003359778618
ACH-000420,-1.0888343998064338
ACH-000421,-1.1781353761359168
ACH-000424,-1.061674313728875
ACH-000425,-1.0668370057997778
ACH-000426,-1.2785958791230634
ACH-000427,-1.1919342392463257
