,EFEMP2 (30008)
ACH-000004,-0.2757860098793132
ACH-000005,-0.31508457842175297
ACH-000007,-0.03700219417409401
ACH-000009,-0.17326799360283776
ACH-000011,-0.2758271239820815
ACH-000012,-0.3061576823064692
ACH-000013,-0.1361871774552215
ACH-000014,0.178368848597709
ACH-000015,-0.10771082284328358
ACH-000017,-0.1513135557428889
ACH-000018,-0.14130752637860566
ACH-000019,-0.052886379278354
ACH-000021,-0.1306783257591297
ACH-000022,-0.056465571163357466
ACH-000025,-0.17657751239861566
ACH-000028,-0.2073844705486124
ACH-000030,-0.2142088902004188
ACH-000035,-0.029956977063985826
ACH-000036,-0.11551927220560425
ACH-000037,-0.10406075259907574
ACH-000039,-0.0923971361961412
ACH-000040,-0.14981594185658595
ACH-000041,-0.33885576570125864
ACH-000042,-0.18978910686641304
ACH-000045,-0.14985666606494627
ACH-000047,-0.19343081506101464
ACH-000052,-0.1499009165399085
ACH-000053,-0.20396992607748785
ACH-000054,-0.20267086802136888
ACH-000055,-0.3127560771851065
ACH-000060,-0.2852470875801339
ACH-000067,-0.2396367974614639
ACH-000070,-0.15285718732095874
ACH-000075,-0.12889322650923035
ACH-000078,-0.2879335348194612
ACH-000082,-0.17847394610022782
ACH-000085,-0.13444944679517914
ACH-000086,-0.06944211727988374
ACH-000087,-0.13293049102005206
ACH-000092,-0.06647710774767815
ACH-000095,-0.20505207408805665
ACH-000097,-0.2526905028549333
ACH-000098,-0.0890025936482359
ACH-000099,-0.2852900977046452
ACH-000108,-0.03752748934260315
ACH-000113,-0.07288533666481588
ACH-000116,-0.17602798269782435
ACH-000118,-0.11485085978306712
ACH-000120,-0.14298664900955954
ACH-000123,-0.2004061479225827
ACH-000127,-0.17775864037110664
ACH-000128,-0.3361994346195423
ACH-000132,-0.32544749814845475
ACH-000133,-0.2729567355663854
ACH-000137,-0.01838207478861403
ACH-000138,-0.10569710861292438
ACH-000142,-0.13506105871447954
ACH-000143,-0.3695546040975829
ACH-000146,-0.07597195614582067
ACH-000148,-0.10708828904188962
ACH-000150,-0.2876817286484768
ACH-000152,-0.16071600072300374
ACH-000153,-0.3655712225523924
ACH-000159,-0.11929959862768433
ACH-000160,-0.1067212349590848
ACH-000163,-0.24102572958565294
ACH-000167,-0.3173661132007107
ACH-000168,-0.05328602864731494
ACH-000169,-0.07579453051904017
ACH-000178,-0.0631278859313824
ACH-000183,-0.25410489085195936
ACH-000188,-0.2339838993375239
ACH-000189,-0.5462241143020901
ACH-000190,-0.2872868044321214
ACH-000198,-0.045145150604027705
ACH-000203,-0.12523015666485704
ACH-000204,0.05061099914407261
ACH-000206,-0.054871155440592616
ACH-000207,-0.20537518840652105
ACH-000208,0.23254616627583816
ACH-000210,-0.04919736986400899
ACH-000211,-0.15426980567968346
ACH-000215,-0.11618788980757845
ACH-000221,-0.17269110614624636
ACH-000222,-0.008042732867539266
ACH-000223,-0.2304413792530254
ACH-000226,-0.2835024869578865
ACH-000227,-0.1340194230648568
ACH-000228,-0.07660641672353627
ACH-000231,-0.1887784702136811
ACH-000232,-0.07455613617044386
ACH-000233,-0.31295860751787963
ACH-000234,-0.2256623714337859
ACH-000235,-0.050867738068637945
ACH-000237,-0.2889554613339125
ACH-000238,-0.1840627169501037
ACH-000242,-0.6385109914720315
ACH-000243,-0.0803513262262651
ACH-000244,-0.035546327320818256
ACH-000246,-0.16288382764509393
ACH-000248,0.022749057012135282
ACH-000250,-0.10691298924768362
ACH-000251,-0.2257863319318784
ACH-000252,-0.03401884653435675
ACH-000253,-0.1605952094797229
ACH-000255,-0.2854077146973268
ACH-000256,-0.3166186258535973
ACH-000257,-0.03844503525547238
