,HBEGF (1839)
ACH-000004,-0.09849440846196628
ACH-000005,-0.05913994926886532
ACH-000007,0.008765142892393258
ACH-000009,-0.12308447356178508
ACH-000011,0.0007480985814204119
ACH-000012,-0.06606274825773413
ACH-000013,-0.04885605977243046
ACH-000014,-0.14986201488467438
ACH-000015,-0.1720247960804598
ACH-000017,0.005125385644920394
ACH-000018,-0.10241280489216736
ACH-000019,-0.08276212522386209
ACH-000021,-0.1365736901165552
ACH-000022,-0.01347083530116121
ACH-000025,0.07601841514004677
ACH-000028,-0.16903184112639286
ACH-000030,-0.1345233142052224
ACH-000035,-0.07055395581691927
ACH-000036,-0.04261813558044944
ACH-000037,-0.11542121042847735
ACH-000039,-0.2940823926852548
ACH-000040,-0.13148767549498838
ACH-000041,-0.010840796941184484
ACH-000042,0.06134959019745812
ACH-000045,-0.20033754012278251
ACH-000047,0.020582133954625416
ACH-000052,-0.14430088369958072
ACH-000053,-0.024923572357426496
ACH-000054,-0.18852884853579446
ACH-000055,0.0641242365649075
ACH-000060,-0.1378988972420669
ACH-000067,-0.1832348501930437
ACH-000070,0.048255195249808036
ACH-000075,-0.028670955068003313
ACH-000078,0.04179358429341826
ACH-000082,-0.1669591687783941
ACH-000085,0.07818841702544188
ACH-000086,-0.16927710945114374
ACH-000087,0.0372141101093852
ACH-000092,-0.05039988129997623
ACH-000095,-0.16361988928076382
ACH-000097,-0.13918324698054266
ACH-000098,-0.20744352274466174
ACH-000099,-0.12930263017228866
ACH-000108,-0.019356596987348762
ACH-000113,-0.08299089974235607
ACH-000116,-0.049793291711552834
ACH-000118,-0.03783307771835803
ACH-000120,-0.036232476987947744
ACH-000123,-0.06492759831510071
ACH-000127,-0.11266076883972526
ACH-000128,-0.13277945180988984
ACH-000132,-0.18849665431173
ACH-000133,-0.2140469364009268
ACH-000137,-0.09601921063912004
ACH-000138,-0.026752778781640552
ACH-000142,-0.03810306036644279
ACH-000143,-0.16128414981920886
ACH-000146,-0.11963985804612602
ACH-000148,-0.1442463653762828
ACH-000150,-0.16700183231058147
ACH-000152,-0.15011168561687155
ACH-000153,-0.14006708299267973
ACH-000159,-0.06892813310600601
ACH-000160,-0.1047069072661478
ACH-000163,-0.06020067471357204
ACH-000167,-0.2335011429464898
ACH-000168,-0.10228528111242027
