,LENG1 (79165)
ACH-000004,-0.31998183695848176
ACH-000005,-0.059335617718292585
ACH-000007,-0.420472742691528
ACH-000009,-0.27733908763420695
ACH-000011,-0.2619854518951264
ACH-000012,-0.5347118581463418
ACH-000013,-0.5720450384350597
ACH-000014,-0.44202633307585015
ACH-000015,-0.5204911767848635
ACH-000017,-0.4313790180781333
ACH-000018,-0.329194672054821
ACH-000019,-0.3695544111166655
ACH-000021,-0.4067666053667488
ACH-000022,-0.4240781040634831
ACH-000025,-0.2299322557908181
ACH-000028,-0.4092191462328631
ACH-000030,-0.4013814718882797
ACH-000035,-0.3447594491094021
ACH-000036,-0.4401798641961733
ACH-000037,-0.44380180737688746
ACH-000039,-0.3234256557778083
ACH-000040,-0.22357574326158505
ACH-000041,-0.4902772472102481
ACH-000042,-0.31997107281172465
ACH-000045,0.12128305903019687
ACH-000047,-0.20520294452469232
ACH-000052,-0.4126594560781369
ACH-000053,-0.5983749562599798
ACH-000054,-0.4198706046004663
ACH-000055,-0.4517935321423247
ACH-000060,-0.4794083836659865
ACH-000067,-0.3794294279013455
ACH-000070,-0.4091825843732183
ACH-000075,-0.4868582446726146
ACH-000078,-0.17608627476643807
ACH-000082,-0.5585908483714163
ACH-000085,-0.04419622643462954
ACH-000086,-0.2648539412701523
ACH-000087,-0.5775596271074283
ACH-000092,-0.20047064333327036
ACH-000095,-0.3671244466004928
ACH-000097,-0.24056615397573036
ACH-000098,-0.4360080979090433
ACH-000099,-0.2412783255841038
ACH-000108,-0.6072727726873823
ACH-000113,-0.31095709086964474
ACH-000116,-0.5788148217925532
ACH-000118,-0.5025996302113509
ACH-000120,-0.5562126810946817
ACH-000123,-0.3993800926524409
ACH-000127,-0.4396960139949478
ACH-000128,-0.16306378836968732
ACH-000132,-0.33824891569342275
ACH-000133,-0.5003685557411189
ACH-000137,-0.3242553935420593
ACH-000138,-0.1929019285661168
ACH-000142,-0.2906680299931904
ACH-000143,-0.3827435923656591
ACH-000146,-0.27345408662400306
ACH-000148,-0.2948500224244642
ACH-000150,-0.5600793274184361
ACH-000152,-0.4489415435895352
ACH-000153,-0.29666097664328905
ACH-000159,-0.19543607147286884
ACH-000160,-0.366225327725089
ACH-000163,-0.3813034475481737
ACH-000167,-0.4600462852591028
ACH-000168,-0.21202465000898774
ACH-000169,-0.3896387250755358
ACH-000178,-0.36508271092837613
ACH-000183,-0.2336159914409149
ACH-000188,-0.4298003988703855
ACH-000189,-0.11005827267553138
ACH-000190,-0.6305251387324139
ACH-000198,-0.07867672113632647
ACH-000203,-0.3236130058792532
ACH-000204,0.044938314103829854
ACH-000206,-0.2525939347212377
ACH-000207,-0.17761149909405494
ACH-000208,-0.2134892603259504
ACH-000210,-0.3710694488801032
ACH-000211,-0.25726313903061954
ACH-000215,-0.3238086319736973
ACH-000221,-0.5020071437245925
ACH-000222,-0.41725336490482
ACH-000223,-0.3813210376444604
ACH-000226,-0.3928472076838649
ACH-000227,-0.2415869437084247
ACH-000228,-0.2126460565849808
ACH-000231,-0.1881465842357606
ACH-000232,-0.2937421033352373
ACH-000233,-0.527507622887081
ACH-000234,-0.18623893130488148
ACH-000235,-0.5099540963596632
ACH-000237,-0.5072173267436996
ACH-000238,-0.22726937678398995
ACH-000242,-0.3828300550504945
ACH-000243,-0.3220219516568529
ACH-000244,-0.4807690048293557
ACH-000246,-0.3568721709319421
ACH-000248,-0.3001462142086741
ACH-000250,-0.2841022039342501
ACH-000251,-0.5144697710292373
ACH-000252,-0.6044140329723341
ACH-000253,-0.34860525910434953
ACH-000255,-0.4758926022981445
ACH-000256,-0.3129150304514472
ACH-000257,-0.4116192909704049
ACH-000258,-0.4278430906172624
ACH-000259,-0.35023166154460394
ACH-000260,-0.6105848699442302
ACH-000261,-0.4766464788829426
ACH-000262,-0.4672889669820346
ACH-000263,-0.4768425201308907
ACH-000264,-0.368224963085804
ACH-000265,-0.4912757022412588
ACH-000266,-0.4235499358244151
ACH-000272,-0.2989511339836922
ACH-000274,-0.1769469678441158
ACH-000277,-0.5349078776616359
ACH-000278,-0.5487177929280721
ACH-000279,-0.3478345555842924
ACH-000280,-0.4038540152023122
ACH-000281,-0.2653934100358754
ACH-000288,-0.3741125364212517
ACH-000291,-0.2923703512986874
ACH-000293,-0.5291550539426609
ACH-000294,-0.2647350212223929
ACH-000295,0.013852712204729237
