,SH2D3C (10044)
ACH-000004,-0.3797759086129791
ACH-000005,-0.25532763129881153
ACH-000007,0.13052522016216764
ACH-000009,-0.041208998947146636
ACH-000011,-0.05667316574506275
ACH-000012,-0.1640161175432375
ACH-000013,-0.029523784367949425
ACH-000014,-0.07549707909277407
ACH-000015,-0.18845436314546546
ACH-000017,-0.051680317673917286
ACH-000018,-0.23150866578437915
ACH-000019,0.08000144722962904
ACH-000021,-0.1366807305786039
ACH-000022,-0.08231021223325755
ACH-000025,0.005588773752824866
ACH-000028,0.09951381775792452
ACH-000030,0.0601316584838672
ACH-000035,-0.004821966519092248
ACH-000036,0.1699150783428355
ACH-000037,-0.10366085604222054
ACH-000039,-0.01893791099532549
ACH-000040,-0.08486274906312356
ACH-000041,-0.033304830683030445
ACH-000042,-0.03221033878356585
ACH-000045,-0.04560382273440111
ACH-000047,-0.05915876587713929
ACH-000052,-0.0766142405855438
ACH-000053,0.026768554614677063
ACH-000054,0.04192781578380528
ACH-000055,-0.1890987626645492
ACH-000060,-0.02656054449305718
ACH-000067,0.04864644336980187
ACH-000070,0.0496113023760507
ACH-000075,0.001065239735618599
ACH-000078,0.07464253502723657
ACH-000082,0.02155180602020225
ACH-000085,0.010571042903176573
ACH-000086,-0.0264260710579223
ACH-000087,-0.06558346774720568
ACH-000092,0.06181847647711074
ACH-000095,0.024372350644320084
ACH-000097,0.02207694652411713
ACH-000098,0.12106632486508015
ACH-000099,0.02035151683021484
ACH-000108,-0.14084573594445085
ACH-000113,0.10011297797907273
ACH-000116,0.006031829063538025
ACH-000118,-0.13925648051334388
ACH-000120,0.00108639043213519
ACH-000123,-0.02503489943413599
ACH-000127,0.012282516981826358
ACH-000128,-0.09015005942923472
ACH-000132,-0.031247251976924437
ACH-000133,-0.04732141355378836
ACH-000137,-0.025002115333303158
ACH-000138,-0.07537906950994999
ACH-000142,-0.07831533065457105
ACH-000143,-0.09828282970991432
ACH-000146,0.016995848560797392
ACH-000148,0.063768144332241
ACH-000150,-0.025246133135036014
ACH-000152,0.06462509392997044
ACH-000153,0.20190184280857476
ACH-000159,0.014182784786921346
ACH-000160,0.0874640215091872
ACH-000163,-0.07491060534446607
ACH-000167,0.05835762390096174
ACH-000168,0.027305789520604456
ACH-000169,-0.06563104997292596
ACH-000178,-0.0681228860219974
ACH-000183,-0.043282611380699616
ACH-000188,-0.17953054043963007
