,METTL10 (399818)
ACH-000004,-0.14489516666141924
ACH-000005,-0.6358080658626641
ACH-000007,-0.2632763167110169
ACH-000009,-0.19887242800041674
ACH-000011,-0.3145979514475868
ACH-000012,-0.2701843841575679
ACH-000013,-0.23609512190573484
ACH-000014,-0.1574897722562411
ACH-000015,-0.154321027228311
ACH-000017,-0.03049902948377606
ACH-000018,-0.28719868550620353
ACH-000019,-0.20359439825178632
ACH-000021,-0.143717079300042
ACH-000022,-0.3699166079924693
ACH-000025,-0.2273048137232176
ACH-000028,-0.1107271207320297
ACH-000030,-0.17585980444895882
ACH-000035,-0.16261104693188347
ACH-000036,-0.08628658539689829
ACH-000037,-0.3209690458275636
ACH-000039,-0.4963119111008741
ACH-000040,-0.4186175129236108
ACH-000041,-0.2401820365881213
ACH-000042,-0.1615607837277226
ACH-000045,-0.1560778448207427
ACH-000047,-0.2381260388202936
ACH-000052,-0.37364007958471057
ACH-000053,-0.20800081299454515
ACH-000054,-0.13051028806951234
ACH-000055,-0.3463518608833404
ACH-000060,-0.3973539541412772
ACH-000067,-0.31220168483869737
ACH-000070,-0.3110069497814655
ACH-000075,-0.2912759468231013
ACH-000078,-0.16830974373804486
ACH-000082,-0.22050426776899407
ACH-000085,-0.17157295584769616
ACH-000086,-0.13509087884688362
ACH-000087,-0.23018591703547006
ACH-000092,-0.24611375783253706
ACH-000095,-0.31974440495367484
ACH-000097,-0.3579010445962705
ACH-000098,-0.3556519181403646
ACH-000099,-0.2964901967924147
ACH-000108,-0.2684846689405722
ACH-000113,-0.3695713414069138
ACH-000116,-0.19601267587572346
ACH-000118,-0.14047785125144865
ACH-000120,-0.22653061566713395
ACH-000123,-0.37341374295779467
ACH-000127,-0.24862763960367265
ACH-000128,-0.28004873143285275
ACH-000132,-0.2810228327991704
ACH-000133,-0.17385810022885906
ACH-000137,-0.16710305050964286
ACH-000138,-0.18820950222846072
ACH-000142,-0.11251750959092993
ACH-000143,-0.22233125611274973
ACH-000146,-0.2693450908748323
ACH-000148,-0.2797404231063748
ACH-000150,-0.14403689808766873
ACH-000152,-0.1366131537318485
ACH-000153,-0.13598332420616344
ACH-000159,-0.1915685393108259
ACH-000160,-0.09465863454666937
ACH-000163,-0.260902372394192
ACH-000167,0.042774934854845896
ACH-000168,-0.4029843119877287
ACH-000169,-0.6065580668715714
ACH-000178,-0.18913012093992226
ACH-000183,-0.2377580712839639
ACH-000188,-0.1762084207091284
ACH-000189,-0.267034601617468
ACH-000190,-0.3206491249517909
ACH-000198,-0.2871270686678771
ACH-000203,-0.19271218740483445
ACH-000204,-0.404028571166454
ACH-000206,-0.3206235573921834
ACH-000207,-0.22718264332678886
ACH-000208,-0.21283060239336127
ACH-000210,-0.19715382104588672
ACH-000211,-0.29961133263356343
ACH-000215,-0.2558980287331032
ACH-000221,-0.1586756927300457
ACH-000222,-0.032190917844082394
ACH-000223,-0.21191525836162708
ACH-000226,-0.0892826789503492
ACH-000227,-0.19227355325714024
ACH-000228,-0.1868298656188516
ACH-000231,-0.2839278905495694
ACH-000232,-0.19440693499530784
ACH-000233,-0.15712838434102988
ACH-000234,-0.09555040449530326
ACH-000235,-0.22242683774361716
ACH-000237,-0.1757812923359151
ACH-000238,-0.07619274027555664
ACH-000242,-0.16599430768521367
ACH-000243,-0.10768391537240156
ACH-000244,-0.3455785772497895
ACH-000246,-0.30107421508239696
ACH-000248,-0.03509337186111525
ACH-000250,-0.1844329185799287
ACH-000251,-0.19822521922209047
ACH-000252,-0.054138093679949165
ACH-000253,-0.22175715618988687
ACH-000255,-0.14812939203020678
ACH-000256,-0.2982473829226707
ACH-000257,-0.34440801107170593
ACH-000258,-0.2741828463623993
ACH-000259,-0.20688175132865272
ACH-000260,-0.33162713165874297
ACH-000261,-0.2346061386794733
ACH-000262,-0.13260823783471054
ACH-000263,-0.06398768666444274
ACH-000264,-0.19609252479153533
ACH-000265,-0.20037138064427246
ACH-000266,-0.3224597260494598
ACH-000272,-0.141747662940691
ACH-000274,-0.3042351542878574
ACH-000277,-0.4046505521723876
ACH-000278,-0.17284897674675834
ACH-000279,-0.2793458107976625
ACH-000280,-0.3645405310627719
ACH-000281,-0.4922626174321318
ACH-000288,-0.2820068933144121
ACH-000291,-0.2639539582286856
ACH-000293,-0.2221796294527945
ACH-000294,-0.3705981562626331
ACH-000295,-0.6873614147087718
ACH-000296,-0.4043056077825724
ACH-000302,-0.27091838596736145
ACH-000304,-0.016288131954416717
ACH-000307,-0.24605216936520746
ACH-000308,-0.19909492503721926
ACH-000310,-0.4045006094629624
ACH-000311,-0.22547811942322302
ACH-000312,-0.3687903266853096
ACH-000315,-0.4587844196898165
ACH-000316,-0.3681595715323875
ACH-000317,-0.31518169695972026
ACH-000318,-0.3643936285541821
ACH-000319,-0.3420062427210895
ACH-000320,-0.3073828704763664
ACH-000322,0.05370209657090745
ACH-000323,-0.2646408303515277
ACH-000324,-0.2670996089927308
ACH-000329,-0.1935190208569473
ACH-000330,-0.16043634193219294
ACH-000331,-0.3313898042424304
ACH-000332,-0.3213692111845721
ACH-000334,-0.2274755351995455
ACH-000335,-0.30480273596953283
ACH-000336,-0.3974256867409837
ACH-000337,0.05261873507923462
ACH-000338,-0.3401062510808826
ACH-000339,-0.1846280636600041
ACH-000341,-0.065728405440626
ACH-000348,-0.19141008536176252
ACH-000350,-0.4114195171017028
ACH-000352,-0.2299049866069421
ACH-000356,-0.3923451640868119
ACH-000361,-0.1381302390127826
ACH-000362,-0.2140712000228723
ACH-000363,-0.2309078073188246
ACH-000364,-0.16796962304698665
ACH-000365,-0.22008027711838926
ACH-000366,-0.2759966646226517
ACH-000368,-0.23244367415226436
ACH-000374,-0.1471279203244714
ACH-000375,-0.22368058011734268
ACH-000376,-0.2281161976211989
ACH-000381,-0.21202759307812005
ACH-000383,-0.2785843000856851
ACH-000387,-0.34752997103908323
ACH-000389,-0.20915750310432307
ACH-000390,-0.3158823034908508
ACH-000393,-0.3246843412479895
ACH-000395,-0.2570320748443983
ACH-000396,-0.3595811345955994
ACH-000397,-0.31587440602982503
ACH-000401,-0.07366944785777507
ACH-000402,-0.4270141874218904
ACH-000403,-0.2836700919753592
ACH-000404,-0.21979998467588124
ACH-000406,-0.17333141896687826
ACH-000407,-0.12163727254470005
ACH-000408,-0.054088059715186085
ACH-000410,-0.27428765249632203
ACH-000411,-0.4258380931705293
ACH-000414,-0.19282640360748168
ACH-000415,-0.12689027624947502
ACH-000416,-0.34214047328575725
ACH-000420,-0.16589924696442673
ACH-000421,-0.19586087505334693
ACH-000424,-0.2933983490075148
ACH-000425,-0.3484759948598499
ACH-000426,-0.37809795393690093
ACH-000427,-0.23110565528346624
ACH-000433,-0.12550199013930574
ACH-000435,0.12694121979437215
ACH-000436,-0.2986288064260429
ACH-000444,-0.33300994248014504
ACH-000445,-0.12159577309747426
ACH-000448,-0.2959704480522805
ACH-000450,0.12724158708770295
ACH-000452,-0.2659532905261309
ACH-000454,-0.18531923641643416
ACH-000458,-0.07132537114423462
ACH-000459,-0.04525139092056285
ACH-000460,-0.2356008385835503
ACH-000461,-0.16662102422325328
ACH-000463,-0.4256054868129488
ACH-000464,-0.2822240266334578
ACH-000466,-0.2337931889819776
ACH-000467,-0.4056414034515904
ACH-000468,-0.15675511907031198
ACH-000469,-0.2421091482239525
ACH-000470,-0.16194947165923335
ACH-000471,-0.27846460161672626
ACH-000472,-0.24466200367899804
ACH-000473,-0.12064053771667994
ACH-000475,-0.2964306182879488
ACH-000476,-0.17273583980496382
ACH-000477,-0.1599029261772033
ACH-000479,-0.18659821571305504
ACH-000480,0.03426533991045798
ACH-000481,-0.2349037747850367
ACH-000483,-0.2478999785867673
ACH-000484,-0.1444294799089177
ACH-000485,-0.30965082701814595
ACH-000486,-0.23111965995659065
ACH-000487,-0.1698352264168865
ACH-000488,-0.2142031729202621
ACH-000490,-0.17742295179373552
ACH-000491,-0.07665324748008942
ACH-000495,-0.2651682108380325
ACH-000496,-0.20804714832830526
ACH-000499,0.16218359726010376
ACH-000500,-0.2824087351071259
ACH-000502,-0.21361197962175807
ACH-000503,-0.16258411726250835
ACH-000505,-0.3895111604925693
ACH-000507,-0.0940090600708665
ACH-000510,-0.14236239321872993
ACH-000511,-0.3226639826321812
ACH-000512,0.0973646929967342
ACH-000516,-0.22167701499948625
ACH-000517,-0.2306088880592175
ACH-000518,-0.10530130946577153
ACH-000520,-0.2048211557103892
ACH-000521,-0.19185644193703166
ACH-000522,-0.2677287874099624
ACH-000524,-0.18718623491123013
ACH-000527,-0.3002232221782906
ACH-000528,-0.2391458608135341
ACH-000537,-0.2921576477217491
ACH-000541,-0.31195188824051856
ACH-000542,-0.2131207434696857
ACH-000544,-0.14613629412317505
ACH-000545,-0.24443667601048985
ACH-000547,0.10444745553389592
ACH-000548,-0.150564465168793
ACH-000549,-0.2830395473045825
ACH-000550,-0.1746377490248849
ACH-000552,-0.3135867263325826
ACH-000556,-0.2002901940735698
ACH-000557,-0.2372800247794941
ACH-000569,-0.0960432729311516
ACH-000570,-0.22938652114595515
ACH-000571,-0.27382563796140924
ACH-000573,-0.177532957555018
ACH-000576,-0.3144500660097979
ACH-000579,-0.3506695866741024
ACH-000580,-0.037475505454721884
ACH-000584,-0.3188989329091135
ACH-000585,-0.3082050683118881
ACH-000588,-0.3147965931826965
ACH-000589,-0.308518908924058
ACH-000591,-0.11806496899411772
ACH-000593,-0.262634426880864
ACH-000600,-0.26489798466198883
ACH-000601,-0.19402212964651366
ACH-000605,-0.16043438495514
ACH-000606,-0.30517191200737553
ACH-000608,-0.3307820817988455
ACH-000614,-0.2026860468316463
ACH-000616,-0.3238398147860819
ACH-000618,-0.08230319656315259
ACH-000619,-0.2431071594067404
ACH-000620,-0.22831953806151445
ACH-000621,-0.2850559935282048
ACH-000622,-0.4527481880591505
ACH-000623,-0.2215219062574337
ACH-000624,-0.1979050568188737
ACH-000627,-0.2707931879209741
ACH-000630,-0.2499882678359058
ACH-000631,-0.262290681555003
ACH-000632,-0.26243012752156514
ACH-000633,-0.14922593629101846
ACH-000637,-0.15341966294657666
ACH-000638,-0.16415349404770566
ACH-000646,-0.3435655031495531
ACH-000647,-0.27147597256269523
ACH-000648,-0.3100781841237667
ACH-000649,-0.2993760535254587
ACH-000651,-0.2391449733167017
ACH-000652,-0.2337141751346332
ACH-000653,-0.22406952147579204
ACH-000657,-0.27223270511049114
ACH-000658,-0.2605648934747436
ACH-000661,-0.17050585657691586
ACH-000662,-0.4928304963677843
ACH-000663,-0.16071219690683486
ACH-000665,-0.2411306295404888
ACH-000671,-0.10540683480089737
