,HIST1H2AB (8335)
ACH-000004,-0.5271240862584488
ACH-000005,-0.7535547178974891
ACH-000007,-0.5200377636956796
ACH-000009,-0.4595708622535971
ACH-000011,-0.6067171049110662
ACH-000012,-0.3794906669481244
ACH-000013,-0.5367003585760869
ACH-000014,-0.4367230507001019
ACH-000015,-0.4378760746998256
ACH-000017,-0.5172912364357498
ACH-000018,-0.1189418918565054
ACH-000019,-0.4845531621159865
ACH-000021,-0.3081967087668577
ACH-000022,-0.3844934877073998
ACH-000025,-0.5534832975309114
ACH-000028,-0.4034121076159376
ACH-000030,-0.44820820345414775
ACH-000035,-0.3346908709216689
ACH-000036,-0.5045007648492879
ACH-000037,-0.7015145696836886
ACH-000039,-0.3551982347203478
ACH-000040,-0.5418126133658464
ACH-000041,-0.4700410358184233
ACH-000042,-0.3905467121597895
ACH-000045,-0.4823917121821929
ACH-000047,-0.4172609976897296
ACH-000052,-0.2341554591832097
ACH-000053,-0.483614333724503
ACH-000054,-0.4051846314928666
ACH-000055,-0.19838588964620368
ACH-000060,-0.4006475214297892
ACH-000067,-0.4246546957676392
ACH-000070,-0.3530663180489351
ACH-000075,-0.7112433612656913
ACH-000078,-0.541983194490562
ACH-000082,-0.4230265440912565
ACH-000085,-0.6463087278601316
ACH-000086,-0.3012324890572862
ACH-000087,-0.4669635520544808
ACH-000092,-0.3234113224473588
ACH-000095,-0.6027369053370644
ACH-000097,-0.5185140293993273
ACH-000098,-0.413255015651416
ACH-000099,-0.4206946469571749
ACH-000108,-0.35499973293276194
ACH-000113,-0.5827027853336264
ACH-000116,-0.533849257477253
ACH-000118,-0.3630086422603308
ACH-000120,-0.40968967192967615
ACH-000123,-0.4411023177059144
ACH-000127,-0.5723060590625568
ACH-000128,-0.6192851899865404
ACH-000132,-0.4474645877460319
ACH-000133,-0.376356406011584
ACH-000137,-0.4923485085115806
ACH-000138,-0.5757798839844102
ACH-000142,-0.4269720038640392
ACH-000143,-0.4798252118909889
ACH-000146,-0.5362394101237072
ACH-000148,-0.3915387081064594
ACH-000150,-0.38354181066085397
ACH-000152,-0.4410322771502583
ACH-000153,-0.4053334873499468
ACH-000159,-0.4639475426307969
ACH-000160,-0.4715786763903635
ACH-000163,-0.4964626746889006
ACH-000167,-0.8795095968988123
ACH-000168,-0.7416238321799364
ACH-000169,-0.5119104850370852
ACH-000178,-0.5562194011966806
ACH-000183,-0.3551214770730501
ACH-000188,-0.4561807464374235
ACH-000189,-0.2752093933974202
ACH-000190,-0.5594213823780172
ACH-000198,-0.2381173309025417
ACH-000203,-0.18879607200736215
ACH-000204,-0.5379986754862643
ACH-000206,-0.5128956660008388
ACH-000207,-0.4461417688912509
ACH-000208,-0.4763181727674568
ACH-000210,-0.5500124666102781
ACH-000211,-0.4690582375137471
ACH-000215,-0.4185772850801059
ACH-000221,-0.3561485883565642
ACH-000222,-0.5235244437207244
ACH-000223,-0.3887015947085522
ACH-000226,-0.4078112115123593
ACH-000227,-0.2155860257267916
ACH-000228,-0.5324841940416793
ACH-000231,-0.5940173616836392
ACH-000232,-0.36405985340800745
ACH-000233,-0.5801676471468039
ACH-000234,-0.3126807120221949
ACH-000235,-0.4565493559999645
ACH-000237,-0.5127526149947746
ACH-000238,-0.4997734286629269
ACH-000242,-1.0863652162638038
ACH-000243,-0.4256192232782902
ACH-000244,-0.4798003640178923
ACH-000246,-0.5908556092054099
ACH-000248,-0.4214349219943115
ACH-000250,-0.4483871117589453
ACH-000251,-0.8027547356478769
ACH-000252,-0.6329721256516708
ACH-000253,-0.41374273480010704
ACH-000255,-0.3436753078072386
ACH-000256,-0.4885359606057713
ACH-000257,-0.3442574686382471
ACH-000258,-0.5703349974887452
ACH-000259,-0.7030286396362965
ACH-000260,-0.4560383816360384
ACH-000261,-0.4536351037319925
ACH-000262,-0.3451968728278896
ACH-000263,-0.6607144412743056
ACH-000264,-0.5661502232504517
ACH-000265,-0.4894286236644631
ACH-000266,-0.4470863581453727
ACH-000272,-0.5059612267642659
ACH-000274,-0.4151836866226799
ACH-000277,-0.4449587940500638
ACH-000278,-0.5642435901639977
ACH-000279,-0.5418164113630557
ACH-000280,-0.3916390376242917
ACH-000281,-0.4796938130413414
ACH-000288,-0.4754086278964197
