,DDN (23109)
ACH-000004,-0.5762576830697216
ACH-000005,-0.4864418571377665
ACH-000007,-0.5059208473978006
ACH-000009,-0.30924060930901903
ACH-000011,-0.5426716861069546
ACH-000012,-0.3925987251702264
ACH-000013,-0.3294436550228178
ACH-000014,-0.3287976494871149
ACH-000015,-0.3593657184127145
ACH-000017,-0.40062585371819137
ACH-000018,-0.3524009900039685
ACH-000019,-0.3556582348023683
ACH-000021,-0.41283170043180195
ACH-000022,-0.334037425074986
ACH-000025,-0.2581757856987419
ACH-000028,-0.5447146373646577
ACH-000030,-0.4684469912359738
ACH-000035,-0.422847797546903
ACH-000036,-0.3693941550543404
ACH-000037,-0.4989054874457614
ACH-000039,-0.5330428848771919
ACH-000040,-0.5232158260838276
ACH-000041,-0.22022466740196187
ACH-000042,-0.3068030723126354
ACH-000045,-0.3172315334352019
ACH-000047,-0.3832515317786195
ACH-000052,-0.6074041002081164
ACH-000053,-0.3090250473378889
ACH-000054,-0.42161594505446537
ACH-000055,-0.5508909527656216
ACH-000060,-0.3838261071039117
ACH-000067,-0.5657504824109257
ACH-000070,-0.3011587494277233
ACH-000075,-0.5050948420285444
ACH-000078,-0.5046918839567737
ACH-000082,-0.4034783353460497
ACH-000085,-0.3860901947332832
ACH-000086,-0.5584881990289441
ACH-000087,-0.15690643265615015
ACH-000092,-0.2315308072977068
ACH-000095,-0.4630034803561705
ACH-000097,-0.4216269503960803
ACH-000098,-0.23949554967609835
ACH-000099,-0.30799250456498706
ACH-000108,-0.33669499478594395
ACH-000113,-0.34579784342369196
ACH-000116,-0.3985991246293028
ACH-000118,-0.4205070125365445
ACH-000120,-0.4632136425102725
ACH-000123,-0.3973751417015067
ACH-000127,-0.39080374183971467
ACH-000128,-0.4722327096583937
ACH-000132,-0.34936211730669997
ACH-000133,-0.464614470954679
ACH-000137,-0.3856221272119799
ACH-000138,-0.39418954079422097
ACH-000142,-0.4174910112833093
ACH-000143,-0.3678028464563628
ACH-000146,-0.11338604524391935
ACH-000148,-0.3916186781346381
ACH-000150,-0.139809854391259
ACH-000152,-0.3478952060765092
ACH-000153,-0.5482403047193912
ACH-000159,-0.4209665820121537
ACH-000160,-0.36417236624843
ACH-000163,-0.5186214891202252
ACH-000167,-0.7442635303891221
ACH-000168,-0.1895657069312968
ACH-000169,-0.430546779262008
ACH-000178,-0.532246994163321
ACH-000183,-0.21768357332189384
ACH-000188,-0.4182506957685487
ACH-000189,-0.6893816946465486
ACH-000190,-0.3389596925500663
ACH-000198,-0.2279008969615181
ACH-000203,0.03905307091587324
ACH-000204,-0.16990387266674403
ACH-000206,-0.34945107822380106
ACH-000207,-0.3892211831120205
ACH-000208,-0.12566414278353494
ACH-000210,-0.6992342905815101
ACH-000211,-0.4802238943345178
ACH-000215,-0.5048938315850563
ACH-000221,-0.3143374441390059
ACH-000222,-0.4385204779432766
ACH-000223,-0.3267377308535508
ACH-000226,-0.4427571814878187
ACH-000227,-0.39994496264844426
ACH-000228,-0.4731282128119486
ACH-000231,-0.3396015600693072
ACH-000232,-0.5269547267561592
ACH-000233,-0.3643489768253531
ACH-000234,-0.4547396328288898
ACH-000235,-0.2686482456063749
ACH-000237,-0.4549287021747828
ACH-000238,-0.3135104342560869
ACH-000242,-0.5370514206002452
ACH-000243,-0.4181839982475647
ACH-000244,-0.07549897388881069
ACH-000246,-0.4179191806813439
ACH-000248,-0.5827280839505395
ACH-000250,-0.4525315760308097
ACH-000251,-1.0243607949778826
ACH-000252,-0.4254999007987224
ACH-000253,-0.3255322461651598
ACH-000255,-0.4068832572881563
ACH-000256,-0.14427950112990198
ACH-000257,-0.36193804468196417
ACH-000258,-0.3714197670170788
ACH-000259,-0.2960937282639968
ACH-000260,-0.5282573287397876
ACH-000261,-0.4528919056756539
ACH-000262,-0.13107449457823284
ACH-000263,-0.531496409793948
ACH-000264,-0.47344723097450203
ACH-000265,-0.35040119011386417
ACH-000266,-0.3275637666552029
ACH-000272,-0.3134355151527209
ACH-000274,-0.5677667633020975
ACH-000277,-0.4148421288501515
ACH-000278,-0.6712011146977017
ACH-000279,-0.4821240425822333
ACH-000280,-0.3282643675387993
ACH-000281,-0.3613528844832262
ACH-000288,-0.3888110470978203
ACH-000291,-0.4005023629262782
ACH-000293,-0.5063429252239624
ACH-000294,-0.3392318998205718
ACH-000295,-0.2553830105952442
ACH-000296,-0.5596430058392428
ACH-000302,-0.29547907842987875
ACH-000304,-0.7044123705229571
ACH-000307,-0.3303644256351284
ACH-000308,-0.4259229988121773
ACH-000310,-0.32566639721576884
ACH-000311,-0.4021924979556584
ACH-000312,-0.2707884851496268
ACH-000315,-0.3834747889361886
ACH-000316,-0.2180542100860013
ACH-000317,-0.4065635865417269
ACH-000318,-0.5454638565749379
ACH-000319,-0.3807335996573733
ACH-000320,-0.1575945378912779
ACH-000322,-0.6433993965379327
ACH-000323,-0.3585608073553689
ACH-000324,-0.4172991252694011
ACH-000329,-0.4385804706147541
ACH-000330,-0.19332329973915055
ACH-000331,-0.5008636112226379
ACH-000332,-0.4117775687920031
ACH-000334,-0.4056960070403797
ACH-000335,-0.38363168748273613
ACH-000336,-0.4815416548427108
ACH-000337,-0.6922270652166435
ACH-000338,-0.16401325698196814
ACH-000339,-0.5089848019978305
ACH-000341,-0.6359368552124393
ACH-000348,-0.4069363962498389
ACH-000350,-0.3828318375437586
ACH-000352,-0.40924760464466103
ACH-000356,-0.6397465880668428
ACH-000361,-0.2325159859509703
ACH-000362,-0.4200063930709001
ACH-000363,-0.4576234386606815
ACH-000364,-0.4863366309553676
ACH-000365,-0.32110805029957945
ACH-000366,-0.3652004304075487
ACH-000368,-0.5997748522114035
ACH-000374,-0.3649728159375378
ACH-000375,-0.4465052161943703
ACH-000376,-0.30339126232770103
ACH-000381,-0.2634005827844737
ACH-000383,-0.2882220497162907
ACH-000387,-0.5043275671984945
ACH-000389,-0.4700991137265034
ACH-000390,-0.2429894880303153
ACH-000393,-0.5300524790898079
ACH-000395,-0.5512698706468258
ACH-000396,-0.5949409760330435
ACH-000397,-0.5004690003320446
ACH-000401,-0.3086615671376045
ACH-000402,-0.5799870612976327
ACH-000403,-0.33498147571489145
ACH-000404,-0.659745121545256
ACH-000406,-0.28778757370630925
ACH-000407,-0.40562908108802703
ACH-000408,-0.3533574805993806
ACH-000410,-0.3700851773698269
ACH-000411,-0.6288899979279106
ACH-000414,-0.6248914959684427
ACH-000415,-0.2803534088774589
ACH-000416,-0.32875548562610624
ACH-000420,-0.3627159143588001
ACH-000421,-0.4648328653428472
ACH-000424,-0.4404599834916756
ACH-000425,-0.4251108804480047
ACH-000426,-0.5084881704454196
ACH-000427,-0.20154266745479216
ACH-000433,-0.5339686750910471
ACH-000435,-0.5229124878733906
ACH-000436,-0.496608088956744
ACH-000444,-0.4970053102568685
ACH-000445,-0.41308340944608063
ACH-000448,-0.3703419176133899
ACH-000450,-0.4149818147668296
ACH-000452,-0.3903257811483935
ACH-000454,-0.37440651627719296
ACH-000458,-0.4222018268646508
ACH-000459,-0.25907249284131045
ACH-000460,-0.5450381132198574
ACH-000461,-0.4412591411547544
ACH-000463,-0.29284802215429057
ACH-000464,-0.431906441640871
ACH-000466,-0.4158291233524429
ACH-000467,-0.5675040683353153
ACH-000468,-0.3008156392149935
ACH-000469,-0.09898465919832257
ACH-000470,-0.6054349496449801
ACH-000471,-0.4547688693281749
ACH-000472,-0.3512621311954245
ACH-000473,-0.30619085849276045
ACH-000475,-0.415769061593036
ACH-000476,-0.4678361943153357
ACH-000477,-0.2541837982888037
ACH-000479,-0.5197733541306274
ACH-000480,-0.5631232862132406
ACH-000481,-0.5228548923148244
ACH-000483,-0.4040777300569719
ACH-000484,-0.3666456451559093
ACH-000485,-0.3907581092366536
ACH-000486,-0.5801273421225354
ACH-000487,-0.5527948906965953
ACH-000488,-0.4809178016356613
ACH-000490,-0.5781245368496271
ACH-000491,-0.32175039786969145
ACH-000495,-0.4084669241910309
ACH-000496,-0.4046721198223465
ACH-000499,-0.5578271833722516
ACH-000500,-0.6277771444851679
ACH-000502,-0.3972897589871399
ACH-000503,-0.3947580616446564
ACH-000505,-0.3756661706375969
ACH-000507,-0.4631697972703529
ACH-000510,-0.2793014766613772
ACH-000511,-0.4282474209370165
ACH-000512,-0.2835676970185859
ACH-000516,-0.44489261056395535
ACH-000517,-0.4288691344491263
ACH-000518,-0.27782309750334394
ACH-000520,-0.4429939382832864
ACH-000521,-0.29869980475298386
ACH-000522,-0.3850848132773287
ACH-000524,-0.3505212315087161
ACH-000527,-0.4604198366612631
ACH-000528,-0.5210846271298212
ACH-000537,-0.5095688207204058
ACH-000541,-0.3220887206135169
ACH-000542,-0.35048268838909025
ACH-000544,-0.3813894594278439
ACH-000545,-0.42500421274540506
ACH-000547,-0.5766329632795849
ACH-000548,-0.4729474681308328
ACH-000549,-0.37884114322758944
ACH-000550,-0.4374964374778615
ACH-000552,-0.4135501720269466
ACH-000556,-0.2410075606049897
ACH-000557,-0.36852431890897175
ACH-000569,-0.3280039693808767
ACH-000570,-0.4239521679094992
ACH-000571,-0.3196786043456091
ACH-000573,-0.32571048626101884
ACH-000576,-0.3871776707806484
ACH-000579,-0.44439443569655535
ACH-000580,-0.4131296132076822
ACH-000584,-0.4110065904070414
ACH-000585,-0.2343757991951825
ACH-000588,-0.2987146839861856
ACH-000589,-0.3622110931704017
ACH-000591,-0.5985588896970737
ACH-000593,-0.2595717536637629
ACH-000600,-0.4043449159864421
ACH-000601,-0.3748351524452032
ACH-000605,-0.3629805221446797
ACH-000606,-0.4787986298835691
ACH-000608,-0.27441773557569304
ACH-000614,-0.5269506418319594
ACH-000616,-0.4136367414965409
ACH-000618,-0.4822131586629993
ACH-000619,-0.540844923475726
ACH-000620,-0.40916162577276377
ACH-000621,-0.4330778106256121
ACH-000622,-0.3719567694741809
ACH-000623,-0.361164949401057
ACH-000624,-0.4202677383649454
ACH-000627,-0.5146994092020747
ACH-000630,-0.5421538457358529
ACH-000631,-0.2618133077787095
ACH-000632,-0.2528317160681234
ACH-000633,-0.5510463062902498
ACH-000637,-0.4067192882497673
ACH-000638,-0.38368427373945696
ACH-000646,-0.24120822871391626
ACH-000647,-0.3992849074656051
ACH-000648,-0.17152777630625704
ACH-000649,-0.3491589401364187
ACH-000651,-0.34353132932726765
ACH-000652,-0.2174789712845325
ACH-000653,-0.3844608213252729
