,SLC5A1 (6523)
ACH-000004,-0.1124780207064275
ACH-000005,-0.11594479004641385
ACH-000007,-0.18335920834669486
ACH-000009,-0.12037583559537153
ACH-000011,-0.09875131476373776
ACH-000012,-0.16942589296594646
ACH-000013,-0.1274776788458364
ACH-000014,-0.2195155129102092
ACH-000015,-0.23056602936075105
ACH-000017,0.006904443249334933
ACH-000018,-0.07208338731911205
ACH-000019,-0.014672955282088632
ACH-000021,-0.1438950923260254
ACH-000022,-0.1586747403830198
ACH-000025,-0.1265480681550584
ACH-000028,-0.28553320708249397
ACH-000030,-0.2336761260306719
ACH-000035,-0.2190978957690384
ACH-000036,-0.05400098581637462
ACH-000037,-0.1085660357687594
ACH-000039,-0.16227888335742702
ACH-000040,-0.02918641968086346
ACH-000041,-0.02793812156026469
ACH-000042,-0.1608255331036933
ACH-000045,-0.12807654693831866
ACH-000047,-0.07081268517334402
ACH-000052,-0.1976552638813956
ACH-000053,-0.25144401141508044
ACH-000054,-0.04379148338501256
ACH-000055,-0.0442371231915139
ACH-000060,-0.20477519074608344
ACH-000067,0.07365854354159268
ACH-000070,-0.1611571679178219
ACH-000075,-0.0615711881422891
ACH-000078,-0.30873063080271274
ACH-000082,-0.12858069147622492
ACH-000085,-0.04642723520456192
ACH-000086,0.07758072673847398
ACH-000087,-0.20125045294392624
ACH-000092,-0.2478604473461645
ACH-000095,-0.11939215892175598
ACH-000097,-0.17095024462780506
ACH-000098,-0.15096730108111758
ACH-000099,-0.2842490754507365
ACH-000108,-0.051568163215602536
ACH-000113,-0.12647317513283804
ACH-000116,-0.027317340795418674
ACH-000118,-0.15812256675171754
ACH-000120,-0.1486502056665077
ACH-000123,-0.14889532501169234
ACH-000127,-0.07028926681744138
ACH-000128,-0.11740189032031202
ACH-000132,-0.24533357469241984
ACH-000133,-0.15892461627074525
ACH-000137,-0.17092284543192893
ACH-000138,0.04921583003068801
ACH-000142,-0.033632084962043764
ACH-000143,-0.024376686145619948
ACH-000146,-0.20888102960229776
ACH-000148,-0.07399198299165717
ACH-000150,-0.16189177333050075
ACH-000152,-0.007269177510539203
ACH-000153,-0.1863502790302553
ACH-000159,-0.016776365202967432
ACH-000160,-0.10909784898487422
ACH-000163,-0.02100077599584022
ACH-000167,0.0747734423248169
ACH-000168,-0.2872220056523346
ACH-000169,-0.20951872819408174
ACH-000178,-0.1405582531032839
ACH-000183,-0.04137813955808905
ACH-000188,0.008873155268472838
ACH-000189,0.026458514911134184
ACH-000190,-0.21568482769418088
ACH-000198,-0.15356886421271596
ACH-000203,-0.2838853544028376
ACH-000204,0.00838542717729697
ACH-000206,-0.05268815988374583
ACH-000207,-0.03166736408765633
