,SKIV2L (6499)
ACH-000004,-0.2807462512466289
ACH-000005,-0.1333829589266858
ACH-000007,-0.11414968813061385
ACH-000009,-0.21615788765912267
ACH-000011,-0.17256011289809586
ACH-000012,-0.32001243239634986
ACH-000013,-0.17960431819394526
ACH-000014,-0.4178189892567363
ACH-000015,-0.06441945095188616
ACH-000017,-0.3238677400548916
ACH-000018,-0.2584142891780364
ACH-000019,-0.1392026370195056
ACH-000021,-0.11104673130802263
ACH-000022,-0.12082049104439375
ACH-000025,-0.24967540146863365
ACH-000028,-0.3861156888984867
ACH-000030,-0.11472003263717775
ACH-000035,-0.5630905690768019
ACH-000036,-0.1708367864574974
ACH-000037,-0.2347139790497598
ACH-000039,-0.08088468070348341
ACH-000040,-0.2020177858804406
ACH-000041,-0.0670374118133289
ACH-000042,-0.09642515382643237
ACH-000045,-0.3837825090941264
ACH-000047,-0.13535098679825364
ACH-000052,-0.3658337847527452
ACH-000053,-0.21476849577245904
ACH-000054,-0.15935872443167726
ACH-000055,-0.2477703061046616
ACH-000060,-0.19736769850037272
ACH-000067,-0.15997697101092773
ACH-000070,-0.23562433785761475
ACH-000075,-0.3365419085548748
ACH-000078,-0.1280238018468894
ACH-000082,-0.2351120012397921
ACH-000085,-0.2820214419978651
ACH-000086,-0.21077049028904868
ACH-000087,0.046658010373372825
ACH-000092,-0.16604390102240155
ACH-000095,-0.21085722177826216
ACH-000097,-0.2530974863416835
ACH-000098,-0.15472488325999895
ACH-000099,0.01976264438068349
ACH-000108,-0.31475738907663314
ACH-000113,-0.02562308156573573
ACH-000116,-0.2297572583704969
ACH-000118,-0.011021112101084724
ACH-000120,-0.19043196108363286
ACH-000123,-0.2418741806184873
ACH-000127,-0.16614847486121545
ACH-000128,-0.20625955673930027
ACH-000132,-0.2510018921131706
ACH-000133,-0.23037765109826336
ACH-000137,-0.1738265325347889
ACH-000138,-0.19082623709787072
ACH-000142,-0.14104687533293894
ACH-000143,-0.1678936868442773
ACH-000146,-0.16451717242806602
ACH-000148,-0.07597842809311724
ACH-000150,-0.02404784918374225
ACH-000152,-0.10647125939495053
ACH-000153,-0.2388807615108797
ACH-000159,-0.21979916286194232
ACH-000160,-0.2298987596050839
ACH-000163,-0.2539490054810459
ACH-000167,-0.4910049856212271
ACH-000168,-0.07122789356961587
ACH-000169,-0.27610738310723404
ACH-000178,-0.053582479481972686
ACH-000183,-0.00799053979876798
ACH-000188,-0.1987822513055208
ACH-000189,-0.16334534354069333
ACH-000190,-0.11812670155094247
ACH-000198,-0.14430285299523596
ACH-000203,0.3701791787824911
ACH-000204,-0.03024282445840552
ACH-000206,-0.1438151665908944
ACH-000207,-0.19729224831796574
ACH-000208,-0.15043484377289268
ACH-000210,-0.21837931573221603
ACH-000211,-0.21990496445222926
ACH-000215,-0.4679791768188925
ACH-000221,-0.05110493112806731
ACH-000222,-0.24922859442204176
ACH-000223,-0.28175925782964595
ACH-000226,-0.22938537927443894
ACH-000227,-0.21713021736884955
ACH-000228,-0.17108995351633602
ACH-000231,-0.25428172535302745
ACH-000232,-0.2736327865756358
ACH-000233,-0.3262244973210565
ACH-000234,-0.17160030130807016
ACH-000235,-0.23114961444731405
ACH-000237,-0.170329797746744
ACH-000238,-0.27280295276142064
ACH-000242,-0.13359123723678482
ACH-000243,-0.08894751418219471
ACH-000244,-0.27002520208094544
ACH-000246,-0.11849171454236508
ACH-000248,-0.29287591368874155
ACH-000250,-0.19473349629295952
ACH-000251,-0.04991479789145098
ACH-000252,-0.2574531176744952
ACH-000253,-0.1670697715976629
ACH-000255,-0.2470178731198735
ACH-000256,-0.08560088787554053
ACH-000257,-0.11405906196156125
ACH-000258,-0.15631492192207308
ACH-000259,-0.14895415060172687
ACH-000260,-0.6351756327288941
ACH-000261,-0.15574439714344426
ACH-000262,-0.5206008648492869
ACH-000263,-0.18487880631133566
ACH-000264,-0.3057956694536191
ACH-000265,-0.09932743222755623
ACH-000266,-0.1803889559936777
ACH-000272,-0.10424793724771944
ACH-000274,-0.16125715766323173
ACH-000277,-0.21184489068057613
ACH-000278,-0.21000723485739609
ACH-000279,-0.1605815190836576
ACH-000280,-0.09713762365955522
ACH-000281,-0.3095144530366781
ACH-000288,-0.1605605328943862
ACH-000291,-0.16329081831138553
ACH-000293,-0.20699271487864726
ACH-000294,-0.1360724858515161
ACH-000295,-0.14540622452350732
ACH-000296,-0.2131479329627408
ACH-000302,-0.2371027613418849
ACH-000304,-0.14064733332243395
ACH-000307,-0.2607755911408115
ACH-000308,-0.1887393505663673
