,ISG15 (9636)
ACH-000004,-0.01721609264382367
ACH-000005,-0.13107428838328075
ACH-000007,-0.15572284071233292
ACH-000009,-0.04529171514502757
ACH-000011,-0.10633894722143694
ACH-000012,-0.04982131768488688
ACH-000013,-0.047415494124772674
ACH-000014,-0.14003463223513346
ACH-000015,0.05234539891738403
ACH-000017,-0.08809401752310615
ACH-000018,-0.08451584203244378
ACH-000019,-0.0827685001434748
ACH-000021,-0.034900546875770135
ACH-000022,-0.09203967656110162
ACH-000025,-0.18731484361477915
ACH-000028,0.036419559385841814
ACH-000030,-0.030225186232213017
ACH-000035,-1.150592573668466
ACH-000036,-0.03608129735030622
ACH-000037,-0.11294412855431993
ACH-000039,-0.16947117168958276
ACH-000040,-0.17885437347502586
ACH-000041,0.02007871370364352
ACH-000042,-0.049638134604758785
ACH-000045,-0.1988429729733084
ACH-000047,-0.06831445737253783
ACH-000052,-0.16440029659048352
ACH-000053,-0.12138920849830635
ACH-000054,-0.09309746018880664
ACH-000055,-0.15594242299668476
ACH-000060,-0.24014640467742385
ACH-000067,-0.016411184617805375
ACH-000070,-0.10825531185199427
ACH-000075,0.0002869588840361156
ACH-000078,-0.0976139454011037
ACH-000082,-0.14035561586209094
ACH-000085,-0.11840781451527956
ACH-000086,-0.07390470614838504
ACH-000087,-0.1172613940935562
ACH-000092,-0.11753858375728292
ACH-000095,-0.08114441465270836
ACH-000097,-0.06590250669194064
ACH-000098,-0.017785191181025686
ACH-000099,-0.08652066992465858
ACH-000108,-0.21509314787944936
ACH-000113,-0.16631989671514272
ACH-000116,-0.005268797492643146
ACH-000118,-0.07103032885340521
ACH-000120,0.0029058139078588898
ACH-000123,-0.03696823033964757
ACH-000127,-0.04478635451731012
ACH-000128,-0.06836533121455071
ACH-000132,-0.007140950660377416
ACH-000133,-0.019751737335480985
ACH-000137,-0.05133845659397682
ACH-000138,-0.21539642994999034
ACH-000142,-0.04949981350628691
ACH-000143,-0.1383788128089805
ACH-000146,-0.16516673816552155
ACH-000148,-0.02120022424467713
ACH-000150,-0.41582482940311577
ACH-000152,0.10179125263062336
ACH-000153,-0.0758152890236951
ACH-000159,-0.09939786592840512
ACH-000160,0.039865957183067034
ACH-000163,-0.11817220220066905
ACH-000167,-0.4540754577491382
ACH-000168,-0.30254307095379235
ACH-000169,-0.05314045657470372
ACH-000178,-0.23133246171383726
ACH-000183,-0.1813804137535152
ACH-000188,-0.11026675926628228
ACH-000189,-0.08043362801631122
ACH-000190,0.19445604022597407
ACH-000198,-0.12132582001141418
ACH-000203,0.07989150890517346
