,REST (5978)
ACH-000004,-0.3361627554436196
ACH-000005,0.013891257087772184
ACH-000007,-0.12382344509043115
ACH-000009,-0.03277511027665397
ACH-000011,-0.19139852554755274
ACH-000012,0.05222856437269762
ACH-000013,-0.1654610380079295
ACH-000014,-0.1275502103008954
ACH-000015,-0.1669381977100022
ACH-000017,-0.11044619902447037
ACH-000018,-0.11649018235163346
ACH-000019,-0.003585774294831342
ACH-000021,-0.12569904927957626
ACH-000022,-0.0921806488464334
ACH-000025,-0.1583653640414814
ACH-000028,-0.12163612512582413
ACH-000030,-0.13284079525618234
ACH-000035,-0.4275493129512842
ACH-000036,0.05005863623131954
ACH-000037,-0.2276349511828845
ACH-000039,-0.02984075063215778
ACH-000040,-0.2661185970069485
ACH-000041,-0.1826071685701832
ACH-000042,-0.1375370150778166
ACH-000045,-0.05299174097783228
ACH-000047,-0.07555800330384325
ACH-000052,-0.2401049622004449
ACH-000053,-0.0215357352008165
ACH-000054,-0.20466895972299312
ACH-000055,-0.0681442797425597
ACH-000060,-0.16499418363178595
ACH-000067,-0.3227596850367393
ACH-000070,-0.322539336715538
ACH-000075,-0.0785288256640439
ACH-000078,-0.10743865019707564
ACH-000082,-0.12400167087566714
ACH-000085,-0.024039294238777868
ACH-000086,-0.030345220435216924
ACH-000087,-0.306053552182648
ACH-000092,-0.4283253761638193
ACH-000095,0.0189188593825234
ACH-000097,-0.1722260539186593
ACH-000098,-0.09828603837427048
ACH-000099,0.02760608109831488
ACH-000108,0.03645502735146621
ACH-000113,-0.28540125512625697
ACH-000116,-0.19434409474918016
ACH-000118,0.00730490895324229
ACH-000120,-0.33729106856633106
ACH-000123,-0.2321220626038886
ACH-000127,-0.052422208146612734
ACH-000128,-0.11173643343886312
ACH-000132,-0.20943480290981975
ACH-000133,-0.19032983010699744
ACH-000137,-0.2361894711276675
ACH-000138,0.02347077679577124
ACH-000142,-0.05343422650099322
ACH-000143,0.048779534465655916
ACH-000146,-0.13184733766080242
ACH-000148,-0.14712030105472293
ACH-000150,-0.08853586093776737
ACH-000152,-0.2723628214065044
ACH-000153,-0.18088070752221705
ACH-000159,0.009485639330071922
ACH-000160,0.09418166938688044
ACH-000163,-0.19580204000326085
ACH-000167,0.42141923471439374
ACH-000168,-0.1965389505924608
ACH-000169,-0.16840047495784036
ACH-000178,-0.11894437806524782
ACH-000183,0.08198751816327432
ACH-000188,-0.11151192361771738
ACH-000189,-0.12511255846115688
ACH-000190,0.02718668313989757
ACH-000198,-0.08147579339982969
ACH-000203,0.042984034061367034
ACH-000204,-0.00751129976003423
ACH-000206,-0.013784492960391354
ACH-000207,0.056819557313105375
ACH-000208,-0.1588167723542004
ACH-000210,0.12923186883767587
ACH-000211,-0.10059857568622356
ACH-000215,-0.15604438511157595
ACH-000221,-0.023497078094848942
ACH-000222,0.1822381449787684
ACH-000223,-0.16305863261074638
ACH-000226,-0.1884256208158636
ACH-000227,-0.032499420044000166
ACH-000228,-0.15432651776884893
ACH-000231,-0.2400487756484909
ACH-000232,-0.11194359245422006
ACH-000233,-0.07122066700090675
ACH-000234,-0.11152012123550108
ACH-000235,-0.005133833257426621
ACH-000237,-0.15599865090915305
