,PDGFRL (5157)
ACH-000004,-0.18402954676320546
ACH-000005,-0.11796797891234452
ACH-000007,-0.2135990193250983
ACH-000009,0.004976851634882328
ACH-000011,-0.09870285749671076
ACH-000012,-0.19575865944689874
ACH-000013,-0.2122996564785362
ACH-000014,-0.13543184375961712
ACH-000015,0.06400347067784046
ACH-000017,-0.12806437737447318
ACH-000018,0.12911553501159012
ACH-000019,-0.07893531280608641
ACH-000021,0.06404500585954283
ACH-000022,0.046800530848677815
ACH-000025,-0.11072893432286562
ACH-000028,-0.0874145800803969
ACH-000030,-0.04926140760977525
ACH-000035,-0.07447256497800837
ACH-000036,-0.1299240108092955
ACH-000037,-0.2631287882700834
ACH-000039,-0.024718842937813085
ACH-000040,-0.10587510536146734
ACH-000041,-0.15233483824585034
ACH-000042,-0.04201057087599228
ACH-000045,-0.01627413465132146
ACH-000047,-0.039697450896325225
ACH-000052,-0.1092901575650988
ACH-000053,-0.09401817945446986
ACH-000054,-0.055369437704027136
ACH-000055,-0.0826636819090465
ACH-000060,-0.14005053707189424
ACH-000067,-0.10200659217717603
ACH-000070,-0.11645254182622802
ACH-000075,-0.17612751968303425
ACH-000078,-0.27525584237068285
ACH-000082,-0.132422927461795
ACH-000085,-0.08461100677412256
ACH-000086,0.008714213811846939
ACH-000087,0.03795460998464728
ACH-000092,-0.06368480596240103
ACH-000095,-0.08475043650252173
ACH-000097,-0.14687823658237428
ACH-000098,-0.00758862613974729
ACH-000099,-0.16694992737790995
ACH-000108,0.00034989439402065677
ACH-000113,-0.14366937515319084
ACH-000116,-0.12744957357600567
ACH-000118,-0.02271575581093217
ACH-000120,-0.014851824457754754
ACH-000123,-0.022870467092591017
ACH-000127,-0.21149391203929027
ACH-000128,0.0993772515071962
ACH-000132,-0.09328937509613937
ACH-000133,-0.06512695150889078
ACH-000137,-0.013813344865896764
ACH-000138,-0.0775249743196817
ACH-000142,-0.1745338214953539
ACH-000143,-0.07002344843163036
ACH-000146,-0.017946936678497883
ACH-000148,-0.06614796422773121
ACH-000150,-0.1493202073625711
ACH-000152,-0.09789613432335167
ACH-000153,-0.5298021758972304
ACH-000159,0.02811153992108044
ACH-000160,0.015321631646671325
ACH-000163,-0.10926492956208672
ACH-000167,-0.16926292236061416
ACH-000168,-0.1054070594754446
ACH-000169,-0.008981820546200319
ACH-000178,-0.15203728063599653
ACH-000183,-0.08855563909050525
ACH-000188,-0.1315761617361087
ACH-000189,0.07312501868191916
ACH-000190,-0.059739075160689076
ACH-000198,-0.08937613261861106
ACH-000203,-0.6923155140459625
ACH-000204,-0.3165190920506952
ACH-000206,-0.041558887834138136
ACH-000207,0.12208493305557665
ACH-000208,-0.23671410903826204
ACH-000210,-0.10162052314390103
ACH-000211,-0.09207977584405568
ACH-000215,-0.11378491916619665
ACH-000221,0.0414675812001896
ACH-000222,-0.16381261762874855
