,MTHFD1 (4522)
ACH-000004,-0.6213279855831153
ACH-000005,-0.6582417503756041
ACH-000007,-0.3350312509352111
ACH-000009,-0.2618600244758688
ACH-000011,-0.3281792631225795
ACH-000012,0.11568287759909675
ACH-000013,0.007089419736472423
ACH-000014,-0.4370050439760279
ACH-000015,-0.15816879939683656
ACH-000017,-0.4099109505898729
ACH-000018,-0.045435956612923205
ACH-000019,-0.2354126697193105
ACH-000021,-0.03321851375759479
ACH-000022,-0.09743738299414327
ACH-000025,-0.2878655520244859
ACH-000028,-0.3192341975316965
ACH-000030,-0.667450172590461
ACH-000035,-0.20504726200507845
ACH-000036,0.06512549602031806
ACH-000037,-0.1660119427860626
ACH-000039,-0.03013367892472975
ACH-000040,-0.21890323473564854
ACH-000041,-0.2331811050231529
ACH-000042,-0.2762590233368933
ACH-000045,-0.3216496042478119
ACH-000047,-0.3980101591134691
ACH-000052,-0.10283894351539982
ACH-000053,-0.5310741116020559
ACH-000054,-0.023405944033239454
ACH-000055,0.10222821734404136
ACH-000060,-0.006394734459060924
ACH-000067,-0.05645362256865834
ACH-000070,-0.4916462446723785
ACH-000075,-0.08422171613475705
ACH-000078,-0.041506114312339734
ACH-000082,-0.1034864156702614
ACH-000085,0.13448841751656654
ACH-000086,0.1707950476316996
ACH-000087,-0.2516686093723329
ACH-000092,-0.1062278917997578
ACH-000095,0.09464884577359343
ACH-000097,-0.23426233369891816
ACH-000098,-0.06543115874174532
ACH-000099,-0.11787588722952085
ACH-000108,-0.4608358491669201
ACH-000113,0.3776609507005296
ACH-000116,0.003751042922699897
ACH-000118,0.10509168467820497
ACH-000120,0.0999093510003244
ACH-000123,-0.04693759472112174
ACH-000127,-0.3793822316538778
ACH-000128,-0.2343987048352932
ACH-000132,-0.01567337368298924
ACH-000133,0.0909807606397954
ACH-000137,-0.13200903668979852
ACH-000138,-0.23410812854023674
ACH-000142,-0.10841428063777292
ACH-000143,0.013103251005161172
ACH-000146,-0.4927121122994211
ACH-000148,-0.13228714557659396
ACH-000150,0.14863608327975192
ACH-000152,-0.0593552050145929
ACH-000153,-0.2752075779275151
ACH-000159,-0.5067073231035165
ACH-000160,-0.08489539111851492
ACH-000163,-0.1264267561943144
ACH-000167,-0.49094733396136003
ACH-000168,-0.4031296240060351
ACH-000169,-0.03920865585895512
ACH-000178,-0.2618284145986765
ACH-000183,-0.5278993670486423
ACH-000188,0.110335245150068
ACH-000189,-0.031248235402933783
ACH-000190,-0.08757183690277448
ACH-000198,-0.5133638270898578
ACH-000203,0.04748946421420624
ACH-000204,-0.2760091658330177
ACH-000206,-0.4027847531203441
ACH-000207,-0.3532627137916099
ACH-000208,-0.3912856848227532
ACH-000210,-0.02368893421003169
ACH-000211,-0.15230346464693922
ACH-000215,-0.007611671858174546
ACH-000221,0.1280128195739267
ACH-000222,-0.5026155387445902
ACH-000223,-0.26314912970740995
ACH-000226,-0.4269341989003136
ACH-000227,-0.19075280827919047
ACH-000228,-0.01959954175739684
ACH-000231,-0.03933473544152676
ACH-000232,0.1148172628159502
ACH-000233,-0.5333199786842046
ACH-000234,-0.19809278242282968
ACH-000235,-0.4824788181583855
ACH-000237,-0.04030094370376151
ACH-000238,-0.12562776591763153
ACH-000242,0.11105130450938144
ACH-000243,-0.1971633524096987
ACH-000244,-0.07759683877610198
ACH-000246,0.05195123675583264
ACH-000248,-0.2902827157055058
ACH-000250,-0.14139114584197587
ACH-000251,-0.14927116946385513
ACH-000252,-0.20151749541196867
ACH-000253,-0.487588654577908
ACH-000255,-0.017166765897258032
