,PAPPA (5069)
ACH-000004,-0.15076013507633282
ACH-000005,-0.22385981386310536
ACH-000007,-0.26059250413686835
ACH-000009,-0.2122977632410389
ACH-000011,-0.14552635041780695
ACH-000012,-0.21532602027799214
ACH-000013,-0.11439866131571165
ACH-000014,-0.02600415756767948
ACH-000015,-0.3331098847101793
ACH-000017,-0.04366667811667356
ACH-000018,-0.17834547295428388
ACH-000019,-0.02625992016835299
ACH-000021,-0.14352623135315634
ACH-000022,-0.11776430616104147
ACH-000025,-0.12435078128926814
ACH-000028,-0.05677283515748725
ACH-000030,-0.06489645118318206
ACH-000035,-0.18234041529033596
ACH-000036,-0.04545853530568599
ACH-000037,-0.12844697154348345
ACH-000039,-0.26097273177538033
ACH-000040,-0.3204191000863463
ACH-000041,-0.2042672911248881
ACH-000042,-0.28400878394770995
ACH-000045,-0.10966544446023806
ACH-000047,-0.1692702426606649
ACH-000052,-0.2016864280821944
ACH-000053,-0.13530013671953134
ACH-000054,-0.1377892039579285
ACH-000055,-0.034680225722996165
ACH-000060,-0.17405256946350833
ACH-000067,-0.05120995725718491
ACH-000070,-0.2307642451617847
ACH-000075,0.025856453022341654
ACH-000078,-0.0555370011558212
ACH-000082,-0.11188305596655547
ACH-000085,-0.11006267439693036
ACH-000086,-0.1705864241894648
ACH-000087,-0.13008427901407973
ACH-000092,-0.07068696116974828
ACH-000095,-0.0760734212165214
ACH-000097,-0.12952029582316638
ACH-000098,-0.06835299441590233
ACH-000099,-0.1068926827319647
ACH-000108,-0.2844204591015861
ACH-000113,-0.038482696396013816
ACH-000116,-0.0984424166454366
ACH-000118,-0.2728039981946856
ACH-000120,-0.0811356441579748
ACH-000123,-0.04174737984483454
ACH-000127,-0.1804417997633473
ACH-000128,-0.26739379411708475
ACH-000132,-0.10324292582868932
ACH-000133,-0.12890669158810564
ACH-000137,0.07474636385869048
ACH-000138,-0.18182790824213052
ACH-000142,0.013264391098926515
ACH-000143,-0.16500839252948904
ACH-000146,-0.041824868011441065
ACH-000148,-0.0992842182946761
