,COX4I2 (84701)
ACH-000004,-0.2495694597565596
ACH-000005,-0.1533755443056019
ACH-000007,-0.28573609480935186
ACH-000009,0.02300114861449258
ACH-000011,-0.14690476603986702
ACH-000012,-0.13130781590367407
ACH-000013,-0.0872462914279956
ACH-000014,-0.16966267431909648
ACH-000015,-0.09759367011417404
ACH-000017,0.20752694331994267
ACH-000018,-0.2811648097638965
ACH-000019,-0.2279989077044659
ACH-000021,-0.2765407390857979
ACH-000022,0.032257876079901535
ACH-000025,-0.1173598948081651
ACH-000028,-0.32521917190424576
ACH-000030,-0.23416578507196634
ACH-000035,0.002327746949534352
ACH-000036,-0.3550389408322378
ACH-000037,-0.08282115939739408
ACH-000039,-0.13435873069869714
ACH-000040,-0.03949224777577996
ACH-000041,-0.11651331240483367
ACH-000042,-0.24615826078480915
ACH-000045,0.05430535061826509
ACH-000047,-0.20425174630587625
ACH-000052,-0.00937453540717199
ACH-000053,-0.1202765659748435
ACH-000054,-0.22162946972662972
ACH-000055,-0.2941802684586058
ACH-000060,-0.5055277709269738
ACH-000067,-0.4078171081084241
ACH-000070,-0.27760117418104896
ACH-000075,-0.15002953110664952
ACH-000078,-0.2707230697585443
ACH-000082,-0.2899397906525324
ACH-000085,-0.3085808160941167
ACH-000086,-0.12119367003607727
ACH-000087,-0.3396654126683028
ACH-000092,-0.2469025618460505
ACH-000095,-0.15612605341405686
ACH-000097,-0.12324248649167385
ACH-000098,-0.15164440723269487
ACH-000099,-0.2294954434228438
ACH-000108,-0.3156781650992358
ACH-000113,-0.15887578047248652
ACH-000116,-0.2620685709656211
ACH-000118,-0.1912386340867987
ACH-000120,-0.06207806351330716
ACH-000123,-0.0921113208362137
ACH-000127,-0.036863154150844055
ACH-000128,-0.3320803831789772
ACH-000132,-0.03821769721958487
ACH-000133,-0.32590956883207
ACH-000137,0.010715390756434745
ACH-000138,-0.1823944071979015
ACH-000142,-0.14523411734917102
ACH-000143,-0.041744589411728115
ACH-000146,0.04588653027310023
ACH-000148,-0.15416645804193468
ACH-000150,-0.14918325765642415
ACH-000152,-0.3264442752632737
ACH-000153,-0.06938216435874311
ACH-000159,-0.160983908693381
ACH-000160,-0.049218618821041296
ACH-000163,-0.23419680531632814
ACH-000167,0.4126214865603672
ACH-000168,0.09877905127335054
ACH-000169,-0.23852863271392905
ACH-000178,-0.03250000076805973
ACH-000183,-0.10221176680081004
ACH-000188,-0.2358789675672143
ACH-000189,-0.04094390651128302
ACH-000190,-0.24800997599538854
ACH-000198,-0.08437904623064621
ACH-000203,-0.3622371243119504
ACH-000204,-0.30567431689536245
ACH-000206,-0.17406874418120735
ACH-000207,-0.01468714560658608
ACH-000208,0.030146004111538643
ACH-000210,0.030555825476362486
ACH-000211,-0.16951487097265971
ACH-000215,-0.10745539651706762
ACH-000221,0.012733895717769773
ACH-000222,-0.25727684485762153
ACH-000223,-0.0936045525892834
ACH-000226,-0.3173938654770677
ACH-000227,-0.11126127126608894
ACH-000228,-0.33402048326760664
ACH-000231,-0.2346918602893169
