,RANBP10 (57610)
ACH-000004,-0.22311436501410634
ACH-000005,-0.6391224154255177
ACH-000007,-0.18810072662276173
ACH-000009,-0.2244144621211561
ACH-000011,-0.2069121092713043
ACH-000012,-0.3515999479235236
ACH-000013,-0.3984239005031482
ACH-000014,-0.10710536590576086
ACH-000015,-0.1357133972080646
ACH-000017,-0.036391586311821315
ACH-000018,-0.3154850350507736
ACH-000019,-0.1772844103458214
ACH-000021,-0.11201896620958307
ACH-000022,-0.14071551716216787
ACH-000025,-0.2779762377599064
ACH-000028,-0.12078795708218255
ACH-000030,-0.21743744136096704
ACH-000035,-0.051602118023594254
ACH-000036,-0.1745876567848909
ACH-000037,-0.3608717280283672
ACH-000039,-0.2911867251165386
ACH-000040,-0.2147035394727081
ACH-000041,-0.033487511980256075
ACH-000042,-0.2137813611073044
ACH-000045,-0.12812693104048492
ACH-000047,-0.1866546741136494
ACH-000052,-0.2154697903815432
ACH-000053,-0.1367759374449136
ACH-000054,-0.2461540253718861
ACH-000055,-0.11210704166864556
ACH-000060,-0.09630093522854448
ACH-000067,-0.09165491352676916
ACH-000070,-0.17408045319736498
ACH-000075,-0.23004947003727105
ACH-000078,-0.32985863247202674
ACH-000082,-0.2307598626834231
ACH-000085,-0.4684111052784773
ACH-000086,-0.24467982380693026
ACH-000087,-0.05292555126136757
ACH-000092,-0.21195693758975412
ACH-000095,-0.24891984615194845
ACH-000097,-0.19729741729932698
ACH-000098,-0.2213046503446795
ACH-000099,-0.1902876411394237
ACH-000108,-0.17289736143163595
ACH-000113,-0.16488488008507884
ACH-000116,-0.2101990698193412
ACH-000118,-0.42482434717959
ACH-000120,-0.16477010552713575
ACH-000123,-0.09951871148438796
ACH-000127,-0.25872921111175345
ACH-000128,-0.08278079506137549
ACH-000132,-0.1741182298094507
ACH-000133,-0.29228316490545186
ACH-000137,-0.16032403381193952
ACH-000138,-0.18202080286001351
ACH-000142,-0.2578479709714506
ACH-000143,-0.17862923234311098
ACH-000146,-0.2270388562188468
ACH-000148,-0.1790477238981836
ACH-000150,-0.20512333290493676
ACH-000152,-0.1952554371422449
ACH-000153,-0.17502630346372605
ACH-000159,-0.2548507716406984
ACH-000160,-0.18372973559918804
ACH-000163,-0.18094831184676846
ACH-000167,-0.4190686872615606
ACH-000168,-0.3925895114905765
ACH-000169,-0.19277417127281152
ACH-000178,-0.262084000900918
ACH-000183,-0.31449171422242883
ACH-000188,-0.13754212781696465
ACH-000189,-0.2846597657034932
ACH-000190,-0.20948627929429248
ACH-000198,-0.1715305353237446
ACH-000203,-0.15026485068412293
ACH-000204,-0.3028654440574288
ACH-000206,-0.2823062189169919
ACH-000207,-0.14450575872297008
ACH-000208,-0.5151639801012691
ACH-000210,0.08549705000915088
ACH-000211,-0.2684452951039669
ACH-000215,-0.2598194024910345
ACH-000221,-0.07321942359027712
ACH-000222,-0.3157669822356801
ACH-000223,-0.2132339889548149
ACH-000226,-0.21015599106914348
ACH-000227,-0.04279155541891815
ACH-000228,-0.2804411851622236
ACH-000231,-0.16972790990307465
ACH-000232,-0.2537189890969516
ACH-000233,-0.22675074307388396
ACH-000234,-0.16942258378798905
ACH-000235,-0.30064825324276523
ACH-000237,-0.3664356307971554
ACH-000238,-0.2458153554983573
ACH-000242,-0.6527130116427341
ACH-000243,-0.24863300316708745
ACH-000244,0.02250201627644661
ACH-000246,-0.2714458900520244
ACH-000248,-0.11053698529479256
ACH-000250,-0.2502912419982264
ACH-000251,-0.31552632013079307
ACH-000252,-0.1695880033178833
ACH-000253,-0.131899978380658
ACH-000255,-0.08413419546565247
ACH-000256,-0.10828316099375912
ACH-000257,-0.0686218587048654
ACH-000258,-0.2782031142981725
ACH-000259,-0.2606922947624858
ACH-000260,-0.15348935997937366
ACH-000261,-0.2253481561414513
ACH-000262,-0.391685717946518
ACH-000263,-0.28513914857435624
ACH-000264,-0.18125182669443385
ACH-000265,-0.15211788321705966
ACH-000266,-0.20329531678294432
ACH-000272,-0.2075293970747424
ACH-000274,-0.16489847190737214
ACH-000277,-0.06309781302845066
ACH-000278,-0.3980048388639881
ACH-000279,-0.1885752527104544
ACH-000280,-0.2497785784081521
ACH-000281,-0.4035510603865774
ACH-000288,-0.2232083012170144
ACH-000291,-0.24813452295885505
ACH-000293,-0.36046323338802
ACH-000294,-0.1270403892937161
ACH-000295,-0.3251660675806054
ACH-000296,-0.09425561760313353
ACH-000302,-0.21086530175013274
ACH-000304,-0.36228874362543695
ACH-000307,-0.3599245833620738
ACH-000308,-0.1536882801941411
ACH-000310,-0.2532471597284677
ACH-000311,-0.09416945099342547
ACH-000312,-0.2606184253609665
ACH-000315,-0.1629371884631442
ACH-000316,-0.3129465226203463
ACH-000317,-0.4666789295618748
ACH-000318,-0.11057351376337204
ACH-000319,-0.0985033876980176
ACH-000320,-0.3317763405009556
ACH-000322,-0.07362185429208272
ACH-000323,-0.006558790220010504
ACH-000324,-0.2685132686368215
ACH-000329,-0.14583292576058113
ACH-000330,-0.09573724014444153
ACH-000331,-0.2739545957885933
ACH-000332,-0.2601221081739162
ACH-000334,-0.11250818853204528
ACH-000335,-0.2809364525976425
ACH-000336,-0.4671436516840361
ACH-000337,-0.0981349223514149
ACH-000338,-0.3339451646910289
ACH-000339,-0.23081276562487305
ACH-000341,-0.14563816693236187
ACH-000348,-0.2237654836067106
ACH-000350,-0.2397941014349704
ACH-000352,-0.2033621879766592
ACH-000356,0.04393823615668215
ACH-000361,-0.23679837317758254
ACH-000362,-0.2401636001518597
ACH-000363,-0.23444400975568644
ACH-000364,-0.06271391341776128
ACH-000365,-0.21078004227957653
ACH-000366,-0.16688759687416752
ACH-000368,-0.2286369615412551
ACH-000374,-0.15285628504539414
ACH-000375,-0.23924893509600306
ACH-000376,-0.13037265897631187
ACH-000381,-0.2663721658519057
ACH-000383,-0.18753238453142795
ACH-000387,-0.2449935391031105
ACH-000389,-0.2072610774941977
ACH-000390,-0.2339840794317895
ACH-000393,-0.2946629252261389
ACH-000395,-0.1349119569531648
ACH-000396,-0.13427214830622852
ACH-000397,-0.4895349708160912
ACH-000401,-0.30149136587731146
ACH-000402,0.03921422608530923
ACH-000403,-0.2144260714802757
ACH-000404,-0.07071485002879646
ACH-000406,-0.17631673087182112
ACH-000407,-0.17726180164071598
ACH-000408,-0.2252174875294756
ACH-000410,-0.2384713258534626
ACH-000411,-0.22338784478233895
ACH-000414,-0.24424518409726886
ACH-000415,-0.06835542784017429
ACH-000416,-0.4198178482122953
ACH-000420,-0.4257411424830356
ACH-000421,-0.15530242999204158
ACH-000424,-0.11228544127540098
ACH-000425,-0.12815493103473033
ACH-000426,-0.1831983477298087
ACH-000427,-0.40081169332745054
ACH-000433,-0.3133166920159881
ACH-000435,-0.1432720079407268
ACH-000436,-0.13819903262722774
ACH-000444,-0.14572842455393256
ACH-000445,0.01576578656074616
ACH-000448,-0.14571362225618548
ACH-000450,-0.17781076903653414
ACH-000452,-0.3083672315506209
ACH-000454,-0.4342532682409739
ACH-000458,-0.07013895893361898
ACH-000459,-0.18051874380774632
