,QRFPR (84109)
ACH-000004,-0.07580674196495311
ACH-000005,0.10875670861997537
ACH-000007,-0.2279667618600305
ACH-000009,-0.020607085698567486
ACH-000011,0.0612217562770913
ACH-000012,-0.011725581865815349
ACH-000013,0.03747480602874938
ACH-000014,-0.2977029677965354
ACH-000015,-0.014184575902699484
ACH-000017,0.03313455974794094
ACH-000018,-0.2022641814562825
ACH-000019,-0.1638794376200098
ACH-000021,-0.005900236929156647
ACH-000022,-0.12005563403543748
ACH-000025,0.0669347757121646
ACH-000028,0.03254026352083126
ACH-000030,-0.09588289754408344
ACH-000035,0.03834481835124932
ACH-000036,-0.12207250572165668
ACH-000037,-0.03132441832330035
ACH-000039,0.015620951261752744
ACH-000040,-0.07375950692091239
ACH-000041,-0.3162732617867889
ACH-000042,0.020197375763648568
ACH-000045,0.0005569787363184357
ACH-000047,-0.037777290102009364
ACH-000052,-0.08187317855718675
ACH-000053,-0.1144181648092928
ACH-000054,-0.005917918868656223
ACH-000055,-0.05480932262118722
ACH-000060,-0.12738059291880185
ACH-000067,-0.18144276097845144
ACH-000070,-0.003144460149119564
ACH-000075,-0.22888069762848184
ACH-000078,0.06878985275456398
ACH-000082,-0.05203006702607845
ACH-000085,0.07477229262807501
ACH-000086,-0.0827626816707033
ACH-000087,0.033295076404276244
ACH-000092,-0.1416457052219425
ACH-000095,-0.08779732881820575
ACH-000097,-0.003000668104751369
ACH-000098,-0.14513132438484552
ACH-000099,0.11949673492492345
ACH-000108,-0.1909271934135536
ACH-000113,-0.03314120554855005
ACH-000116,-0.07078095171590351
ACH-000118,-0.06721504501858648
ACH-000120,-0.1558888395063982
ACH-000123,-0.2070802417944038
ACH-000127,-0.16149858373491574
ACH-000128,-0.09474258170115073
ACH-000132,-0.22977159700828634
ACH-000133,-0.17228860586637304
ACH-000137,-0.07653651621881752
ACH-000138,-0.052630290827899065
ACH-000142,-0.05722657243384269
ACH-000143,0.05069420952614085
ACH-000146,-0.13237167110949888
ACH-000148,-0.08836277321938517
ACH-000150,-0.08803859469219555
ACH-000152,0.037095917711605454
ACH-000153,0.013230997585121723
ACH-000159,0.01155864816699058
ACH-000160,-0.10936284105511654
ACH-000163,-0.22306222918167604
ACH-000167,-0.3051007563843818
ACH-000168,-0.13164527218638392
ACH-000169,-0.03403816855254538
ACH-000178,-0.15440275216030053
ACH-000183,-0.0561983630694742
ACH-000188,-0.06332205903605392
ACH-000189,-0.029371323439043133
ACH-000190,0.0028355551466748177
ACH-000198,-0.05047554563705666
ACH-000203,0.37263525538623815
ACH-000204,-0.15788789108960327
ACH-000206,-0.2434859157231415
ACH-000207,0.04813710950480173
ACH-000208,-0.02526241557131358
ACH-000210,0.21234498897247114
ACH-000211,-0.08111221021421876
ACH-000215,-0.08803939677737528
ACH-000221,0.073360637753913
ACH-000222,-0.14930140737594672
ACH-000223,-0.03894278868362863
ACH-000226,-0.0655318820074057
ACH-000227,-0.014945155208609588
ACH-000228,-0.17572988651798527
ACH-000231,-0.05793839133045961
ACH-000232,-0.05802090792896681
ACH-000233,0.01804634976274431
ACH-000234,-0.08115385039208999
ACH-000235,-0.09733099195459714
ACH-000237,-0.13095410683074235
ACH-000238,-0.012689618800472756
ACH-000242,-0.23769859577721564
ACH-000243,-0.08990414488465179
ACH-000244,-0.008228436795267725
ACH-000246,0.04391340739469117
ACH-000248,0.06761553942799775
ACH-000250,-0.08429003083568394
ACH-000251,0.0762087489179424
ACH-000252,0.003055403625289081
ACH-000253,-0.07595991546235686
ACH-000255,-0.08916595568559695
ACH-000256,0.06032141165046024
ACH-000257,0.02681455838035401
ACH-000258,-0.08158067360697477
ACH-000259,0.018336048104413333
ACH-000260,-0.08258539938305935
ACH-000261,-0.0553770573267366
ACH-000262,-0.26363761864864216
ACH-000263,-0.22632508732530401
ACH-000264,-0.06341875781788217
ACH-000265,-0.1320925239945989
ACH-000266,-0.08229022226391464
ACH-000272,-0.15577593953757432
ACH-000274,-0.18520117440948186
ACH-000277,-0.006474868866679249
ACH-000278,-0.015480565338896113
ACH-000279,-0.0489242337122474
ACH-000280,0.0806963442125495
ACH-000281,-0.1014897772194223
ACH-000288,-0.08846844197051361
ACH-000291,0.06669278658827467
ACH-000293,-0.005426894651655652
ACH-000294,0.009900190131528994
ACH-000295,-0.15668589474241806
ACH-000296,-0.003165676078265144
ACH-000302,-0.1005073303260432
ACH-000304,-0.2893789272044931
ACH-000307,-0.12486255465316548
ACH-000308,-0.06006734772906727
ACH-000310,-0.0335225731550268
ACH-000311,-0.08907077352595004
ACH-000312,0.0003539689037261773
ACH-000315,-0.051417439323205215
ACH-000316,-0.17327062837231955
ACH-000317,-0.053310007768983605
ACH-000318,-0.21312952423187545
ACH-000319,-0.14924883805592046
ACH-000320,0.14514505421041665
ACH-000322,-0.007005797231565527
ACH-000323,-0.25303046911962057
ACH-000324,-0.09794863163793227
ACH-000329,-0.08018435256190695
ACH-000330,-0.029850724980439426
ACH-000331,-0.021713596500281058
ACH-000332,0.01123801717882926
ACH-000334,0.05809033503587241
ACH-000335,-0.1072647149119714
ACH-000336,0.07529180872068353
ACH-000337,-0.1616104358395918
ACH-000338,-0.01797528092778307
ACH-000339,-0.053863314533588856
ACH-000341,0.14825816220121266
ACH-000348,-0.0019955270679894244
ACH-000350,-0.18175989888903105
ACH-000352,-0.03631874836168642
ACH-000356,0.16831592303898354
ACH-000361,-0.15032610322519868
ACH-000362,0.07082743202383103
ACH-000363,-0.09919050894025434
ACH-000364,-0.19367804086325924
ACH-000365,-0.1555967289702828
ACH-000366,-0.06134389403106048
ACH-000368,0.11329096216269148
ACH-000374,-0.08968739902863201
ACH-000375,-0.008718277770020206
ACH-000376,-0.110224994950343
ACH-000381,-0.10385066063301657
ACH-000383,-0.054930261461246084
ACH-000387,-0.1707158415686134
ACH-000389,0.10184391842372892
ACH-000390,-0.028582833340202195
ACH-000393,-0.03165778176247155
ACH-000395,0.04869538390533173
ACH-000396,0.09903267671232042
ACH-000397,-0.09250957672552658
ACH-000401,-0.1427714540629896
ACH-000402,0.07165210923901777
ACH-000403,-0.09329960102061996
ACH-000404,-0.045911299357057705
ACH-000406,-0.018034372382108824
ACH-000407,-0.0695671518567454
ACH-000408,0.005302516207690118
ACH-000410,-0.041915901697710034
ACH-000411,0.01813733447393757
ACH-000414,-0.009579893326206084
ACH-000415,-0.07495624150894109
ACH-000416,-0.07740584002981955
ACH-000420,-0.1874121102311493
ACH-000421,-0.11608945157599655
ACH-000424,-0.16057709388723473
ACH-000425,-0.08140206233811803
ACH-000426,0.07092696522194189
ACH-000427,-0.2474257365150048
ACH-000433,-0.2548649837241249
ACH-000435,0.12690311770225288
ACH-000436,-0.019520106875109928
ACH-000444,-0.008706349424331409
ACH-000445,-0.10674438070997412
ACH-000448,-0.05236360730806605
ACH-000450,-0.2427876026814701
ACH-000452,-0.00697160130902997
ACH-000454,-0.0925226507003706
ACH-000458,-0.1205456378255874
ACH-000459,-0.12928433481660578
ACH-000460,-0.03607766735575639
ACH-000461,-0.17590969464088532
ACH-000463,0.08800607463822054
