,MAP7D1 (55700)
ACH-000004,-0.09241037882246893
ACH-000005,-0.2515739741132708
ACH-000007,0.011899541903490185
ACH-000009,-0.0618942867631407
ACH-000011,0.058386962626734526
ACH-000012,-0.09211891561607707
ACH-000013,-0.17145840036992613
ACH-000014,0.08482970288630765
ACH-000015,-0.0712284659963995
ACH-000017,0.11769207807837764
ACH-000018,-0.06327228988829589
ACH-000019,-0.1895241132862811
ACH-000021,0.0072861600932063566
ACH-000022,-0.13839335613078144
ACH-000025,-0.027220035778807796
ACH-000028,-0.025914882127819845
ACH-000030,0.14344245355079446
ACH-000035,-0.2595868724940147
ACH-000036,-0.07772208858310029
ACH-000037,-0.17018579526746805
ACH-000039,-0.05387155869781673
ACH-000040,-0.28002234219944794
ACH-000041,-0.05205578557526617
ACH-000042,-0.08388151790005254
ACH-000045,0.04294514929466299
ACH-000047,-0.12752390545433614
ACH-000052,-0.11663976058799805
ACH-000053,-0.12098559385274585
ACH-000054,-0.09899949599503577
ACH-000055,0.1394356953645546
ACH-000060,0.010252942595415598
ACH-000067,0.05877358169827165
ACH-000070,0.2091968719348997
ACH-000075,-0.3701199683123323
ACH-000078,0.06154319953012756
ACH-000082,-0.07607030938679972
ACH-000085,-0.0178557669958061
ACH-000086,-0.0479974895003151
ACH-000087,-0.0642770391179284
ACH-000092,-0.3051440946458288
ACH-000095,-0.1599643598520611
ACH-000097,-0.00813701764143313
ACH-000098,0.08422273621641667
ACH-000099,-0.04053785898348704
ACH-000108,-0.044933384004959054
ACH-000113,-0.05276497276317205
ACH-000116,-0.07405355808421345
ACH-000118,0.03682825320190468
ACH-000120,0.0013881916989590631
ACH-000123,0.11534897990382298
ACH-000127,-0.13772192098843036
ACH-000128,-0.14141392737612318
ACH-000132,-0.07895406794662242
ACH-000133,-0.1159194544904107
ACH-000137,-0.028473350963532783
ACH-000138,0.10759292254420458
ACH-000142,-0.11950538128284938
ACH-000143,-0.10645081446603853
ACH-000146,-0.06358327626603771
ACH-000148,-0.01160744638298295
ACH-000150,-0.3404526818413697
ACH-000152,-0.08930905846432728
ACH-000153,-0.08506144830193782
ACH-000159,0.06630724243576375
ACH-000160,-0.1363175392421046
ACH-000163,-0.08524883918974112
ACH-000167,-0.01372344039006405
ACH-000168,-0.16875715958432244
ACH-000169,-0.14969934812658325
ACH-000178,-0.10876007759886423
ACH-000183,-0.10653670345718144
ACH-000188,0.10971148861254322
ACH-000189,-0.010507657377650229
ACH-000190,-0.09784169216439807
