,RASGEF1C (255426)
ACH-000004,0.00255220266571107
ACH-000005,-0.058409376059891625
ACH-000007,-0.06284048792965083
ACH-000009,-0.01391693503946249
ACH-000011,-0.058649714090899
ACH-000012,-0.046785153683838863
ACH-000013,0.02071836970821256
ACH-000014,0.030671528253453262
ACH-000015,-0.12318937932327055
ACH-000017,0.016824489566322917
ACH-000018,0.22787111273612734
ACH-000019,-0.04889489686994871
ACH-000021,-0.01903294551133954
ACH-000022,-0.12385343788189475
ACH-000025,-0.0005950880260487657
ACH-000028,0.037707364153354135
ACH-000030,-0.00798593361219451
ACH-000035,-0.07228418334343997
ACH-000036,-0.09932135374207272
ACH-000037,0.0014553695881350235
ACH-000039,-0.11912180639068612
ACH-000040,0.046870242239456406
ACH-000041,-0.01454267488455665
ACH-000042,-0.06619292754643577
ACH-000045,0.04339732803886512
ACH-000047,-0.0057085400420106396
ACH-000052,0.001759981985807791
ACH-000053,-0.05152133044644566
ACH-000054,-0.04403923479292285
ACH-000055,-0.09785618881263723
ACH-000060,-0.05133074028567676
ACH-000067,0.13134043752577373
ACH-000070,-0.03893741474358278
ACH-000075,-0.06737911239247811
ACH-000078,-0.013898439459645829
ACH-000082,-0.002826625543698159
ACH-000085,-0.104720569587911
ACH-000086,-0.052762607453370296
ACH-000087,-0.0287149608432023
ACH-000092,-0.02998533167875755
ACH-000095,-0.11361039624041393
ACH-000097,0.028166165303038105
ACH-000098,-0.025875255889110882
ACH-000099,-0.16066693648054362
ACH-000108,-0.03613672878556005
ACH-000113,0.004061895813754041
ACH-000116,0.06844367044667743
ACH-000118,0.2008724167375952
ACH-000120,-0.1241263878230282
ACH-000123,-0.029925759773059574
ACH-000127,0.04337504785767854
ACH-000128,0.023806157841949744
ACH-000132,-0.00615785455912673
ACH-000133,-0.00954351178415674
ACH-000137,0.0983047183290801
ACH-000138,0.016378463874217222
ACH-000142,0.007425720550004795
ACH-000143,-0.09591224409529976
ACH-000146,0.0003758316126639205
ACH-000148,-0.025150497918131447
ACH-000150,-0.14714182152312144
ACH-000152,0.016176832372724794
ACH-000153,-0.052800617087458035
ACH-000159,-0.08693877455640005
ACH-000160,0.09693348387946532
ACH-000163,-0.08263653286651709
ACH-000167,-0.024311689393898432
ACH-000168,-0.06984506788370312
ACH-000169,-0.03706614050652704
ACH-000178,-0.05076059574422097
ACH-000183,-0.11104473284017148
ACH-000188,0.07033313569053352
ACH-000189,0.14151233124651466
ACH-000190,-0.1507112704862174
ACH-000198,-0.052341850141231744
ACH-000203,-0.2327414342616701
ACH-000204,0.16646830658719294
ACH-000206,0.1663437440171258
ACH-000207,-0.033214284051081094
ACH-000208,0.030313710892323976
ACH-000210,-0.002756816235700934
ACH-000211,-0.03941565257951933
ACH-000215,0.043644201759264235
ACH-000221,0.04655567970857444
ACH-000222,0.04954570046872857
ACH-000223,-0.022723638947689362
ACH-000226,0.013680834056570905
ACH-000227,0.004610269444925165
ACH-000228,0.11532119694151373
ACH-000231,-0.0033986954906039283
ACH-000232,-0.1425739134291932
ACH-000233,-0.17839775021911056
ACH-000234,-0.1276742613026863
ACH-000235,0.019625787598786783
ACH-000237,-0.019601483623609698
ACH-000238,0.011253803859623658
ACH-000242,-0.2785916458999185
ACH-000243,0.0021479896802631005
ACH-000244,0.023155309827802617
ACH-000246,-0.02097674903188629
ACH-000248,0.014055078107602644
ACH-000250,-0.09033355514986197
ACH-000251,-0.1389578340999394
ACH-000252,-0.0039029866095637977
