,FBP1 (2203)
ACH-000004,-0.18447336340404905
ACH-000005,0.12743893708746748
ACH-000007,-0.2404104288735294
ACH-000009,-0.3035390054310501
ACH-000011,-0.16692662028981206
ACH-000012,-0.33004233798306704
ACH-000013,-0.27048898835755164
ACH-000014,-0.3044715640759178
ACH-000015,-0.2441547391013196
ACH-000017,-0.12148615380851785
ACH-000018,-0.5627107094143979
ACH-000019,0.007659212326856382
ACH-000021,-0.22383752771153856
ACH-000022,-0.1592058808183753
ACH-000025,-0.15681747474480182
ACH-000028,-0.13753511203373012
ACH-000030,-0.15389379988764434
ACH-000035,-0.11227203163933136
ACH-000036,-0.2238075200109497
ACH-000037,-0.20802983753464704
ACH-000039,-0.3069313607453333
ACH-000040,-0.32305397389141005
ACH-000041,-0.292697905328781
ACH-000042,-0.21451141100894774
ACH-000045,-0.13516599367941434
ACH-000047,-0.08879684660224738
ACH-000052,-0.3110621659132141
ACH-000053,-0.15216818678819166
ACH-000054,-0.21632136826904294
ACH-000055,-0.4366883310113831
ACH-000060,-0.11250696432763647
ACH-000067,-0.2005870237709768
ACH-000070,-0.26582469989082697
ACH-000075,-0.07059091790268046
ACH-000078,-0.16605127287541116
ACH-000082,-0.1912056544523109
ACH-000085,-0.10446949049889354
ACH-000086,-0.12621356899347658
ACH-000087,-0.07176506404244783
ACH-000092,-0.15516247541142314
ACH-000095,-0.118821819086985
ACH-000097,-0.08398351302519792
ACH-000098,-0.1141000914912183
ACH-000099,-0.20706562195865194
ACH-000108,-0.3714837000006279
ACH-000113,-0.2372163750916039
ACH-000116,-0.035567728335876014
ACH-000118,-0.2545855029541571
ACH-000120,-0.19502842739137707
ACH-000123,-0.07537626238548148
ACH-000127,-0.18926124999977956
ACH-000128,-0.22512306795610532
ACH-000132,-0.2150275938973418
ACH-000133,-0.3230526413616626
ACH-000137,-0.15178207068757305
ACH-000138,-0.15873460693110325
ACH-000142,-0.1646906336097594
ACH-000143,-0.15776462331310107
ACH-000146,-0.20508191963677952
ACH-000148,-0.21919342784416004
ACH-000150,-0.2649666931638254
ACH-000152,-0.1387866124625379
ACH-000153,0.03529471079307105
ACH-000159,-0.33890396277061136
ACH-000160,-0.20705639073029267
ACH-000163,-0.21399577040883508
ACH-000167,0.020552013378176973
ACH-000168,-0.28540484761272755
ACH-000169,-0.1863277796880828
ACH-000178,-0.18942489640256785
ACH-000183,-0.2932188830353161
ACH-000188,-0.16187694068925246
ACH-000189,-0.3885572914088427
ACH-000190,-0.2984481717754509
ACH-000198,-0.16779507334681246
ACH-000203,-0.5946119141671781
ACH-000204,-0.10368614182674338
ACH-000206,-0.18182401623421
ACH-000207,-0.04483388858376812
ACH-000208,-0.06648443228542752
ACH-000210,-0.2900811868700175
ACH-000211,-0.1846677130610279
ACH-000215,-0.2352084393692833
ACH-000221,-0.2309002713489059
ACH-000222,-0.2885158423147198
ACH-000223,-0.1579792798280079
ACH-000226,-0.02667733567114445
ACH-000227,-0.1994392721673484
ACH-000228,-0.16932023936217586
ACH-000231,-0.15004169884226054
ACH-000232,-0.18916720940675869
ACH-000233,-0.11655701930054173
ACH-000234,-0.1303936342905294
ACH-000235,-0.1926969124912932
ACH-000237,-0.20997212580700994
ACH-000238,-0.15007850808787135
ACH-000242,-0.18106773031745235
ACH-000243,-0.03303318548702964
ACH-000244,-0.2501577915936974
ACH-000246,-0.25042036748806645
ACH-000248,-0.0616667509148762
ACH-000250,-0.15448165945628964
ACH-000251,-0.25066953452896074
ACH-000252,0.0835971835096078
ACH-000253,-0.2122127317857249
ACH-000255,-0.2766257108921485
ACH-000256,-0.1960414812267512
ACH-000257,-0.09860363279129587
ACH-000258,-0.3805122640399802
ACH-000259,-0.1917231275561028
ACH-000260,-0.2166263926976381
ACH-000261,-0.1070643874591524
ACH-000262,-0.370459151814432
ACH-000263,0.01829966118106985
ACH-000264,-0.16221564385968834
ACH-000265,-0.047065988049368686
ACH-000266,-0.16987415717977036
ACH-000272,-0.16945122438182286
ACH-000274,-0.21768717269766066
ACH-000277,-0.1702494367799662
ACH-000278,-0.21119837038477787
ACH-000279,-0.13757455841479188
ACH-000280,-0.2687917188298641
ACH-000281,-0.1883380697815845
ACH-000288,-0.1858756174103184
ACH-000291,-0.17229115682038335
ACH-000293,-0.3899365724540893
ACH-000294,-0.1791301731959014
ACH-000295,-0.23275171701478226
ACH-000296,0.031883281860879284
ACH-000302,-0.10117191653229028
ACH-000304,-0.06480047008519331
ACH-000307,-0.14873372232677773
ACH-000308,-0.24557559585081415
ACH-000310,-0.21431317143790285
ACH-000311,-0.0034394825750017274
ACH-000312,-0.2829670856495871
ACH-000315,-0.18773598038069936
ACH-000316,-0.12207546736793147
ACH-000317,-0.3192165487744831
ACH-000318,-0.13935971227801394
