,UFSP2 (55325)
ACH-000004,-0.08278981099387818
ACH-000005,-0.06472938546740503
ACH-000007,-0.0926280213425379
ACH-000009,-0.44859143262485374
ACH-000011,-0.22225648214584934
ACH-000012,-0.12868712074707045
ACH-000013,-0.053241678879841284
ACH-000014,-0.09078251308163172
ACH-000015,-0.19288272761483816
ACH-000017,-0.05250388338289472
ACH-000018,-0.3512655249505917
ACH-000019,-0.05196197641865219
ACH-000021,0.04611295065536965
ACH-000022,-0.03632418480229418
ACH-000025,-0.23047090374453294
ACH-000028,-0.12315984838282525
ACH-000030,-0.030625609541521107
ACH-000035,-0.7194580664314804
ACH-000036,-0.44189047047230107
ACH-000037,-0.04807647089394426
ACH-000039,-0.19555373601448156
ACH-000040,-0.04226014808145048
ACH-000041,0.08985375543853172
ACH-000042,-0.1580912544963404
ACH-000045,-0.5540711219326081
ACH-000047,0.011114436149145451
ACH-000052,-0.2944417015071071
ACH-000053,-0.06163660617064873
ACH-000054,-0.06754748593420097
ACH-000055,-0.2041659390426939
ACH-000060,-0.26158273978650304
ACH-000067,-0.3674470451710702
ACH-000070,0.0330784618778907
ACH-000075,-0.2012469019351785
ACH-000078,-0.0001856744368276317
ACH-000082,-0.1145906813684267
ACH-000085,-0.04095388300446917
ACH-000086,-0.4422663538107076
ACH-000087,-0.2209950937101417
ACH-000092,-0.31485239847767976
ACH-000095,0.03753364501462745
ACH-000097,-0.4165624873449848
ACH-000098,-0.06418006315770296
ACH-000099,-0.09595038603332266
ACH-000108,-0.4256894041552002
ACH-000113,-0.08129885809666954
ACH-000116,0.0014937611000455215
ACH-000118,-0.12489654846573592
ACH-000120,-0.1356237521009323
ACH-000123,-0.30009282605452337
ACH-000127,-0.4605888519894646
ACH-000128,-0.3015687322221267
ACH-000132,-0.20505126246002092
ACH-000133,-0.2165266557889968
ACH-000137,-0.1352289646282424
ACH-000138,-0.3716381631782939
ACH-000142,-0.26416417529100283
ACH-000143,-0.042970848269107235
ACH-000146,-0.22238168730852986
ACH-000148,-0.14499886903060874
ACH-000150,-0.3940562886701007
ACH-000152,-0.3220780720977485
ACH-000153,-0.4876260679216418
ACH-000159,-0.4823230513099224
ACH-000160,-0.012833026348994485
ACH-000163,-0.5228269981319963
ACH-000167,-0.05909739552948015
ACH-000168,-0.4019034741500818
ACH-000169,-0.050430905311878486
ACH-000178,-0.30215986535325257
ACH-000183,-0.33041021230784
ACH-000188,-0.1636979735046145
ACH-000189,-0.27756690648728466
ACH-000190,-0.14877548071876107
ACH-000198,-0.17505313605973086
ACH-000203,-0.3939006886808437
ACH-000204,-0.2915949599822845
ACH-000206,-0.12239974394551555
ACH-000207,-0.1799841402338782
ACH-000208,-0.5253152214292889
ACH-000210,-0.09349263921493324
ACH-000211,-0.08076605407563704
ACH-000215,-0.22597091764246696
ACH-000221,-0.20968334484630946
ACH-000222,-0.1430727243514306
ACH-000223,-0.054597276770959685
ACH-000226,0.04890863250321545
ACH-000227,-0.2566596625721371
ACH-000228,-0.2875630686810404
ACH-000231,-0.2054269849630384
ACH-000232,-0.4432760886802782
ACH-000233,-0.10133392743384234
ACH-000234,-0.3438505775582792
ACH-000235,-0.3259834641356531
ACH-000237,-0.3344045628041108
ACH-000238,-0.5898770443233088
ACH-000242,0.053584919806833914
ACH-000243,-0.4729076186635557
ACH-000244,-0.3930879851099488
ACH-000246,-0.4788751460668663
ACH-000248,-0.06054696233342367
ACH-000250,-0.32879877094207804
ACH-000251,-0.08049622040894053
ACH-000252,-0.32405021037313
ACH-000253,-0.4666325149838666
ACH-000255,-0.5104591664137317
ACH-000256,-0.12453364083178042
ACH-000257,-0.029710852184115632
ACH-000258,-0.1524468173258836
ACH-000259,-0.12042939447558655
ACH-000260,-0.11977360119668674
ACH-000261,-0.06097855711287085
ACH-000262,-0.04299175416125444
ACH-000263,-0.12762210986402814
ACH-000264,-0.0025915976754152447
ACH-000265,-0.09068685076055816
ACH-000266,-0.4436592222175516
ACH-000272,-0.4640696683941665
ACH-000274,0.03100634432935855
ACH-000277,-0.20214177657487495
ACH-000278,0.025563605062830824
ACH-000279,-0.1154961930684845
ACH-000280,-0.14129584699599987
ACH-000281,-0.21655007334120074
ACH-000288,-0.21276001361793734
ACH-000291,-0.5776163276507292
ACH-000293,-0.056578344915207884
